FID,la_s_code,local_authority,uprn,address,url,opening_hours,facilities,sh_date_uploaded,sh_src,sh_src_id
pub_lib.1,S12000049,Glasgow City,,"BRIDGETON LIBRARY, 2-16 ORR STREET GLASGOW G40 2QH",,,,2019-10-16,f0606a3f-3051-45f7-969a-76f8a88d6989,10
pub_lib.2,S12000026,Scottish Borders,,"COLDSTREAM LIBRARY CONTACT CENTRE, GATEWAY CENTRE COLDSTREAM TD12 4AE",http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/coldstream_library_contact_centre(1).aspx,,,2020-06-30,99d78906-c052-4865-80d8-ba53d27a38dc,34
pub_lib.3,S12000026,Scottish Borders,,"DUNS LIBRARY CONTACT CENTRE, 49 NEWTOWN STREET DUNS TD11 3AU",http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/duns_library_contact_centre(1).aspx,,,2020-06-30,99d78906-c052-4865-80d8-ba53d27a38dc,35
pub_lib.4,S12000026,Scottish Borders,,"EARLSTON LIBRARY, EARLSTON HIGH SCHOOL EARLSTON TD4 6JP",http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/earlston_library(1).aspx,,,2020-06-30,99d78906-c052-4865-80d8-ba53d27a38dc,36
pub_lib.5,S12000026,Scottish Borders,,"EYEMOUTH LIBRARY, MANSE ROAD EYEMOUTH TD14 5JE",http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/eyemouth_library(1).aspx,,,2020-06-30,99d78906-c052-4865-80d8-ba53d27a38dc,37
pub_lib.6,S12000026,Scottish Borders,,"GALASHIELS LIBRARY, LAWYERS BRAE GALASHIELS TD1 3JQ",http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/galashiels_library(1).aspx,,,2020-06-30,99d78906-c052-4865-80d8-ba53d27a38dc,38
pub_lib.7,S12000026,Scottish Borders,,"HAWICK LIBRARY, NORTH BRIDGE STREET HAWICK TD9 9QT",http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/hawick_library(1).aspx,,,2020-06-30,99d78906-c052-4865-80d8-ba53d27a38dc,39
pub_lib.8,S12000026,Scottish Borders,,"INNERLEITHEN LIBRARY CONTACT CENTRE, BUCCLEUCH STREET INNERLEITHEN EH44 6LA",http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/innerleithen_library_contact_centre(1).aspx,,,2020-06-30,99d78906-c052-4865-80d8-ba53d27a38dc,40
pub_lib.9,S12000026,Scottish Borders,,"JEDBURGH LIBRARY CONTACT CENTRE, CASTLEGATE JEDBURGH TD8 6AS",http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/jedburgh_library_contact_centre(1).aspx,,,2020-06-30,99d78906-c052-4865-80d8-ba53d27a38dc,41
pub_lib.10,S12000026,Scottish Borders,,"KELSO LIBRARY CONTACT CENTRE, BOWMONT STREET KELSO TD5 7JH",http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/kelso_library_contact_centre(1).aspx,,,2020-06-30,99d78906-c052-4865-80d8-ba53d27a38dc,42
pub_lib.11,S12000026,Scottish Borders,,"MELROSE LIBRARY, 18 MARKET SQUARE MELROSE TD6 9PN",http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/melrose_library(1).aspx,,,2020-06-30,99d78906-c052-4865-80d8-ba53d27a38dc,43
pub_lib.12,S12000026,Scottish Borders,,"PEEBLES LIBRARY, CHAMBERS INSTITUTE HIGH STREET PEEBLES EH45 8AG",http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/peebles_library(1).aspx,,,2020-06-30,99d78906-c052-4865-80d8-ba53d27a38dc,44
pub_lib.13,S12000026,Scottish Borders,,"SELKIRK LIBRARY, ETTRICK TERRACE SELKIRK TD7 4LE",http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/selkirk_library(1).aspx,,,2020-06-30,99d78906-c052-4865-80d8-ba53d27a38dc,45
pub_lib.14,S12000011,East Renfrewshire,,BARRHEAD FOUNDRY 205 MAIN STREET BARRHEAD EAST RENFREWSHIRE G78 1SW,,,,2018-06-26,6b18385b-d642-4d16-9e1f-4e9c6f7e3767,54
pub_lib.15,S12000011,East Renfrewshire,,NETHERLEE PAVILION 19 LINNPARK AVENUE NETHERLEE EAST RENFREWSHIRE G44 3PL,,,,2018-06-26,6b18385b-d642-4d16-9e1f-4e9c6f7e3767,55
pub_lib.16,S12000042,Dundee City,,"ARDLER COMMUNITY LIBRARY, TURNBERRY AVENUE, DUNDEE, DD2 3TP",/ardler-community-library,,,2018-06-29,5ad3c706-b7b3-4490-b0f6-b7ceb95d96fb,58
pub_lib.17,S12000042,Dundee City,,"DOUGLAS COMMUNITY LIBRARY, BALMORAL AVENUE, DUNDEE, DD4 8SD",/douglas-community-library,,,2018-06-29,5ad3c706-b7b3-4490-b0f6-b7ceb95d96fb,59
pub_lib.18,S12000042,Dundee City,,"FINTRY COMMUNITY LIBRARY, 1 FINDCASTLE STREET, DUNDEE, DD4 9EW",/fintry-community-library,,,2018-06-29,5ad3c706-b7b3-4490-b0f6-b7ceb95d96fb,60
pub_lib.19,S12000042,Dundee City,,"KIRKTON COMMUNITY LIBRARY, DERWENT AVENUE, DUNDEE, DD3 0BW",/kirkton-community-library,,,2018-06-29,5ad3c706-b7b3-4490-b0f6-b7ceb95d96fb,61
pub_lib.20,S12000042,Dundee City,,"WHITFIELD COMMUNITY LIBRARY, 71 LOTHIAN CREXCENT, DD4 0HU",/whitfield-community-library,,,2018-06-29,5ad3c706-b7b3-4490-b0f6-b7ceb95d96fb,62
pub_lib.21,S12000042,Dundee City,,"LOCHEE COMMUNITY LIBRARY, 47-49 HIGH STREET, LOCHEE, DUNDEE, DD2 3AU",/lochee-community-library,,,2018-06-29,5ad3c706-b7b3-4490-b0f6-b7ceb95d96fb,63
pub_lib.22,S12000042,Dundee City,,"ARTHURSTONE COMMUNITY LIBRARY, 5 ARTHURSTONE TERRACE, DUNDEE, DD4 6RT",/arthurstone-community-library,,,2018-06-29,5ad3c706-b7b3-4490-b0f6-b7ceb95d96fb,64
pub_lib.23,S12000042,Dundee City,,"BLACKNESS COMMUNITY LIBRARY, 225 PERTH ROAD, DUNDEE, DD2 1EJ",/blackness-community-library,,,2018-06-29,5ad3c706-b7b3-4490-b0f6-b7ceb95d96fb,65
pub_lib.24,S12000042,Dundee City,,"BROUGHTY FERRY COMMUNITY LIBRARY, QUEEN STREET, BROUGHTY FERRY, DUNDEE, DD5 2HN",/broughty-ferry-community-library,,,2018-06-29,5ad3c706-b7b3-4490-b0f6-b7ceb95d96fb,66
pub_lib.25,S12000042,Dundee City,,"CENTRAL LIBRARY, THE WELLGATE, DUNDEE, DD1 1DB",/central-library-wellgate,,,2018-06-29,5ad3c706-b7b3-4490-b0f6-b7ceb95d96fb,67
pub_lib.26,S12000042,Dundee City,,"THE HUB, 171 PITKERRO ROAD, DUNDEE, DD4 8ES",/hub-community-library-and-learning-centre,,,2018-06-29,5ad3c706-b7b3-4490-b0f6-b7ceb95d96fb,68
pub_lib.27,S12000042,Dundee City,,"MENZIESHILL COMMUNITY CENTRE AND LIBRARY, ORLEANS PLACE, DUNDEE, DD2 4BH",/menzieshill-community-library,,,2018-06-29,5ad3c706-b7b3-4490-b0f6-b7ceb95d96fb,69
pub_lib.28,S12000042,Dundee City,,"COLDSIDE COMMUNITY LIBRARY, 150 STRATHMARTINE ROAD, DUNDEE, DD3 7SE",/coldside-community-library,,,2018-06-29,5ad3c706-b7b3-4490-b0f6-b7ceb95d96fb,70
pub_lib.29,S12000042,Dundee City,,"CHARLESTON COMMUNITY LIBRARY, CRAIGOWAN ROAD, DUNDEE, DD2 4NL",/charleston-community-library,,,2018-06-29,5ad3c706-b7b3-4490-b0f6-b7ceb95d96fb,71
pub_lib.30,S12000045,East Dunbartonshire,,"BISHOPBRIGGS LIBRARY, (TEMPORARY RE-LOCATION FROM 12 JUNE 2017), BISHOPBRIGGS, G64 3BS",https://www.edlc.co.uk/libraries,,,2018-03-20,9598c8b1-9449-4f0a-ad70-f144ac922a73,107
pub_lib.31,S12000045,East Dunbartonshire,,"CRAIGHEAD LIBRARY, CRAIGHEAD ROAD, MILTON OF CAMPSIE, G66 8DL",https://www.edlc.co.uk/libraries,,,2018-03-20,9598c8b1-9449-4f0a-ad70-f144ac922a73,108
pub_lib.32,S12000045,East Dunbartonshire,,"LENNOXTOWN LIBRARY, 46 MAIN STREET, LENNOXTOWN, G66 7JJ",https://www.edlc.co.uk/libraries,,,2018-03-20,9598c8b1-9449-4f0a-ad70-f144ac922a73,109
pub_lib.33,S12000045,East Dunbartonshire,,"BEARSDEN LIBRARY, 69 DRYMEN ROAD, BEARSDEN, G61 3QT",https://www.edlc.co.uk/libraries,,,2018-03-20,9598c8b1-9449-4f0a-ad70-f144ac922a73,110
pub_lib.34,S12000045,East Dunbartonshire,,"WESTERTON LIBRARY, 82 MAXWELL AVENUE, BEARSDEN, G61 1NZ",https://www.edlc.co.uk/libraries,,,2018-03-20,9598c8b1-9449-4f0a-ad70-f144ac922a73,111
pub_lib.35,S12000045,East Dunbartonshire,,"WILLIAM PATRICK LIBRARY, 2-4 WEST HIGH STREET, KIRKINTILLOCH, G66 1AD",https://www.edlc.co.uk/libraries,,,2018-03-20,9598c8b1-9449-4f0a-ad70-f144ac922a73,112
pub_lib.36,S12000045,East Dunbartonshire,,"MILNGAVIE LIBRARY, ALLANDER ROAD, MILNGAVIE, G62 8PN",https://www.edlc.co.uk/libraries,,,2018-03-20,9598c8b1-9449-4f0a-ad70-f144ac922a73,113
pub_lib.37,S12000045,East Dunbartonshire,,"LENZIE LIBRARY, 13/15 ALEXANDRA AVENUE, LENZIE, G66 5BG",https://www.edlc.co.uk/libraries,,,2018-03-20,9598c8b1-9449-4f0a-ad70-f144ac922a73,114
pub_lib.38,S12000029,South Lanarkshire,,LANARK LIBRARY,,,,2018-07-04,11dc1752-bda0-45ac-8f51-9879c919bd69,137
pub_lib.39,S12000029,South Lanarkshire,,FAIRHILL LIBRARY,,,,2018-07-04,11dc1752-bda0-45ac-8f51-9879c919bd69,138
pub_lib.40,S12000029,South Lanarkshire,,STONEHOUSE LIBRARY,,,,2018-07-04,11dc1752-bda0-45ac-8f51-9879c919bd69,139
pub_lib.41,S12000029,South Lanarkshire,,LARKHALL LIBRARY,,,,2018-07-04,11dc1752-bda0-45ac-8f51-9879c919bd69,140
pub_lib.42,S12000029,South Lanarkshire,,STRATHAVEN LIBRARY,,,,2018-07-04,11dc1752-bda0-45ac-8f51-9879c919bd69,141
pub_lib.43,S12000029,South Lanarkshire,,CAMBUSLANG LIBRARY,,,,2018-07-04,11dc1752-bda0-45ac-8f51-9879c919bd69,142
pub_lib.44,S12000029,South Lanarkshire,,CARLUKE LIBRARY,,,,2018-07-04,11dc1752-bda0-45ac-8f51-9879c919bd69,143
pub_lib.45,S12000029,South Lanarkshire,,BOTHWELL LIBRARY,,,,2018-07-04,11dc1752-bda0-45ac-8f51-9879c919bd69,144
pub_lib.46,S12000029,South Lanarkshire,,UDDINGSTON LIBRARY,,,,2018-07-04,11dc1752-bda0-45ac-8f51-9879c919bd69,145
pub_lib.47,S12000029,South Lanarkshire,,HAMILTON TOWN HOUSE LIBRARY,,,,2018-07-04,11dc1752-bda0-45ac-8f51-9879c919bd69,146
pub_lib.48,S12000029,South Lanarkshire,,BLANTYRE LIBRARY,,,,2018-07-04,11dc1752-bda0-45ac-8f51-9879c919bd69,147
pub_lib.49,S12000029,South Lanarkshire,,HILLHOUSE LIBRARY,,,,2018-07-04,11dc1752-bda0-45ac-8f51-9879c919bd69,148
pub_lib.50,S12000029,South Lanarkshire,,HALFWAY LIBRARY,,,,2018-07-04,11dc1752-bda0-45ac-8f51-9879c919bd69,149
pub_lib.51,S12000029,South Lanarkshire,,GREENHILLS LIBRARY,,,,2018-07-04,11dc1752-bda0-45ac-8f51-9879c919bd69,150
pub_lib.52,S12000029,South Lanarkshire,,CATHKIN LIBRARY,,,,2018-07-04,11dc1752-bda0-45ac-8f51-9879c919bd69,151
pub_lib.53,S12000029,South Lanarkshire,,EAST KILBRIDE CENTRAL LIBRARY,,,,2018-07-04,11dc1752-bda0-45ac-8f51-9879c919bd69,152
pub_lib.54,S12000029,South Lanarkshire,,BIGGAR LIBRARY,,,,2018-07-04,11dc1752-bda0-45ac-8f51-9879c919bd69,153
pub_lib.55,S12000029,South Lanarkshire,,FORTH LIBRARY,,,,2018-07-04,11dc1752-bda0-45ac-8f51-9879c919bd69,154
pub_lib.56,S12000029,South Lanarkshire,,ST. LEONARD'S LIBRARY,,,,2018-07-04,11dc1752-bda0-45ac-8f51-9879c919bd69,155
pub_lib.57,S12000029,South Lanarkshire,,LESMAHAGOW LIBRARY,,,,2018-07-04,11dc1752-bda0-45ac-8f51-9879c919bd69,156
pub_lib.58,S12000029,South Lanarkshire,,BURNBANK LIBRARY,,,,2018-07-04,11dc1752-bda0-45ac-8f51-9879c919bd69,157
pub_lib.59,S12000029,South Lanarkshire,,RUTHERGLEN LIBRARY,,,,2018-07-04,11dc1752-bda0-45ac-8f51-9879c919bd69,158
pub_lib.60,S12000033,Aberdeen City,,"CENTRAL LIBRARY, ROSEMOUNT VIADUCT, AB25 1GW",,,,2025-10-23,057a18af-b371-4bba-82f6-7ffb322eb390,1
pub_lib.61,S12000033,Aberdeen City,,"BUCKSBURN LIBRARY, KEPPLEHILLS ROAD, AB21 9DG",,,,2025-10-23,057a18af-b371-4bba-82f6-7ffb322eb390,2
pub_lib.62,S12000033,Aberdeen City,,"MASTRICK LIBRARY, GREENFERN ROAD, AB16 6TR",,,,2025-10-23,057a18af-b371-4bba-82f6-7ffb322eb390,3
pub_lib.63,S12000033,Aberdeen City,,"COVE LIBRARY, LOIRSTON AVENUE, AB12 3HE",,,,2025-10-23,057a18af-b371-4bba-82f6-7ffb322eb390,4
pub_lib.64,S12000033,Aberdeen City,,"TORRY LIBRARY, VICTORIA ROAD, AB11 9NJ",,,,2025-10-23,057a18af-b371-4bba-82f6-7ffb322eb390,5
pub_lib.65,S12000033,Aberdeen City,,"AIRYHALL LIBRARY, SPRINGFIELD ROAD, AB15 7RF",,,,2025-10-23,057a18af-b371-4bba-82f6-7ffb322eb390,6
pub_lib.66,S12000033,Aberdeen City,,"BRIDGE OF DON LIBRARY, SCOTSTOWN ROAD, AB22 8HH",,,,2025-10-23,057a18af-b371-4bba-82f6-7ffb322eb390,7
