SA1_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
80101100101,6,3,4,16,14,11,0,0,0,58,0,0,0,3,0,11,11,17,3,52,0,0,0,0,0,0,0,0,0,4,4,5,11,21,17,24,18,17,5,119,0,3,6,21,24,18,0,0,0,77,9,10,3,5,6,0,3,0,0,40,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,13,15,33,37,18,3,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,15,33,37,18,3,0,0,118,4,0,0,3,0,19,22,21,9,80,0,0,0,4,0,0,0,0,0,3,10,12,17,37,33,40,28,24,11,204
80101100102,7,6,15,20,27,13,0,0,0,95,4,0,0,3,0,5,17,9,3,48,0,0,0,0,0,0,0,0,0,5,14,11,15,28,29,12,21,10,3,147,0,6,25,26,40,19,0,0,0,120,14,8,9,7,18,9,0,4,0,70,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,19,18,32,41,58,34,0,4,0,202,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,8,3,4,0,0,0,0,0,0,0,9,21,24,36,39,58,34,0,4,0,206,8,3,0,5,0,7,31,24,10,85,0,9,0,0,0,0,4,3,0,12,30,34,36,48,58,35,32,27,10,309
80101100103,4,21,28,33,26,15,6,0,0,130,5,0,0,0,6,0,15,16,7,48,0,0,0,0,0,0,0,0,0,0,9,18,38,33,33,18,17,14,7,179,0,10,24,44,32,18,0,0,0,140,5,16,19,23,11,7,0,0,0,76,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,22,47,71,45,27,11,0,0,222,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,6,0,5,8,0,0,0,0,0,0,10,5,30,52,71,45,27,11,0,0,240,4,4,5,3,6,13,18,22,6,83,0,0,0,3,0,0,0,0,0,4,16,34,61,67,48,40,27,22,6,324
80101100104,7,13,22,37,27,24,5,0,0,133,9,0,0,3,3,17,16,17,0,62,0,0,0,0,0,0,0,0,0,4,19,11,21,38,33,44,21,19,0,202,4,11,22,38,42,39,3,0,0,158,13,12,16,11,5,10,7,0,0,77,0,0,4,4,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,14,22,43,58,51,51,14,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,4,14,22,42,58,51,47,12,0,0,263,14,5,10,3,4,25,32,33,8,132,0,0,0,0,0,3,0,0,0,3,34,25,52,64,57,77,41,38,8,393
80101100105,12,10,16,32,36,26,11,0,0,144,7,0,0,0,8,17,29,18,12,94,0,0,0,0,0,0,8,0,0,9,22,11,20,37,41,47,44,21,12,253,6,8,19,44,50,29,4,3,0,162,13,14,16,12,18,13,8,0,0,101,0,0,0,4,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,5,13,27,45,62,69,44,14,0,0,269,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,6,4,3,0,0,0,3,0,0,0,9,19,28,45,62,71,48,14,0,0,276,15,4,0,5,8,35,47,39,17,170,0,0,0,4,0,0,11,0,0,19,35,36,43,69,76,83,66,47,20,470
80101100106,10,5,23,33,29,27,0,0,0,117,8,0,0,0,4,9,20,14,9,74,0,3,4,4,0,0,0,0,0,14,12,11,22,37,25,37,25,20,8,199,0,5,36,40,44,30,4,0,0,166,3,9,6,13,8,11,0,0,0,53,3,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,8,15,44,54,55,46,8,0,0,237,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,5,10,13,44,54,55,46,8,0,0,235,16,5,5,4,5,20,38,33,13,138,0,3,3,8,0,0,0,0,0,19,25,24,57,63,65,64,46,40,15,391
80101100201,9,8,44,18,11,11,0,0,0,110,5,6,9,3,7,17,10,10,0,68,0,0,3,0,5,0,0,0,0,10,10,15,59,26,27,28,13,12,0,182,4,7,56,35,17,7,0,0,0,129,8,21,32,22,11,10,3,0,0,94,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,10,30,91,61,27,16,3,0,0,231,0,0,4,0,0,5,0,0,0,11,0,3,6,0,0,0,0,0,0,5,0,3,9,0,5,5,0,0,0,21,8,32,99,56,34,21,3,0,0,248,9,15,14,6,7,19,15,15,0,100,0,3,6,4,4,3,0,0,0,26,18,49,115,71,48,38,16,13,0,380
80101100202,0,13,42,31,8,10,0,0,0,106,0,0,8,6,4,0,13,4,7,49,0,0,0,0,0,0,0,0,0,4,6,17,50,42,16,11,14,10,7,157,0,4,48,33,20,11,3,0,0,119,4,17,24,13,4,4,0,0,0,71,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,22,73,57,24,17,6,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,11,0,0,3,4,3,0,0,0,0,10,5,19,77,54,24,17,6,0,0,207,3,0,17,13,4,8,18,10,5,70,0,6,0,6,0,0,0,0,0,17,11,27,92,76,34,21,22,9,5,298
80101100203,3,47,139,45,19,14,3,0,0,277,0,9,14,9,0,10,5,11,0,55,0,0,9,0,0,0,0,0,0,15,3,60,157,54,23,26,8,12,0,342,0,41,192,79,34,21,5,0,0,376,0,38,72,17,7,4,9,0,0,145,0,3,3,6,3,0,0,0,0,13,0,4,0,0,0,0,0,0,0,4,4,90,267,104,44,23,6,0,0,540,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,5,3,5,0,0,0,0,11,4,90,274,104,47,23,6,0,0,551,0,14,25,8,5,10,12,17,0,92,0,4,8,9,0,0,0,0,0,19,7,104,307,119,50,38,21,13,0,667
80101100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
