SA1_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
80101100101,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,3,0,5,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,15,27,8,9,17,6,13,5,0,0,82,3,0,0,0,0,0,0,0,0,9,32,12,11,21,17,24,18,17,5,152,0,0,0,0,4,4,6,14,5,34,8,5,4,3,0,4,6,0,0,28,0,0,0,0,0,0,0,9,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,3,0,0,4,10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,8,6,3,3,4,5,0,0,24,0,0,0,0,0,0,0,3,0,4,0,0,0,6,8,6,0,3,0,21,44,13,10,25,22,21,10,0,0,150
80101100102,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,5,5,4,4,3,4,0,3,0,0,20,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,4,4,0,0,17,29,18,10,10,17,6,3,3,0,98,0,0,0,0,0,0,4,0,0,10,37,28,15,28,29,12,21,10,3,183,0,0,0,0,5,3,10,8,3,30,10,0,4,11,7,7,3,4,3,45,0,0,0,0,0,0,4,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,5,0,13,0,0,0,0,0,0,4,7,4,16,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,6,0,5,3,4,13,8,6,4,3,0,0,38,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,4,6,5,0,34,53,47,20,22,36,22,13,5,0,219
80101100103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,3,0,4,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,3,0,4,0,5,0,0,7,0,23,43,24,32,32,21,14,0,0,0,153,3,0,0,4,0,0,0,0,0,9,50,30,38,33,33,18,17,14,7,230,0,0,0,0,6,0,16,15,4,35,6,3,0,3,9,0,3,0,0,23,0,0,0,0,0,0,5,0,3,11,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,4,3,4,8,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,5,0,3,0,5,3,0,5,0,31,81,40,53,65,30,30,3,0,0,298
80101100104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,11,5,4,0,3,0,0,0,20,0,0,0,0,0,0,4,0,0,4,0,7,0,4,4,11,8,3,0,34,25,16,14,23,17,18,4,3,0,121,3,4,0,0,5,3,0,0,0,11,29,28,21,38,33,44,21,19,0,232,0,0,3,3,3,9,13,10,0,40,3,4,8,8,9,4,4,4,0,40,0,0,0,0,6,0,6,8,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,11,0,0,0,0,0,7,3,4,0,17,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,0,8,0,10,7,7,5,3,5,0,0,36,0,0,0,0,0,0,3,0,0,0,4,7,0,7,3,11,7,4,0,55,61,40,38,45,35,39,13,11,0,279
80101100105,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,4,10,0,3,5,9,5,12,4,0,0,32,0,0,0,0,0,0,0,0,0,3,3,5,6,0,4,12,0,0,3,36,44,19,13,22,28,22,22,6,6,170,5,3,0,0,0,0,5,0,0,17,54,30,20,37,41,47,44,21,12,306,0,0,0,3,0,16,7,21,10,58,5,10,4,10,5,11,3,9,4,51,0,0,0,4,0,3,5,7,4,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,4,17,0,0,0,0,0,3,4,7,0,17,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,8,3,11,4,3,11,16,5,0,0,53,0,0,0,0,0,0,0,0,0,3,6,4,3,3,11,16,4,0,5,65,95,42,31,47,48,38,31,19,3,342
80101100106,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,8,11,3,3,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,23,31,18,12,21,19,23,6,3,0,130,3,3,0,4,0,0,0,0,0,19,38,23,22,37,25,37,25,20,8,238,0,0,0,0,3,3,17,11,3,50,9,4,5,6,0,4,0,0,0,29,0,0,0,0,0,4,0,3,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,9,3,0,16,0,0,0,0,0,0,9,10,3,24,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,4,9,3,10,7,6,10,6,0,0,51,0,0,0,0,0,0,0,3,5,7,6,0,0,5,9,8,9,3,6,37,69,41,39,34,45,45,14,10,0,294
80101100201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,17,9,8,3,5,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,7,4,7,6,0,6,0,27,24,13,35,16,9,11,5,7,0,115,0,0,0,0,5,4,0,0,0,7,26,29,59,26,27,28,13,12,0,209,0,0,0,3,8,3,3,0,0,18,5,11,12,7,4,0,5,3,0,38,0,0,0,0,0,3,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,18,28,18,12,3,8,0,0,80,0,0,0,0,0,0,0,0,0,0,0,3,10,6,10,9,5,7,0,52,37,41,70,35,20,21,8,7,0,242
80101100202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,3,0,4,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,5,0,0,17,34,11,32,18,9,10,0,4,0,112,0,0,5,7,0,6,0,0,0,14,37,18,50,42,16,11,14,10,7,195,0,0,0,0,3,6,6,0,3,21,0,6,7,7,5,0,5,0,0,29,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,11,0,0,0,0,0,0,0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,26,9,9,5,4,0,0,56,0,0,0,0,0,0,0,0,0,3,0,3,6,9,8,0,8,0,0,30,62,23,57,47,19,13,9,5,0,231
80101100203,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,17,14,11,3,4,3,0,0,41,0,0,0,0,0,0,0,3,0,3,0,0,6,4,0,3,0,5,0,31,21,47,114,40,10,12,0,0,0,244,0,0,9,3,0,0,0,0,0,18,24,60,157,54,23,26,8,12,0,370,0,0,0,5,5,5,8,5,0,30,5,4,28,8,3,0,0,3,0,67,0,0,5,5,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,3,0,16,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,16,29,14,4,4,3,0,0,74,0,0,0,0,0,0,0,3,0,3,0,0,12,8,3,3,4,3,0,37,45,84,232,82,36,19,5,0,0,507
80101100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,18,7,9,0,4,0,0,40,0,0,0,0,0,0,0,0,0,4,3,3,4,6,0,4,3,0,0,27,28,22,34,18,14,8,9,0,0,123,0,0,3,0,0,0,0,0,0,5,28,29,62,28,27,16,15,6,0,208,0,0,0,0,3,4,5,5,0,25,6,9,15,7,3,9,3,0,0,52,0,0,0,0,0,5,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,0,0,0,0,19,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,3,0,8,20,9,9,0,5,0,0,59,0,0,0,0,0,0,0,0,0,3,3,5,3,12,6,3,5,0,0,39,52,31,64,44,29,14,8,0,0,243
80101100209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,8,3,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,20,10,32,15,10,3,6,0,0,96,3,0,3,0,0,0,0,0,0,8,23,17,50,19,14,8,10,0,0,134,0,0,0,4,0,0,0,0,0,9,0,6,7,7,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,11,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,19,13,6,5,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,6,0,0,0,23,35,28,54,22,16,7,7,0,0,178
80101100210,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,10,5,6,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,4,0,24,15,15,18,23,13,8,9,6,0,100,5,3,5,4,0,0,3,0,0,20,27,23,42,33,23,19,19,10,0,199,0,3,0,0,0,12,10,9,0,37,0,4,12,4,0,3,0,0,0,33,0,0,0,0,0,3,4,3,0,9,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,5,0,18,0,0,0,0,0,4,6,4,0,20,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,7,0,11,17,4,5,3,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,3,10,9,0,3,4,4,0,32,29,27,45,37,27,16,13,6,0,204
