SA1_CODE_2021,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
80101100101,0,3,6,14,16,9,0,0,0,46,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,14,18,6,5,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,14,18,6,5,0,0,58,0,0,0,0,0,8,5,5,3,30,0,0,0,0,0,0,0,0,0,3,8,9,11,13,18,19,11,9,3,91,0,0,0,10,8,5,0,0,0,28,6,3,5,5,4,4,0,0,0,31,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,3,4,16,14,11,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100102,0,3,15,15,25,15,0,0,0,65,8,7,9,3,5,5,0,5,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,21,21,28,20,0,5,0,101,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,4,9,14,19,19,28,20,0,5,0,112,0,0,0,0,0,5,16,8,5,42,0,4,0,0,0,0,0,0,0,8,11,18,18,20,34,25,15,17,5,166,0,5,11,16,15,9,0,0,0,50,9,0,4,4,8,3,0,0,0,36,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,10,8,15,20,27,13,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100103,0,3,15,30,16,10,0,0,0,78,0,3,9,4,3,7,0,0,0,26,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,25,32,19,16,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,25,32,19,16,0,0,0,111,4,0,3,0,0,9,3,7,0,32,0,0,0,0,0,0,0,0,0,4,0,11,30,34,19,24,9,7,0,141,0,4,16,17,21,11,0,0,0,63,4,12,11,15,6,0,0,0,0,49,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,13,23,33,24,9,6,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,12
80101100104,4,10,19,19,21,18,0,0,0,90,6,5,5,4,3,3,4,0,0,30,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,10,26,27,27,23,6,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,23,27,27,23,5,0,0,126,6,3,8,0,3,9,13,14,3,64,0,0,0,0,0,3,0,0,0,6,15,16,31,27,30,36,19,17,3,198,6,4,10,17,27,18,0,0,0,74,9,8,10,9,4,3,3,0,0,49,0,0,3,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,13,18,32,27,23,5,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,3,0,0,6,5,0,0,0,0,0,3
80101100105,0,4,13,29,27,18,0,3,0,95,5,11,6,0,0,8,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,19,25,26,33,21,4,3,0,133,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,17,25,26,33,21,4,3,0,138,12,6,0,0,0,15,20,23,9,74,0,0,0,4,0,0,3,0,0,7,14,21,28,29,32,35,22,26,9,224,6,4,9,20,19,15,0,0,0,67,6,0,9,18,18,11,10,0,0,68,0,0,0,3,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,12,11,16,32,37,26,11,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7
80101100106,0,0,21,23,22,18,4,0,0,93,0,0,0,0,7,4,0,0,0,18,3,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,10,28,28,27,19,8,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,28,28,27,19,8,0,0,119,7,6,0,0,3,8,17,18,7,66,0,0,3,0,0,0,0,0,0,9,16,15,30,29,33,27,21,18,7,192,0,6,12,18,19,15,0,0,0,73,5,3,8,9,5,4,0,0,0,37,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,9,23,33,26,27,0,0,0,111,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,5
80101100201,0,7,31,26,10,11,0,0,0,85,3,13,15,10,4,0,0,0,0,42,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,21,49,37,17,8,0,0,0,131,0,0,0,0,3,0,0,0,0,7,0,0,3,0,0,0,0,0,0,4,0,0,3,0,3,0,0,0,0,11,6,21,52,34,19,10,0,0,0,141,3,11,3,3,4,0,3,7,0,38,0,3,3,4,3,0,0,0,0,14,9,36,58,42,28,13,6,7,0,196,0,0,21,12,10,3,0,0,0,42,3,9,18,10,4,5,0,0,0,50,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,9,44,18,11,5,0,0,0,99,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,4,0,3,0,0,0,0,9
80101100202,0,0,23,18,12,9,3,0,0,66,3,4,10,10,4,0,0,0,0,28,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,10,37,23,15,9,4,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,3,6,37,28,16,5,4,0,0,105,3,0,8,4,0,0,4,4,0,25,0,3,0,0,0,0,0,0,0,8,6,11,37,42,22,9,5,7,0,138,0,3,27,15,4,7,0,0,0,55,0,6,15,12,0,4,0,0,0,40,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,38,27,8,10,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3
80101100203,0,26,98,43,19,12,0,0,0,202,0,11,29,14,0,0,5,0,0,65,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,37,132,57,27,11,5,0,0,271,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,37,137,58,27,11,5,0,0,279,0,10,10,0,0,0,8,3,3,38,0,0,5,5,0,0,0,0,0,12,3,47,149,67,29,11,10,5,3,327,0,19,93,35,13,12,5,0,0,180,3,27,41,10,0,0,0,0,0,84,0,3,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,47,140,45,18,14,3,0,0,268,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,8
80101100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
