SA1_CODE_2021,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
80101100101,0,0,3,7,4,3,4,0,24,0,0,0,0,5,0,0,0,3,0,3,4,8,8,6,0,0,25,0,0,0,0,4,0,0,0,5,0,3,6,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,13,16,15,7,5,3,73,0,0,0,5,0,0,5,0,15,0,0,0,4,5,5,0,0,11,0,11,15,6,5,3,0,0,38,0,0,0,0,9,4,0,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,11,23,13,17,14,13,0,94,0,0
80101100102,0,4,6,14,11,3,3,0,37,0,0,0,0,0,0,0,0,8,3,7,8,17,8,4,4,0,44,0,0,0,0,4,0,0,0,8,0,4,4,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,11,12,14,16,27,25,15,11,0,121,0,3,14,6,3,7,0,0,32,0,0,3,5,0,10,0,0,16,0,5,7,8,5,3,3,0,35,4,3,0,5,3,4,0,0,13,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,3,9,5,17,24,25,12,20,9,3,121,0,5
80101100103,0,6,20,6,6,0,0,0,45,0,0,6,3,0,0,0,0,4,4,10,9,5,4,3,0,0,45,0,0,3,0,0,0,5,0,5,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,40,11,20,9,0,0,115,0,11,12,10,6,0,0,0,46,0,0,3,6,0,0,3,0,15,3,10,10,7,3,6,3,0,42,0,4,0,0,0,5,0,0,13,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,8,32,28,28,7,10,8,3,133,0,17
80101100104,0,7,9,7,17,17,8,0,57,0,0,6,0,3,0,0,0,14,8,12,6,17,10,5,3,0,56,0,3,8,0,3,0,0,0,14,6,6,4,4,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,3,0,0,0,18,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,6,11,28,27,25,34,19,18,3,161,0,3,13,16,10,6,6,0,56,0,3,4,3,3,0,0,0,15,6,8,14,5,21,3,3,0,62,0,3,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,20,38,26,38,12,12,0,158,0,9
80101100105,0,3,4,13,11,7,3,0,45,0,0,0,4,3,0,0,0,13,0,14,13,9,15,7,7,3,76,5,0,5,0,4,3,0,0,18,5,3,0,5,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,3,0,5,0,0,6,6,22,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,0,9,9,20,30,35,30,21,26,6,178,0,4,13,10,12,4,0,0,39,0,0,3,3,0,3,3,0,20,0,14,11,17,15,16,6,0,74,0,3,3,3,0,3,3,5,21,0,0,3,0,5,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,5,5,4,6,0,16,0,0,0,0,0,0,0,5,5,0,0,0,0,0,7,0,0,9,0,18,35,40,34,34,14,11,187,0,3
80101100106,0,3,8,5,11,13,5,0,42,0,0,0,4,3,0,0,0,11,8,9,4,12,13,6,6,6,55,0,3,4,4,4,0,0,0,17,0,6,0,0,0,3,7,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,3,7,0,20,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,6,29,28,27,28,19,19,3,152,0,12,10,6,12,0,4,0,46,0,0,0,6,3,0,0,0,16,6,12,12,11,13,3,6,0,60,0,0,3,0,4,5,0,6,15,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,9,0,0,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,3,0,4,0,0,4,0,0,11,11,22,32,28,35,18,14,4,162,0,10
80101100201,0,8,9,0,5,0,0,0,24,0,0,0,0,0,0,0,0,6,5,23,16,5,0,0,0,0,46,3,0,3,0,6,0,0,0,10,3,0,6,4,4,0,0,0,18,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,4,5,4,5,0,0,0,18,0,0,0,0,0,0,0,0,0,3,3,4,3,0,0,0,0,15,15,48,38,19,10,6,5,0,128,0,15,4,5,0,0,0,0,29,0,0,0,4,0,0,0,0,7,4,24,10,8,6,0,0,0,46,4,3,4,3,0,4,3,0,22,0,0,0,6,4,0,0,0,13,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,0,0,19,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,8,12,47,22,20,13,4,6,0,129,0,27
80101100202,0,10,0,0,0,0,0,0,15,0,5,0,0,0,0,0,0,5,0,11,3,0,0,0,3,0,25,0,0,7,0,3,0,0,0,18,0,0,8,4,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,9,10,35,29,16,3,3,7,0,94,0,6,6,0,0,3,0,0,18,0,0,3,0,3,0,0,0,4,0,15,8,6,0,0,0,0,31,0,5,3,0,0,0,0,0,14,0,3,10,0,0,0,0,0,21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,13,8,39,33,7,10,7,3,4,109,0,15
80101100203,0,48,16,9,3,0,0,0,80,0,0,0,3,0,0,0,0,9,14,52,28,6,0,0,0,0,103,3,7,0,4,4,5,0,0,28,9,10,4,4,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,5,4,0,4,0,0,29,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,14,27,130,64,26,9,6,3,3,266,5,60,16,9,3,0,0,0,79,0,4,5,0,4,3,0,0,11,27,55,23,5,3,0,0,0,121,12,5,7,3,6,0,4,0,35,5,6,0,5,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,5,3,0,0,0,26,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,14,49,142,51,19,19,6,8,0,291,3,106
80101100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
