SA1_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
80101100101,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,10,41,4,15,0,101
80101100102,3,3,0,3,0,29,4,4,13,0,0,0,22,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,10,65,15,18,3,161
80101100103,10,5,0,0,0,27,12,3,9,0,0,0,24,0,0,4,0,0,0,8,3,0,0,5,5,0,7,0,0,0,0,0,0,4,74,18,63,13,12,3,187
80101100104,3,17,0,0,0,45,4,0,8,0,0,0,18,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,21,80,20,20,0,217
80101100105,7,13,4,4,0,44,5,0,9,4,3,0,20,4,0,3,0,0,0,5,0,0,3,0,0,0,4,0,0,0,0,0,0,0,58,26,93,22,26,0,225
80101100106,4,9,5,0,0,29,6,0,6,0,0,0,18,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,5,63,13,78,23,18,5,201
80101100201,4,12,0,0,0,23,8,0,17,5,9,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,3,45,9,78,17,22,0,176
80101100202,0,4,6,3,0,17,5,5,12,3,3,0,27,0,0,0,0,0,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,0,30,12,48,29,26,0,145
80101100203,0,15,0,0,0,29,22,6,32,8,10,0,79,0,6,3,0,0,0,7,0,0,6,3,3,0,9,3,0,3,3,0,0,13,141,23,203,45,45,8,464
80101100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100208,5,7,3,0,0,28,9,0,20,0,8,7,41,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,58,15,80,20,31,8,200
80101100209,0,3,0,0,0,6,3,0,4,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,5,38,18,14,3,109
80101100210,0,10,0,0,0,17,3,0,8,5,3,0,31,0,0,6,0,0,0,6,0,0,0,0,4,0,3,0,0,3,0,0,0,9,37,11,67,21,23,0,157
80101100211,3,13,0,0,0,24,14,0,22,10,0,0,50,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,4,6,65,21,114,33,37,8,278
80101100212,0,3,0,0,0,8,8,0,5,0,0,0,13,0,0,0,0,0,0,5,0,0,3,0,0,0,3,0,0,0,0,0,0,0,35,9,53,6,19,0,115
80101100213,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,11
80101100215,0,12,0,0,0,25,18,0,12,3,0,0,32,0,0,0,0,3,0,3,0,0,0,3,0,0,7,7,0,3,0,0,3,13,112,16,146,24,30,11,330
80101100216,8,19,4,4,0,56,31,4,41,6,10,3,94,0,0,0,0,3,0,6,6,0,3,6,4,0,17,7,0,9,3,0,0,23,291,31,323,77,66,18,802
80101100217,3,5,0,0,0,14,7,3,16,0,4,0,32,0,0,3,0,0,0,8,0,0,0,0,4,0,7,5,0,0,0,0,0,6,71,5,82,30,28,10,231
80101100218,0,14,0,0,0,33,7,3,25,4,0,0,40,4,0,4,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,3,100,20,153,27,33,4,335
80101100219,0,16,0,0,0,32,10,0,12,3,3,0,27,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,4,73,10,113,31,33,8,270
80101100220,4,5,0,4,0,16,9,0,5,3,0,0,14,3,0,3,0,0,0,3,0,0,0,0,3,0,3,0,0,6,0,0,0,4,39,15,55,13,13,3,139
80101100221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100222,4,8,0,0,0,21,16,3,16,3,4,0,48,0,0,9,0,0,0,7,0,0,5,0,0,0,9,4,0,3,0,0,0,7,96,20,142,34,37,4,334
80101100223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
80101100224,0,6,0,0,0,16,4,0,8,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,31,3,8,3,72
80101100225,0,8,4,0,0,19,7,0,13,0,0,0,30,0,0,0,0,0,0,4,3,0,0,0,0,0,3,0,0,6,0,0,0,3,62,16,100,26,18,3,225
80101100301,0,11,0,3,0,29,9,3,14,7,0,0,27,0,0,3,0,0,0,7,0,0,4,0,0,0,6,0,0,0,0,0,0,5,67,11,108,30,22,3,241
80101100304,3,21,4,3,0,49,9,0,28,4,15,0,57,0,0,5,0,8,0,16,0,0,3,0,0,0,10,0,0,0,0,0,0,10,119,29,211,49,76,11,498
80101100306,0,16,0,0,0,30,3,0,14,0,3,0,22,0,0,0,0,3,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,3,58,11,80,16,29,0,199
80101100307,0,4,3,0,0,7,3,0,12,0,0,0,14,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,30,5,62,14,14,0,121
80101100308,3,8,0,6,4,28,11,0,19,0,14,0,44,0,0,6,0,3,0,10,0,0,5,0,3,0,9,0,0,0,0,0,3,7,43,5,86,24,58,16,241
80101100309,7,10,0,0,0,25,6,3,6,6,0,0,20,0,0,0,0,0,0,0,0,0,0,0,5,0,5,4,0,0,0,0,3,8,42,14,75,13,23,3,172
80101100310,0,8,4,0,0,19,7,0,8,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,12,50,8,12,0,124
80101100311,0,9,0,0,0,18,4,0,9,4,0,0,18,0,0,0,0,0,0,4,3,0,7,0,0,0,8,0,0,0,0,0,0,0,39,6,66,12,18,0,146
80101100312,4,11,4,0,0,42,10,3,19,3,3,0,40,0,0,0,3,0,0,0,3,0,0,3,0,0,8,4,0,0,3,0,0,10,114,26,120,44,24,4,336
80101100314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,4,0,17
80101100315,0,5,6,5,0,21,4,0,9,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,45,7,68,12,15,0,145
