SA1_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
80101100101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,15,33,37,18,3,0,0,119
80101100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,32,41,58,34,0,4,0,202
80101100103,0,0,3,4,0,0,0,0,0,11,0,0,0,0,6,0,0,0,0,4,5,22,47,71,45,27,11,0,0,222
80101100104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,22,43,58,51,51,14,0,0,253
80101100105,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,13,27,45,62,69,44,14,0,0,269
80101100106,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,8,15,44,54,55,46,8,0,0,237
80101100201,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,10,30,91,61,27,16,3,0,0,231
80101100202,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,22,73,57,24,17,6,0,0,194
80101100203,0,3,4,4,0,0,0,0,0,11,0,3,4,0,0,0,0,0,0,12,4,90,267,104,44,23,6,0,0,540
80101100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100208,0,0,0,0,4,0,0,0,0,12,0,0,3,0,0,0,0,0,0,3,9,22,90,61,38,16,10,0,0,245
80101100209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,24,63,27,17,6,0,0,0,141
80101100210,0,0,0,4,0,0,0,0,0,3,0,0,3,5,0,0,0,0,0,9,4,32,68,43,24,16,7,0,0,195
80101100211,0,0,0,0,0,0,0,0,0,5,0,4,3,4,0,0,0,0,0,8,7,50,158,70,32,18,3,0,0,346
80101100212,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,20,39,39,16,14,6,0,0,135
80101100213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,14
80101100215,0,3,5,0,0,0,0,0,0,11,0,0,9,3,0,3,0,0,0,16,0,60,238,69,19,13,0,0,0,398
80101100216,0,8,12,5,0,0,0,0,0,22,4,9,17,3,0,0,0,0,0,33,19,235,574,83,36,18,6,0,0,964
80101100217,0,3,5,5,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,6,6,44,133,40,23,18,7,0,0,269
80101100218,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,13,50,206,75,36,19,3,0,0,399
80101100219,0,4,0,3,0,0,0,0,0,9,0,0,8,0,0,0,0,0,0,4,0,42,178,62,11,12,5,0,0,306
80101100220,0,6,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,19,77,54,17,4,0,0,0,170
80101100221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100222,0,0,7,4,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,3,4,65,169,87,38,17,4,0,0,387
80101100223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,5
80101100224,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,30,73,33,3,0,0,0,0,0,137
80101100225,0,0,3,0,0,0,0,0,0,8,0,3,5,0,0,0,0,0,0,5,3,57,113,49,26,20,7,0,0,272
80101100301,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,7,0,54,135,57,16,13,4,0,0,283
80101100304,0,0,5,0,0,0,0,0,0,9,0,3,5,3,0,0,0,0,0,7,16,95,231,138,80,31,8,0,0,595
80101100306,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,3,38,95,54,29,18,8,0,0,246
80101100307,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,7,42,49,32,21,9,0,0,0,155
80101100308,8,10,0,0,0,0,0,0,0,10,6,4,5,0,0,0,0,0,0,14,186,324,90,12,3,0,0,0,0,621
80101100309,0,0,5,0,0,0,0,0,0,3,0,0,3,4,0,0,0,0,0,8,14,43,81,35,23,13,3,0,0,220
80101100310,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,10,19,36,34,30,19,7,5,0,159
80101100311,0,0,7,0,3,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,6,28,78,27,19,23,0,0,0,177
80101100312,0,0,4,3,5,3,0,0,0,11,0,0,7,4,6,4,0,0,0,19,17,61,117,81,59,45,18,0,0,406
80101100314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0,0,0,18
80101100315,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,10,26,46,28,40,24,13,0,0,188
80101100316,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,4,0,7,26,7,3,4,0,55
80101100317,0,3,0,0,0,0,0,0,0,7,0,5,5,0,3,0,0,0,0,13,0,75,208,50,11,5,0,0,0,363
80101100318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,11,15,25,32,22,8,0,0,132
80101100319,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,10,4,12,48,30,26,25,8,3,0,154
80101100320,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,4,7,48,88,92,33,5,0,0,0,276
80101100321,0,0,6,4,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,4,8,51,155,71,33,5,3,0,0,318
80101100322,0,9,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,7,63,157,71,14,13,4,0,0,325
80101100401,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,13,27,27,25,19,3,0,0,122
80101100402,0,0,3,0,3,3,0,0,0,11,0,0,0,0,0,0,0,0,0,7,6,19,57,61,64,26,3,0,0,237
80101100403,0,0,3,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,14,7,52,83,45,16,6,0,0,218
80101100404,0,0,4,0,4,0,0,0,0,10,0,0,4,3,0,0,0,0,0,5,7,6,40,67,32,13,5,0,0,170
80101100405,0,0,0,0,3,0,0,0,0,0,0,0,7,0,4,0,0,0,0,12,9,17,67,40,45,27,14,0,0,223
80101100406,0,4,6,3,6,6,0,0,0,18,0,4,0,0,4,0,0,0,0,12,18,37,79,61,46,34,9,0,0,286
80101100408,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,4,0,8,23,32,18,11,3,0,0,100
80101100409,0,0,6,6,0,0,0,0,0,14,0,0,0,5,0,0,0,0,0,6,0,15,53,40,21,18,7,0,0,156
80101100501,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,3,38,50,29,12,6,0,0,138
80101100502,3,0,0,0,3,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,13,16,38,55,64,29,7,5,0,221
80101100503,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,15,28,22,53,26,10,0,0,167
80101100504,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,7,4,45,61,45,35,5,0,0,197
80101100505,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,15,49,62,42,14,7,3,0,198
80101100506,0,0,0,0,0,3,0,0,0,5,0,0,0,0,3,3,0,0,0,3,4,13,9,12,26,21,3,0,0,98
80101100507,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,4,3,15,27,33,49,24,10,0,0,167
80101100508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,17,23,37,16,3,0,0,111
80101100509,0,0,0,4,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,3,15,13,56,66,58,26,3,0,0,234
80101100602,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,6,13,14,28,23,25,0,0,0,112
80101100604,0,0,3,0,0,0,0,0,0,5,0,0,3,4,0,0,0,0,0,7,9,14,35,57,33,20,3,0,0,175
80101100605,0,0,3,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,20,5,31,85,53,26,7,0,0,229
80101100606,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,13,14,30,67,40,19,5,0,0,189
80101100607,0,0,3,7,4,0,0,0,0,13,0,0,0,5,0,4,0,0,0,6,12,14,38,56,79,36,11,0,0,236
80101100608,0,8,0,5,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,6,18,21,47,63,55,41,9,0,0,250
80101100609,0,0,4,3,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,18,25,23,51,51,23,5,0,0,199
80101100610,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,15,23,40,49,53,36,3,0,0,225
80101100611,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,4,19,61,60,56,37,5,0,0,242
80101100612,0,7,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,24,34,67,60,94,40,4,0,0,321
80101100613,0,5,0,5,0,5,0,0,0,11,0,0,0,0,0,0,0,0,0,3,4,13,27,40,32,7,8,0,0,134
80101100614,0,0,0,4,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,16,20,29,54,51,26,3,0,0,196
80101100615,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,9,14,19,25,34,14,5,0,0,123
