SA1_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
80101100101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,12,9,22,21,13,22,0,119
80101100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,30,26,21,39,40,16,22,0,202
80101100103,0,4,0,3,0,0,0,0,0,11,0,0,0,0,0,6,0,0,0,4,7,29,26,25,51,49,6,41,0,222
80101100104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,41,19,20,50,52,18,44,0,253
80101100105,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,40,39,27,47,60,18,31,5,269
80101100106,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,4,10,22,15,13,50,62,24,31,0,237
80101100201,0,0,6,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,6,6,33,46,15,58,44,14,8,0,231
80101100202,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,29,24,16,60,29,11,17,0,194
80101100203,0,0,0,0,3,9,0,0,0,11,0,0,4,0,3,0,0,0,0,12,13,56,55,34,213,104,29,36,4,540
80101100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100208,0,0,3,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,12,28,35,19,64,49,17,17,4,245
80101100209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,19,28,5,33,21,4,7,5,141
80101100210,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,9,4,21,25,9,53,45,13,14,9,195
80101100211,0,0,0,0,0,4,0,0,0,5,0,0,0,0,4,0,0,0,3,8,8,37,43,31,106,55,19,23,6,346
80101100212,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,18,26,8,39,24,9,17,3,135
80101100213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,14
80101100215,0,0,5,0,4,0,0,0,0,11,0,0,0,0,9,0,0,4,5,16,15,32,51,23,132,97,21,18,9,398
80101100216,0,5,7,3,7,0,0,3,0,22,0,0,3,0,11,7,0,0,8,33,26,108,136,60,330,200,29,53,22,964
80101100217,0,0,0,4,4,0,0,0,0,8,0,0,0,0,0,0,0,0,3,6,12,27,32,22,76,65,15,11,4,269
80101100218,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,9,16,36,41,24,147,89,19,22,6,399
80101100219,0,0,4,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,4,5,25,30,15,102,69,22,31,9,306
80101100220,0,6,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,4,4,10,22,14,57,39,5,8,0,170
80101100221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100222,0,0,0,4,5,0,0,0,0,11,0,0,0,0,0,0,0,0,3,3,9,33,38,25,129,101,27,22,3,387
80101100223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5
80101100224,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,56,36,8,17,3,7,0,0,137
80101100225,0,4,0,0,6,0,0,0,0,8,0,0,0,6,0,0,0,0,0,5,15,28,32,17,89,65,11,21,0,272
80101100301,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,7,5,26,36,12,93,68,13,23,8,283
80101100304,0,0,0,0,3,0,0,3,0,9,0,0,0,0,5,0,0,0,4,7,23,68,59,41,161,167,32,42,9,595
80101100306,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,32,23,9,71,59,19,29,0,246
80101100307,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,4,0,17,24,8,35,42,3,18,4,155
80101100308,4,5,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,12,14,62,294,131,38,50,16,9,4,24,621
80101100309,0,3,0,0,0,5,0,0,0,3,0,0,3,0,0,0,0,0,4,8,11,32,17,15,64,47,10,15,4,220
80101100310,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,17,20,11,44,32,6,20,0,159
80101100311,0,7,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,29,17,13,56,38,5,13,0,177
80101100312,0,5,0,0,0,0,0,0,0,11,0,0,0,0,5,3,0,0,5,19,14,60,44,21,118,83,18,33,10,406
80101100314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,7,0,0,0,0,18
80101100315,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,9,21,18,17,56,38,8,20,4,188
80101100316,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,14,7,0,6,13,3,10,0,55
80101100317,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,5,13,7,50,60,26,104,66,16,28,8,363
80101100318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,26,15,6,27,28,6,13,0,132
80101100319,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,0,3,10,8,19,11,6,38,44,7,18,3,154
80101100320,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,8,32,31,16,70,60,20,43,0,276
80101100321,0,0,0,0,4,4,0,0,0,7,0,0,0,0,3,0,0,0,0,4,8,41,26,17,109,64,23,21,3,318
80101100322,0,0,3,0,7,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,11,28,31,20,109,75,18,20,6,325
80101100401,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,12,14,7,35,28,5,16,0,122
80101100402,0,0,0,0,3,5,0,0,0,11,0,0,0,0,0,0,0,0,0,7,10,24,19,21,64,68,13,18,5,237
80101100403,0,0,0,0,3,0,0,0,0,6,0,3,0,0,0,0,0,0,0,5,8,26,15,15,74,42,13,19,7,218
80101100404,0,4,0,0,6,0,0,0,0,10,3,0,0,0,0,0,0,0,0,5,13,20,17,11,57,31,9,12,4,170
80101100405,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,12,13,28,21,10,59,50,21,15,8,223
80101100406,0,5,0,0,8,0,0,3,0,18,0,0,0,0,6,0,0,0,7,12,17,45,15,20,80,63,12,20,13,286
80101100408,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,10,5,7,6,30,21,6,5,0,100
80101100409,0,0,0,0,0,5,0,0,0,14,0,0,0,0,0,0,0,0,0,6,4,18,31,13,24,30,15,18,0,156
80101100501,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,21,17,14,36,34,3,10,0,138
80101100502,0,3,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,17,25,29,24,47,46,11,18,3,221
80101100503,0,4,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,25,17,12,41,35,16,14,0,167
80101100504,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,6,10,26,24,9,49,48,9,20,0,197
80101100505,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,3,16,32,12,16,47,48,7,18,4,198
80101100506,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,3,3,17,16,4,21,21,8,9,3,98
80101100507,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,4,24,16,17,31,37,15,20,0,167
80101100508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,10,11,27,16,8,12,0,111
80101100509,0,0,6,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,6,35,23,22,64,36,25,18,0,234
80101100602,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,4,13,17,11,27,23,4,12,0,112
80101100604,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,3,7,11,21,13,13,46,32,12,10,11,175
80101100605,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,9,24,24,20,41,65,16,18,4,229
80101100606,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,3,0,0,0,3,8,23,11,12,50,52,12,18,0,189
80101100607,0,0,0,8,4,0,0,0,0,13,0,0,0,0,0,5,0,0,0,6,16,18,19,25,52,63,12,31,3,236
80101100608,0,0,4,3,3,0,0,0,0,16,0,0,3,0,0,3,0,0,0,6,17,25,27,14,71,60,12,24,6,250
80101100609,0,0,0,0,5,3,4,0,0,11,0,0,0,0,0,0,0,0,0,0,15,17,31,15,48,38,13,22,0,199
80101100610,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,11,24,26,16,78,44,13,18,3,225
80101100611,0,0,0,0,0,5,0,5,0,7,0,0,0,0,0,4,0,0,0,4,17,22,21,11,69,62,16,18,4,242
80101100612,0,4,6,0,5,0,0,4,0,12,0,0,0,0,0,0,0,0,0,4,11,32,31,15,105,70,18,33,10,321
80101100613,0,5,0,7,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,3,20,11,14,39,32,9,8,0,134
