SA1_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
80101100101,4,0,0,0,3,6,0,10,0,32,0,10,5,5,10,11,5,11,0,50,0,0,0,0,4,0,0,0,0,10,0,3,4,0,0,0,0,0,0,7,0,0,0,4,7,0,0,0,0,14,0,6,4,0,0,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,20,12,9,22,21,13,22,0,119
80101100102,0,0,3,4,6,19,4,4,0,39,0,9,11,8,21,13,11,13,0,87,0,0,0,0,0,3,0,0,0,10,0,9,0,0,4,6,0,0,0,17,0,4,3,5,6,6,0,6,0,23,0,6,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,9,30,26,21,39,40,16,22,0,202
80101100103,0,0,4,0,9,7,0,13,0,35,4,8,3,13,19,25,0,8,0,78,0,0,0,6,8,5,0,3,0,20,0,11,0,0,4,6,0,0,0,21,0,5,4,0,7,6,0,3,0,22,0,0,4,4,0,0,0,0,0,12,0,0,4,0,0,0,0,0,0,6,0,5,8,0,3,6,0,6,0,22,0,0,0,0,5,0,0,0,0,6,7,29,26,25,51,49,6,41,0,222
80101100104,8,4,4,9,9,10,10,21,0,59,0,6,12,5,27,25,3,18,0,106,0,0,0,0,6,7,3,0,0,18,4,8,5,0,3,3,0,0,0,20,0,0,0,0,5,4,0,4,0,19,0,18,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,14,41,19,20,50,52,18,44,0,253
80101100105,4,0,9,4,6,14,9,15,0,62,3,13,13,5,21,31,11,15,0,116,0,3,4,0,5,4,3,4,0,14,0,8,5,6,3,5,0,0,0,24,0,7,3,0,5,11,0,0,0,27,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,15,0,0,0,0,5,0,0,0,5,10,6,40,39,27,47,60,18,31,5,269
80101100106,0,0,4,6,8,25,9,13,0,70,6,9,4,5,22,26,8,16,0,87,0,0,0,0,0,3,0,0,0,16,0,4,7,0,3,0,0,0,0,9,4,0,0,3,4,5,0,0,0,14,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,8,0,4,0,8,0,3,0,0,21,0,0,0,0,7,3,0,0,0,12,10,22,15,13,50,62,24,31,0,237
80101100201,0,4,4,3,5,3,8,3,0,27,0,7,12,5,18,23,0,0,0,69,6,0,5,0,12,3,0,0,0,26,3,9,8,7,12,0,0,0,0,42,0,3,0,3,7,4,0,3,0,22,0,3,10,0,4,0,0,0,0,20,0,0,0,0,0,4,0,0,0,9,0,3,7,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,6,33,46,15,58,44,14,8,0,231
80101100202,0,0,0,0,16,5,0,3,0,25,0,3,6,7,16,9,0,3,0,50,0,3,0,0,6,7,0,0,0,22,0,8,12,9,6,3,0,0,0,32,0,4,4,0,7,3,0,3,0,25,0,4,0,0,0,0,0,4,0,19,0,0,0,0,0,0,0,0,0,5,3,6,3,0,4,3,0,0,0,23,0,0,0,0,4,0,0,0,0,4,9,29,24,16,60,29,11,17,0,194
80101100203,3,6,0,0,38,11,6,14,0,75,9,11,8,8,81,52,10,9,0,181,0,0,4,0,12,14,5,0,0,33,3,13,15,11,20,4,8,3,0,76,6,9,3,0,30,14,0,5,0,73,0,12,9,0,13,0,0,0,0,43,0,5,0,0,6,3,0,0,0,17,0,3,11,0,3,5,4,0,0,30,0,0,0,0,0,0,0,0,0,5,13,56,55,34,213,104,29,36,4,540
80101100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
