route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,bikes_allowed
2-10647,2023-COMBNXT-Weekday-11,68041287-2023-COMBNXT-Weekday-11,Fyshwick,0,20656,1,1
2-10647,2023-COMBNXT-Weekday-11,68041288-2023-COMBNXT-Weekday-11,Fyshwick,0,20656,1,1
2-10647,2023-COMBNXT-Weekday-11,68041289-2023-COMBNXT-Weekday-11,Fyshwick,0,20656,1,1
2-10647,2023-COMBNXT-Weekday-11,68041290-2023-COMBNXT-Weekday-11,Fyshwick,0,20656,1,1
2-10647,2023-COMBNXT-Weekday-11,68041291-2023-COMBNXT-Weekday-11,Fyshwick,0,20656,1,1
2-10647,2023-COMBNXT-Weekday-11,68041292-2023-COMBNXT-Weekday-11,Fyshwick,0,20656,1,0
2-10647,2023-COMBNXT-Weekday-11,68041293-2023-COMBNXT-Weekday-11,Fyshwick,0,20656,1,1
2-10647,2023-COMBNXT-Weekday-11,68041294-2023-COMBNXT-Weekday-11,Fyshwick,0,20656,1,1
2-10647,2023-COMBNXT-Weekday-11,68041295-2023-COMBNXT-Weekday-11,Fyshwick,0,20656,1,0
2-10647,2023-COMBNXT-Weekday-11,68041296-2023-COMBNXT-Weekday-11,Fyshwick,0,20656,1,1
2-10647,2023-COMBNXT-Weekday-11,68041297-2023-COMBNXT-Weekday-11,Fyshwick,0,20656,1,1
2-10647,2023-COMBNXT-Weekday-11,68041298-2023-COMBNXT-Weekday-11,Fyshwick,0,20656,1,1
2-10647,2023-COMBNXT-Weekday-11,68041299-2023-COMBNXT-Weekday-11,Fyshwick,0,20656,1,1
2-10647,2023-COMBNXT-Weekday-11,68041300-2023-COMBNXT-Weekday-11,Railway Station,0,20667,1,1
2-10647,2023-COMBNXT-Weekday-11,68041301-2023-COMBNXT-Weekday-11,Railway Station,0,20667,1,1
2-10647,2023-COMBNXT-Weekday-11,68041302-2023-COMBNXT-Weekday-11,Railway Station,0,20667,1,1
2-10647,2023-COMBNXT-Weekday-11,68041303-2023-COMBNXT-Weekday-11,Fraser,1,20738,1,1
2-10647,2023-COMBNXT-Weekday-11,68041304-2023-COMBNXT-Weekday-11,Fraser,1,20738,1,0
2-10647,2023-COMBNXT-Weekday-11,68041305-2023-COMBNXT-Weekday-11,Fraser,1,20738,1,0
2-10647,2023-COMBNXT-Weekday-11,68041306-2023-COMBNXT-Weekday-11,Fraser,1,20738,1,1
2-10647,2023-COMBNXT-Weekday-11,68041307-2023-COMBNXT-Weekday-11,Fraser,1,20738,1,1
2-10647,2023-COMBNXT-Weekday-11,68041308-2023-COMBNXT-Weekday-11,Fraser,1,20738,1,1
2-10647,2023-COMBNXT-Weekday-11,68041309-2023-COMBNXT-Weekday-11,Fraser,1,20738,1,0
2-10647,2023-COMBNXT-Weekday-11,68041310-2023-COMBNXT-Weekday-11,Fraser,1,20738,1,0
