financial_year,year,city,total,population,trips_per_person
2001-02,2001.0,Sydney,571.7015947218327,4102580.0,139.3517237255173
2002-03,2002.0,Sydney,569.1369559148638,4135637.0,137.61772513275798
2003-04,2003.0,Sydney,566.4688797605128,4162593.0,136.08557929168498
2004-05,2004.0,Sydney,563.7723108725141,4184763.0,134.72024840415435
2005-06,2005.0,Sydney,566.409079223952,4217563.0,134.29771629349744
2006-07,2006.0,Sydney,579.2197207694512,4256161.0,136.08971107283097
2007-08,2007.0,Sydney,601.2306251309025,4325525.0,138.9959889564625
2008-09,2008.0,Sydney,616.3807813333334,4409562.0,139.78276784255067
2009-10,2009.0,Sydney,606.5101999999999,4492380.0,135.0086591071993
2010-11,2010.0,Sydney,621.2860000000001,4555516.0,136.3810378451091
2011-12,2011.0,Sydney,636.3179384610542,4608949.0,138.06139717776313
2012-13,2012.0,Sydney,640.963033828942,4677196.0,137.04002009514718
2013-14,2013.0,Sydney,650.2335887188403,4757364.0,136.6793856259139
2014-15,2014.0,Sydney,663.2795251880448,4841349.0,137.00303886128532
2015-16,2015.0,Sydney,686.5265861852564,4930189.0,139.24954726588703
2016-17,2016.0,Sydney,714.734952047109,5024923.0,142.23799091988255
2017-18,2017.0,Sydney,747.6242759999999,5119495.0,146.0347702263602
2018-19,2018.0,Sydney,785.932428473631,5190353.0,151.4217681289945
2019-20,2019.0,Sydney,645.8671917077555,5256836.0,122.86234375730108
2020-21,2020.0,Sydney,455.7688998066666,5295529.0,86.06673663890172
2021-22,2021.0,Sydney,351.2019537296814,5261801.0,66.74557888633215
2022-23,2022.0,Sydney,612.7407327095916,5303794.0,115.52875784949258
2023-24,2023.0,Sydney,710.7217951705029,5449695.0,130.4149672909223
2001-02,2001.0,Melbourne,355.1857405225062,3500249.0,101.47442096905283
2002-03,2002.0,Melbourne,362.13900107998967,3545579.0,102.13818422322268
2003-04,2003.0,Melbourne,364.6500401529852,3594031.0,101.45990397773006
2004-05,2004.0,Melbourne,370.43082167831295,3641951.0,101.71219263474795
2005-06,2005.0,Melbourne,395.0570572399712,3697372.0,106.84806863901473
2006-07,2006.0,Melbourne,421.514637566564,3760760.0,112.08230186626213
2007-08,2007.0,Melbourne,454.9586551015,3841760.0,118.42453851919434
2008-09,2008.0,Melbourne,495.4644034655619,3931438.0,126.02625387086401
2009-10,2009.0,Melbourne,503.10723434,4031787.0,124.78517201925597
2010-11,2010.0,Melbourne,525.046747975,4105857.0,127.87750473896193
2011-12,2011.0,Melbourne,544.471997356,4169366.0,130.58867879576894
2012-13,2012.0,Melbourne,531.45403717092,4265843.0,124.58359043474407
2013-14,2013.0,Melbourne,535.8564807021573,4370067.0,122.6197403156879
