financial_year,year_start,mode,billion_passenger_km,act_population,per_person_km
1976-77,1976,passenger_cars,1.9923303637912186,,
1977-78,1977,passenger_cars,2.0777909470890785,,
1978-79,1978,passenger_cars,2.1518566641608396,,
1979-80,1979,passenger_cars,2.1718834000283436,,
1980-81,1980,passenger_cars,2.2040916019992642,227581.0,9684.866495881748
1981-82,1981,passenger_cars,2.337152774087532,230575.25,10136.182326973654
1982-83,1982,passenger_cars,2.3717918074678477,236187.0,10042.008270852535
1983-84,1983,passenger_cars,2.490200613513401,242650.75,10262.48883843714
1984-85,1984,passenger_cars,2.6160553610326818,248392.75,10531.931230008453
1985-86,1985,passenger_cars,2.7420481167476436,256387.25,10694.947259458664
1986-87,1986,passenger_cars,2.8229904410620885,263065.75,10731.121178116453
1987-88,1987,passenger_cars,2.9868784059871234,269812.0,11070.220768487405
1988-89,1988,passenger_cars,3.158406004139702,274872.75,11490.42967751333
1989-90,1989,passenger_cars,3.2937575868598232,279889.75,11768.05362418532
1990-91,1990,passenger_cars,3.3423535594107947,286325.75,11673.25523258315
1991-92,1991,passenger_cars,3.449099688656203,292602.75,11787.65301644022
1992-93,1992,passenger_cars,3.5929303074787318,297890.75,12061.234890572237
1993-94,1993,passenger_cars,3.6968075791191874,301031.75,12280.457390687818
1994-95,1994,passenger_cars,3.7932353735466307,304412.25,12460.849961020396
1995-96,1995,passenger_cars,3.822437236707236,308010.75,12410.077364855726
1996-97,1996,passenger_cars,3.8286814301015126,310581.25,12327.471249798604
1997-98,1997,passenger_cars,3.844712057459061,310774.25,12371.39839436202
1998-99,1998,passenger_cars,3.9343976770926616,312917.25,12573.284716942457
1999-00,1999,passenger_cars,4.0199314701611435,316057.5,12718.987747992513
2000-01,2000,passenger_cars,3.9461954585330687,319771.0,12340.692115711145
2001-02,2001,passenger_cars,4.023233888884502,323407.5,12440.137872141191
2002-03,2002,passenger_cars,4.155363341455717,326411.25,12730.45381081601
2003-04,2003,passenger_cars,4.3372501623300055,328120.75,13218.457419501832
2004-05,2004,passenger_cars,4.337619149227731,330236.0,13134.907003560274
2005-06,2005,passenger_cars,4.28055441471228,333787.75,12824.18067982507
2006-07,2006,passenger_cars,4.327723483785223,339529.0,12746.255794895938
2007-08,2007,passenger_cars,4.348463974376128,345590.5,12582.706915774965
2008-09,2008,passenger_cars,4.351059712888723,352195.0,12354.121191069502
2009-10,2009,passenger_cars,4.383869502011305,359074.0,12208.819079107107
2010-11,2010,passenger_cars,4.427738100804855,365598.25,12110.938990558227
2011-12,2011,passenger_cars,4.5050353859150185,373337.5,12066.924393919759
2012-13,2012,passenger_cars,4.623159763104509,380934.25,12136.371993603905
2013-14,2013,passenger_cars,4.678521086845025,386999.25,12089.225203524362
2014-15,2014,passenger_cars,4.716320709537911,393234.75,11993.651907767333
2015-16,2015,passenger_cars,4.729752162028435,400297.75,11815.585178853578
2016-17,2016,passenger_cars,4.761743977725144,410745.25,11592.93741735332
2017-18,2017,passenger_cars,4.792771164918735,422020.25,11356.732680289002
2018-19,2018,passenger_cars,4.7773288937748495,432176.5,11054.115375951376
2019-20,2019,passenger_cars,4.51411089006794,441709.5,10219.637318345971
2020-21,2020,passenger_cars,4.768175525220005,448870.0,10622.620191191225
2021-22,2021,passenger_cars,4.457261363332278,457555.25,9741.471359649524
2022-23,2022,passenger_cars,4.778817746170474,467603.25,10219.812942212173
2023-24,2023,passenger_cars,4.9048863736087895,476164.0,10300.834110955027
1976-77,1976,commercial_vehicles,0.16431590701857557,,
1977-78,1977,commercial_vehicles,0.17543460876833647,,
1978-79,1978,commercial_vehicles,0.1812421896421978,,
1979-80,1979,commercial_vehicles,0.1803631540951857,,
1980-81,1980,commercial_vehicles,0.18455952972104106,227581.0,810.9619419944594
1981-82,1981,commercial_vehicles,0.19009538625966171,230575.25,824.4396840496181
1982-83,1982,commercial_vehicles,0.18687998647598908,236187.0,791.2373944204764
