financial_year,city,total
1976-77,Sydney,458.28949938304845
1977-78,Sydney,457.34651522358917
1978-79,Sydney,450.1698335817657
1979-80,Sydney,478.6561618524487
1980-81,Sydney,490.50164856241264
1981-82,Sydney,492.95991984141466
1982-83,Sydney,483.22510769369677
1983-84,Sydney,477.05189242387445
1984-85,Sydney,481.4013004691441
1985-86,Sydney,500.7197795615964
1986-87,Sydney,515.3809533753723
1987-88,Sydney,539.8881649711109
1988-89,Sydney,545.0466800873442
1989-90,Sydney,543.9044259481475
1990-91,Sydney,551.8985535506205
1991-92,Sydney,541.5397918148919
1992-93,Sydney,517.09026144454
1993-94,Sydney,523.3271498133854
1994-95,Sydney,541.1034438225623
1995-96,Sydney,556.3204743222292
1996-97,Sydney,571.2717130538445
1997-98,Sydney,578.1349773101765
1998-99,Sydney,585.0779623614555
1999-00,Sydney,590.6007068637301
2000-01,Sydney,611.5950106144815
2001-02,Sydney,571.7015947218327
2002-03,Sydney,569.1369559148638
2003-04,Sydney,566.4688797605128
2004-05,Sydney,563.7723108725141
2005-06,Sydney,566.409079223952
2006-07,Sydney,579.2197207694512
2007-08,Sydney,601.2306251309025
2008-09,Sydney,616.3807813333334
2009-10,Sydney,606.5101999999999
2010-11,Sydney,621.2860000000001
2011-12,Sydney,636.3179384610542
2012-13,Sydney,640.963033828942
2013-14,Sydney,650.2335887188403
2014-15,Sydney,663.2795251880448
2015-16,Sydney,686.5265861852564
2016-17,Sydney,714.734952047109
2017-18,Sydney,747.6242759999999
2018-19,Sydney,785.932428473631
2019-20,Sydney,645.8671917077555
2020-21,Sydney,455.7688998066666
2021-22,Sydney,351.2019537296814
2022-23,Sydney,612.7407327095916
2023-24,Sydney,710.7217951705029
1976-77,Melbourne,304.988866073139
1977-78,Melbourne,295.46282206013575
1978-79,Melbourne,289.53998711675
1979-80,Melbourne,280.6893965131229
1980-81,Melbourne,277.82915074993616
1981-82,Melbourne,272.5079418739855
1982-83,Melbourne,273.6451265239973
1983-84,Melbourne,278.72839617677107
1984-85,Melbourne,293.86882420186714
1985-86,Melbourne,303.85479320285657
1986-87,Melbourne,308.9431611289281
1987-88,Melbourne,307.4565710009232
1988-89,Melbourne,317.4642852762488
1989-90,Melbourne,293.0745041822604
1990-91,Melbourne,303.68033422976634
1991-92,Melbourne,310.2348124070148
1992-93,Melbourne,294.9654904419699
1993-94,Melbourne,291.10465233812613
1994-95,Melbourne,302.0364992361313
1995-96,Melbourne,312.84271702804614
1996-97,Melbourne,314.86766932659754
1997-98,Melbourne,315.8588958063219
1998-99,Melbourne,325.15203308834003
1999-00,Melbourne,339.7871571213418
2000-01,Melbourne,348.055018528426
2001-02,Melbourne,355.1857405225062
2002-03,Melbourne,362.13900107998967
2003-04,Melbourne,364.6500401529852
2004-05,Melbourne,370.43082167831295
2005-06,Melbourne,395.0570572399712
2006-07,Melbourne,421.51463756656403
2007-08,Melbourne,454.95865510149997
2008-09,Melbourne,495.4644034655619
2009-10,Melbourne,503.10723434
