sa1_code,population,density_pop_per_km2,euclidean_distance_m,walking_distance_m,sa3_code,sa3_name
80101100101,265,716.0,225.18403646234947,303.9984492241718,,Belconnen
80101100102,383,1535.7,303.4693332954225,409.68359994882036,,Belconnen
80101100103,418,2784.3,145.82582456665688,196.8648631649868,,Belconnen
80101100104,466,1555.3,336.6738667788581,454.50972015145845,,Belconnen
80101100105,587,2223.8,239.95890539172242,323.9445222788253,,Belconnen
80101100106,481,2056.8,232.30747160651057,313.6150866687893,,Belconnen
80101100201,425,3875.8,210.2348089972541,283.81699214629305,,Belconnen
80101100202,364,2262.3,218.2790903303596,294.6767719459855,,Belconnen
80101100203,727,14315.4,440.8488637842927,595.1459661087952,,Belconnen
80101100205,0,0.0,906.2758773849569,1223.4724344696917,,Belconnen
80101100208,396,2358.0,190.94378578493726,257.77411080966533,,Belconnen
80101100209,278,6520.3,130.8676067489193,176.67126911104106,,Belconnen
80101100210,366,2733.1,427.24356190397845,576.778808570371,,Belconnen
80101100211,578,3652.2,530.6580450775278,716.3883608546627,,Belconnen
80101100212,539,4003.7,131.27393765576636,177.2198158352846,,Belconnen
80101100213,19,385.6,259.3418359541488,350.11147853810087,,Belconnen
80101100215,548,7477.8,35.92210441047096,48.494840954135796,,Belconnen
80101100216,1468,19420.3,101.20780704583737,136.63053951188047,,Belconnen
80101100217,378,7472.1,334.8546275550318,452.05374719929296,,Belconnen
80101100218,547,20978.4,267.969824913131,361.75926363272686,,Belconnen
80101100219,383,7075.7,190.1540285350242,256.7079385222827,,Belconnen
80101100220,238,24241.8,278.3414015256975,375.7608920596917,,Belconnen
80101100221,8,1895.6,363.9636800785662,491.3509681060644,,Belconnen
80101100222,586,29248.5,150.19358348861104,202.7613377096249,,Belconnen
80101100223,14,13.0,243.00919782602807,328.06241706513794,,Belconnen
80101100224,236,9707.1,167.5511886932291,226.1941047358593,,Belconnen
80101100225,408,7065.9,113.20444712676151,152.82600362112805,,Belconnen
80101100301,401,4395.2,210.68694012973128,284.42736917513724,,Belconnen
80101100304,858,5308.0,221.75559765720703,299.3700568372295,,Belconnen
80101100306,395,4308.0,169.22780507117326,228.4575368460839,,Belconnen
80101100307,250,3323.7,254.94248611304894,344.1723562526161,,Belconnen
80101100308,1012,619.0,458.5034083173293,618.9796012283946,,Belconnen
80101100309,291,6625.1,318.6915721494863,430.23362240180654,,Belconnen
80101100310,246,3183.6,545.5729758664212,736.5235174196687,,Belconnen
80101100311,288,4345.1,504.237861061033,680.7211124323946,,Belconnen
80101100312,621,3573.2,265.18063863620773,357.99386215888046,,Belconnen
80101100314,109,59.0,323.41268186393484,436.6071205163121,,Belconnen
80101100315,395,935.8,535.5151833193603,722.9454974811364,,Belconnen
80101100316,302,890.9,307.68807351547184,415.378899245887,,Belconnen
80101100317,478,5225.6,94.1486038118409,127.10061514598522,,Belconnen
80101100318,291,974.0,355.7229175074401,480.2259386350442,,Belconnen
80101100319,296,1316.1,202.93921242538622,273.96793677427144,,Belconnen
80101100320,432,6172.5,178.19490910362833,240.56312728989826,,Belconnen
80101100321,467,6462.1,127.01100782708376,171.4648605665631,,Belconnen
80101100322,382,13129.2,86.6474816900864,116.97410028161664,,Belconnen
80101100401,226,1955.6,151.25733657010517,204.197404369642,,Belconnen
80101100402,418,2155.0,243.7295429090998,329.03488292728474,,Belconnen
80101100403,458,2352.2,235.74480090455108,318.255481221144,,Belconnen
80101100404,376,2136.6,202.50626863823808,273.3834626616214,,Belconnen
80101100405,448,1921.4,171.1799539226993,231.09293779564408,,Belconnen
80101100406,607,1296.1,144.37416949412847,194.90512881707343,,Belconnen
80101100408,175,663.6,148.93772090910286,201.0659232272889,,Belconnen
80101100409,341,1585.4,420.11719821045665,567.1582175841165,,Belconnen
80101100501,301,1343.8,218.54477160193443,295.0354416626115,,Belconnen
80101100502,442,2087.5,226.35713995910095,305.5821389447863,,Belconnen
80101100503,313,2177.6,275.0821141027637,371.360854038731,,Belconnen
80101100504,331,1856.4,213.54242862230305,288.28227864010915,,Belconnen
80101100505,379,1902.0,232.14146148090094,313.3909729992163,,Belconnen
80101100506,194,1062.2,250.36092625061488,337.98725043833014,,Belconnen
80101100507,325,2031.0,329.92193311946744,445.3946097112811,,Belconnen
80101100508,213,2067.9,271.3293439076501,366.2946142753277,,Belconnen
80101100509,461,2500.8,142.19662548308654,191.96544440216684,,Belconnen
80101100602,184,1605.0,363.03972776525137,490.10363248308937,,Belconnen
80101100604,307,2917.9,390.7358198574487,527.4933568075558,,Belconnen
80101100605,434,1580.5,266.04254426766533,359.1574347613482,,Belconnen
80101100606,358,3922.9,457.59670226673614,617.7555480600938,,Belconnen
80101100607,416,3484.8,270.21470737612765,364.7898549577724,,Belconnen
80101100608,476,3163.5,234.98928441362466,317.2355339583933,,Belconnen
80101100609,364,2850.6,152.28400765222554,205.5834103305045,,Belconnen
80101100610,381,3516.4,352.4418095350393,475.7964428723031,,Belconnen
80101100611,418,2521.1,67.282138090454,90.8308864221129,,Belconnen
80101100612,533,2984.6,247.13388645678248,333.63074671665635,,Belconnen
80101100613,246,3638.2,155.63567779173954,210.10816501884838,,Belconnen
80101100614,357,1282.8,366.42770883393285,494.6774069258094,,Belconnen
80101100615,216,1439.7,92.77642832626157,125.24817824045313,,Belconnen
80101100616,522,3043.8,181.87856057192917,245.5360567721044,,Belconnen
80101100617,402,2354.2,124.63963897745778,168.26351261956802,,Belconnen
80101100618,347,2352.7,238.0931442493343,321.4257447366013,,Belconnen
80101100619,194,3215.6,150.6657793739562,203.3988021548409,,Belconnen
80101100620,420,3096.1,250.28143720626477,337.8799402284575,,Belconnen
80101100621,0,0.0,533.2017089056993,719.8223070226941,,Belconnen
80101100622,295,3668.5,252.5232201873445,340.9063472529151,,Belconnen
80101100623,389,3276.0,200.63833406870486,270.8617509927516,,Belconnen
80101100701,496,967.2,532.659814059103,719.0907489797892,,Belconnen
80101100702,252,1527.6,191.61254646504236,258.67693772780717,,Belconnen
80101100703,506,1308.0,241.52547313217931,326.0593887284421,,Belconnen
80101100704,210,1217.9,215.0443217904339,290.3098344170858,,Belconnen
80101100705,454,2409.8,202.42451345862654,273.27309316914585,,Belconnen
80101100706,401,2462.4,182.10427080512946,245.8407655869248,,Belconnen
80101100707,484,2399.5,214.14991867978776,289.1023902177135,,Belconnen
80101100708,351,2507.3,152.95050325696423,206.4831793969017,,Belconnen
80101100709,343,2104.7,132.8862937276282,179.3964965322981,,Belconnen
80101100710,395,2159.6,459.8279210417317,620.7676934063378,,Belconnen
80101100711,607,2607.9,220.20682243985098,297.2792102937988,,Belconnen
80101100712,414,2428.4,187.4858646093217,253.1059172225843,,Belconnen
80101100713,319,1357.6,248.26806452994663,335.161887115428,,Belconnen
80101100714,278,1810.6,178.66989514212273,241.2043584418657,,Belconnen
80101100801,373,1249.0,204.1253548082495,275.56922899113687,,Belconnen
80101100802,517,2519.3,235.44016001508453,317.8442160203641,,Belconnen
80101100803,409,1240.9,206.97223439384763,279.4125164316943,,Belconnen
80101100804,297,2272.0,120.22370250895584,162.3019983870904,,Belconnen
80101100805,472,2086.9,173.3854768057,234.070393687695,,Belconnen
80101100806,332,1515.4,205.70343955717902,277.6996434021917,,Belconnen
80101100807,566,2671.4,261.01113429411566,352.3650312970562,,Belconnen
80101100808,364,3099.9,126.73980029545285,171.09873039886136,,Belconnen
80101100809,473,1818.8,342.976059803418,463.0176807346144,,Belconnen
80101100810,361,721.2,156.8249921969657,211.7137394659037,,Belconnen
80101100811,209,2157.8,129.91720676892825,175.38822913805316,,Belconnen
80101100812,416,2510.4,195.36660220587143,263.74491297792645,,Belconnen
80101100901,381,2246.6,91.98351315358876,124.17774275734483,,Belconnen
80101100902,285,1927.6,221.33852737949007,298.8070119623116,,Belconnen
80101100903,439,1083.9,221.32993758748145,298.79541574309997,,Belconnen
80101100904,373,1682.6,196.6736566957453,265.50943653925617,,Belconnen
80101100905,368,2424.8,170.56251213779987,230.25939138602985,,Belconnen
80101100906,495,2546.7,221.52300747347542,299.0560600891918,,Belconnen
80101100907,304,1377.1,225.4484638143854,304.35542614942034,,Belconnen
80101100908,347,1917.5,234.70480302944887,316.851484089756,,Belconnen
80101100909,304,2239.9,165.12287333173276,222.91587899783926,,Belconnen
80101100910,374,1370.1,91.44987565496075,123.45733213419702,,Belconnen
80101101001,400,424.0,93.76050704633477,126.57668451255194,,Belconnen
80101101002,349,1937.2,149.17044035511273,201.3800944794022,,Belconnen
80101101003,452,1638.9,109.34640722388383,147.61764975224318,,Belconnen
