route_id,route_short_name,route_label,route_long_name,day_type,category,count,percentage,total_observations
1,1,1,Light Rail (Gungahlin to Alinga Street),weekday,Excellent (±1min),16604,95.4,17404
1,1,1,Light Rail (Gungahlin to Alinga Street),weekday,Fair (3-6min),20,0.1,17404
1,1,1,Light Rail (Gungahlin to Alinga Street),weekday,Good (1-3min),780,4.5,17404
1,1,1,Light Rail (Gungahlin to Alinga Street),weekday,Poor (6-9min),0,0.0,17404
1,1,1,Light Rail (Gungahlin to Alinga Street),weekday,Very Poor (10+min),0,0.0,17404
2,2,2,Fraser to Fyshwick via Belconnen & City,weekday,Excellent (±1min),9650,26.2,36828
2,2,2,Fraser to Fyshwick via Belconnen & City,weekday,Fair (3-6min),8847,24.0,36828
2,2,2,Fraser to Fyshwick via Belconnen & City,weekday,Good (1-3min),9929,27.0,36828
2,2,2,Fraser to Fyshwick via Belconnen & City,weekday,Poor (6-9min),4200,11.4,36828
2,2,2,Fraser to Fyshwick via Belconnen & City,weekday,Very Poor (10+min),4202,11.4,36828
3,3,3,Spence to CBR Airport via City & Brindabella Park,weekday,Excellent (±1min),8332,41.0,20304
3,3,3,Spence to CBR Airport via City & Brindabella Park,weekday,Fair (3-6min),4284,21.1,20304
3,3,3,Spence to CBR Airport via City & Brindabella Park,weekday,Good (1-3min),7104,35.0,20304
3,3,3,Spence to CBR Airport via City & Brindabella Park,weekday,Poor (6-9min),552,2.7,20304
3,3,3,Spence to CBR Airport via City & Brindabella Park,weekday,Very Poor (10+min),32,0.2,20304
4,4,4,Belconnen to Tuggeranong via City & Woden,weekday,Excellent (±1min),2463,11.5,21464
4,4,4,Belconnen to Tuggeranong via City & Woden,weekday,Fair (3-6min),5208,24.3,21464
4,4,4,Belconnen to Tuggeranong via City & Woden,weekday,Good (1-3min),3311,15.4,21464
4,4,4,Belconnen to Tuggeranong via City & Woden,weekday,Poor (6-9min),5585,26.0,21464
4,4,4,Belconnen to Tuggeranong via City & Woden,weekday,Very Poor (10+min),4897,22.8,21464
5,5,5,Lanyon to City ANU via Erindale & Woden,weekday,Excellent (±1min),3275,24.9,13175
5,5,5,Lanyon to City ANU via Erindale & Woden,weekday,Fair (3-6min),2996,22.7,13175
5,5,5,Lanyon to City ANU via Erindale & Woden,weekday,Good (1-3min),3118,23.7,13175
5,5,5,Lanyon to City ANU via Erindale & Woden,weekday,Poor (6-9min),2809,21.3,13175
5,5,5,Lanyon to City ANU via Erindale & Woden,weekday,Very Poor (10+min),977,7.4,13175
6,6,6,Woden to City ANU via Kingston,weekday,Excellent (±1min),2724,32.0,8510
6,6,6,Woden to City ANU via Kingston,weekday,Fair (3-6min),1607,18.9,8510
6,6,6,Woden to City ANU via Kingston,weekday,Good (1-3min),3438,40.4,8510
6,6,6,Woden to City ANU via Kingston,weekday,Poor (6-9min),491,5.8,8510
6,6,6,Woden to City ANU via Kingston,weekday,Very Poor (10+min),250,2.9,8510
7,7,7,Duffy to City ANU via Cooleman Court,weekday,Excellent (±1min),1070,31.8,3362
7,7,7,Duffy to City ANU via Cooleman Court,weekday,Fair (3-6min),850,25.3,3362
7,7,7,Duffy to City ANU via Cooleman Court,weekday,Good (1-3min),1369,40.7,3362
7,7,7,Duffy to City ANU via Cooleman Court,weekday,Poor (6-9min),50,1.5,3362
7,7,7,Duffy to City ANU via Cooleman Court,weekday,Very Poor (10+min),23,0.7,3362
8,8,8,Gunghalin to Belconnen,weekday,Excellent (±1min),804,35.0,2297
8,8,8,Gunghalin to Belconnen,weekday,Fair (3-6min),309,13.5,2297
8,8,8,Gunghalin to Belconnen,weekday,Good (1-3min),1031,44.9,2297
8,8,8,Gunghalin to Belconnen,weekday,Poor (6-9min),94,4.1,2297
8,8,8,Gunghalin to Belconnen,weekday,Very Poor (10+min),59,2.6,2297
9,9,9,Belconnen to Watson via Bruce & Dickson,weekday,Excellent (±1min),4306,62.1,6930
9,9,9,Belconnen to Watson via Bruce & Dickson,weekday,Fair (3-6min),699,10.1,6930
9,9,9,Belconnen to Watson via Bruce & Dickson,weekday,Good (1-3min),1880,27.1,6930
9,9,9,Belconnen to Watson via Bruce & Dickson,weekday,Poor (6-9min),42,0.6,6930
9,9,9,Belconnen to Watson via Bruce & Dickson,weekday,Very Poor (10+min),3,0.0,6930
10,10,10,Denman Prospect to City ANU,weekday,Excellent (±1min),1292,28.3,4571
10,10,10,Denman Prospect to City ANU,weekday,Fair (3-6min),1477,32.3,4571
10,10,10,Denman Prospect to City ANU,weekday,Good (1-3min),1509,33.0,4571
10,10,10,Denman Prospect to City ANU,weekday,Poor (6-9min),254,5.6,4571
10,10,10,Denman Prospect to City ANU,weekday,Very Poor (10+min),39,0.9,4571
18,18,18,Gungahlin to Dickson via Franklin & Mitchell,weekday,Excellent (±1min),276,18.0,1532
18,18,18,Gungahlin to Dickson via Franklin & Mitchell,weekday,Fair (3-6min),448,29.2,1532
18,18,18,Gungahlin to Dickson via Franklin & Mitchell,weekday,Good (1-3min),480,31.3,1532
18,18,18,Gungahlin to Dickson via Franklin & Mitchell,weekday,Poor (6-9min),198,12.9,1532
18,18,18,Gungahlin to Dickson via Franklin & Mitchell,weekday,Very Poor (10+min),130,8.5,1532
19,19,19,Bonner Loop via Forde & Amaroo,weekday,Excellent (±1min),334,22.4,1494
19,19,19,Bonner Loop via Forde & Amaroo,weekday,Fair (3-6min),476,31.9,1494
19,19,19,Bonner Loop via Forde & Amaroo,weekday,Good (1-3min),392,26.2,1494
19,19,19,Bonner Loop via Forde & Amaroo,weekday,Poor (6-9min),185,12.4,1494
19,19,19,Bonner Loop via Forde & Amaroo,weekday,Very Poor (10+min),107,7.2,1494
20,20,20,Bonner Loop via Amaroo & Forde,weekday,Excellent (±1min),166,12.2,1362
20,20,20,Bonner Loop via Amaroo & Forde,weekday,Fair (3-6min),464,34.1,1362
20,20,20,Bonner Loop via Amaroo & Forde,weekday,Good (1-3min),354,26.0,1362
20,20,20,Bonner Loop via Amaroo & Forde,weekday,Poor (6-9min),63,4.6,1362
20,20,20,Bonner Loop via Amaroo & Forde,weekday,Very Poor (10+min),315,23.1,1362
21,21,21,Throsby Loop via Palmerston & Harrison,weekday,Excellent (±1min),305,22.8,1335
21,21,21,Throsby Loop via Palmerston & Harrison,weekday,Fair (3-6min),374,28.0,1335
21,21,21,Throsby Loop via Palmerston & Harrison,weekday,Good (1-3min),430,32.2,1335
21,21,21,Throsby Loop via Palmerston & Harrison,weekday,Poor (6-9min),208,15.6,1335
21,21,21,Throsby Loop via Palmerston & Harrison,weekday,Very Poor (10+min),18,1.3,1335
22,22,22,Throsby Loop via Harrison & Palmerston,weekday,Excellent (±1min),248,15.7,1577
22,22,22,Throsby Loop via Harrison & Palmerston,weekday,Fair (3-6min),454,28.8,1577
22,22,22,Throsby Loop via Harrison & Palmerston,weekday,Good (1-3min),273,17.3,1577
22,22,22,Throsby Loop via Harrison & Palmerston,weekday,Poor (6-9min),382,24.2,1577
22,22,22,Throsby Loop via Harrison & Palmerston,weekday,Very Poor (10+min),220,14.0,1577
23,23,23,Gungahlin to Belconnen via Crace & Giralang,weekday,Excellent (±1min),1157,25.5,4530
23,23,23,Gungahlin to Belconnen via Crace & Giralang,weekday,Fair (3-6min),1331,29.4,4530
23,23,23,Gungahlin to Belconnen via Crace & Giralang,weekday,Good (1-3min),1803,39.8,4530
23,23,23,Gungahlin to Belconnen via Crace & Giralang,weekday,Poor (6-9min),232,5.1,4530
23,23,23,Gungahlin to Belconnen via Crace & Giralang,weekday,Very Poor (10+min),7,0.2,4530
24,24,24,Gungahlin to Belconnen via Nicholls & McKellar,weekday,Excellent (±1min),1387,24.0,5777
24,24,24,Gungahlin to Belconnen via Nicholls & McKellar,weekday,Fair (3-6min),1434,24.8,5777
24,24,24,Gungahlin to Belconnen via Nicholls & McKellar,weekday,Good (1-3min),2618,45.3,5777
24,24,24,Gungahlin to Belconnen via Nicholls & McKellar,weekday,Poor (6-9min),278,4.8,5777
24,24,24,Gungahlin to Belconnen via Nicholls & McKellar,weekday,Very Poor (10+min),60,1.0,5777
25,25,25,Taylor Loop via Amaroo & Moncrieff,weekday,Excellent (±1min),484,35.5,1362
25,25,25,Taylor Loop via Amaroo & Moncrieff,weekday,Fair (3-6min),351,25.8,1362
25,25,25,Taylor Loop via Amaroo & Moncrieff,weekday,Good (1-3min),521,38.3,1362
25,25,25,Taylor Loop via Amaroo & Moncrieff,weekday,Poor (6-9min),6,0.4,1362
25,25,25,Taylor Loop via Amaroo & Moncrieff,weekday,Very Poor (10+min),0,0.0,1362
26,26,26,Taylor Loop via Moncrieff & Amaroo,weekday,Excellent (±1min),562,20.7,2709
26,26,26,Taylor Loop via Moncrieff & Amaroo,weekday,Fair (3-6min),673,24.8,2709
26,26,26,Taylor Loop via Moncrieff & Amaroo,weekday,Good (1-3min),1465,54.1,2709
26,26,26,Taylor Loop via Moncrieff & Amaroo,weekday,Poor (6-9min),9,0.3,2709
26,26,26,Taylor Loop via Moncrieff & Amaroo,weekday,Very Poor (10+min),0,0.0,2709
27,27,27,Casey to Gungahlin via Ngunnawal & Moncrieff,weekday,Excellent (±1min),489,26.8,1825
27,27,27,Casey to Gungahlin via Ngunnawal & Moncrieff,weekday,Fair (3-6min),587,32.2,1825
27,27,27,Casey to Gungahlin via Ngunnawal & Moncrieff,weekday,Good (1-3min),650,35.6,1825
27,27,27,Casey to Gungahlin via Ngunnawal & Moncrieff,weekday,Poor (6-9min),93,5.1,1825
27,27,27,Casey to Gungahlin via Ngunnawal & Moncrieff,weekday,Very Poor (10+min),6,0.3,1825
28,28,28,Casey to Gungahlin via Ngunnawal,weekday,Excellent (±1min),551,34.0,1619
