sa1_code,Suburb,sa3_name,population,pct_young_adults,pct_bachelor_plus,pct_non_english_home,Percnt_LabForc_prticipation_P,Median_age_persons,Median_tot_prsnl_inc_weekly,density_pop_per_km2,pt_propensity_score,high_pt_propensity,predicted_high_propensity,propensity_probability,prediction_correct
80101100101,Aranda,Belconnen,265,10.943396226415095,59.31372549019608,10.943396226415095,58.2,45,1408,716.0,0.0,0,0,0.32444556481703396,1
80101100102,Aranda,Belconnen,383,18.27676240208877,53.398058252427184,9.138381201044385,67.9,39,1505,1535.7,0.0,0,0,0.3552097368226141,1
80101100103,Aranda,Belconnen,418,22.727272727272727,62.96296296296296,32.535885167464116,73.3,35,1164,2784.3,0.2417529691880218,1,1,0.5101383359206596,1
80101100104,Aranda,Belconnen,466,16.523605150214593,64.3765903307888,10.72961373390558,66.1,43,1418,1555.3,0.0,0,0,0.4591032104373232,1
80101100105,Aranda,Belconnen,587,13.458262350936966,55.53191489361702,8.68824531516184,59.3,44,1314,2223.8,0.0,0,0,0.252571377844906,1
80101100106,Aranda,Belconnen,481,16.839916839916842,58.567774936061376,19.334719334719335,60.9,42,1495,2056.8,0.0,0,0,0.32169890671525214,1
80101100201,Belconnen,Belconnen,425,38.588235294117645,42.10526315789473,36.470588235294116,66.0,33,751,3875.8,0.17467802658841294,0,0,0.28873907430695805,1
80101100202,Belconnen,Belconnen,364,32.69230769230769,35.23489932885906,40.10989010989011,70.4,33,855,2262.3,0.15728241801803644,0,0,0.13535452240103116,1
80101100203,Belconnen,Belconnen,727,56.53370013755158,61.6191904047976,45.80467675378267,82.6,30,1160,14315.4,0.016078679109305893,0,0,0.1690844150429394,1
80101100208,Belconnen,Belconnen,396,33.83838383838384,50.74183976261127,31.060606060606062,75.0,33,1084,2358.0,0.18076275515058016,0,0,0.3441851699195171,1
80101100209,Belconnen,Belconnen,278,43.52517985611511,43.15352697095436,51.438848920863315,66.7,31,702,6520.3,0.29827698863799135,1,1,0.8675667978861208,1
