sa1_code,Suburb,sa3_name,population,pt_commute_rate,demand_score,supply_score,mismatch_score,cluster,cluster_name,cluster_confidence,priority_score,pred_demographics,residual_demographics,pred_service,residual_service,pred_combined,residual_combined,pct_working_age,pct_bachelor_plus,Percnt_LabForc_prticipation_P,median_income,pct_non_english_home,density_pop_per_km2,accessibility_score,weekday_peak_departures,weekday_offpeak_departures,weekend_departures,departures_per_1k,weekend_weekday_ratio,offpeak_peak_ratio
80101100101,Aranda,Belconnen,265.0,8.13953488372093,45.26222762790444,44.84294241911932,0.4192852087851193,2,Suburban Baseline,0.08800296280466005,42.028669139693825,9.135326041278224,-0.995791157557294,5.196425481095102,2.9431094026258284,7.831824084975313,0.3077107987456173,56.22641509433962,59.31372549019608,58.2,1408,10.943396226415096,716.0,2.824871132039179,0.0,3.0,0.0,0.0,0.0,3.0
80101100102,Aranda,Belconnen,383.0,9.523809523809524,49.93505808389485,43.93125062635364,6.003807457541214,2,Suburban Baseline,0.08226021697258573,45.09112972458952,4.450025398144129,5.073784125665394,6.566351993520309,2.957457530289215,5.174441495835744,4.34936802797378,62.92428198433421,53.398058252427184,67.9,1505,9.138381201044384,1535.7,2.175409347018986,0.0,3.0,0.0,0.0,0.0,3.0
80101100103,Aranda,Belconnen,418.0,8.823529411764707,55.164106177734865,49.9633313529165,5.200774824818367,0,Undersupplied Urban,-0.1012411833341139,45.01570318835432,2.9048634752413474,5.918665936523359,7.040827059163347,1.7827023526013592,5.234634487109697,3.5888949246550093,63.63636363636363,62.96296296296296,73.3,1164,32.535885167464116,2784.3,4.050799239629625,6.0,9.0,12.0,14.354066985645934,1.7142857142857142,1.2857142857142858
80101100104,Aranda,Belconnen,466.0,9.34065934065934,51.95642113014251,43.659921106084596,8.296500024057913,2,Suburban Baseline,0.08355935782297187,46.591071919735526,4.209103403863263,5.131555936796079,4.412841291386618,4.927818049272723,4.154186009954746,5.186473330704596,66.30901287553648,64.3765903307888,66.1,1418,10.72961373390558,1555.3,1.9821223656499438,0.0,3.0,0.0,0.0,0.0,3.0
80101100105,Aranda,Belconnen,587.0,4.166666666666666,44.74320312352587,44.631426376024876,0.11177674750099698,2,Suburban Baseline,0.08686847677324798,44.16690171023636,3.930048553775611,0.2366181128910551,5.570699844248776,-1.40403317758211,4.9059221479445405,-0.7392554812778744,58.26235093696763,55.53191489361702,59.3,1314,8.68824531516184,2223.8,2.6741934710153803,0.0,3.0,0.0,0.0,0.0,3.0
80101100106,Aranda,Belconnen,481.0,9.523809523809524,51.090152321818415,44.738066825312956,6.35208549650546,2,Suburban Baseline,0.09504972858755029,45.91864318736623,6.876036322074432,2.6477732017350917,5.64996340982692,3.873846113982604,6.939849770144473,2.5839597536650505,61.95426195426196,58.567774936061376,60.9,1495,19.334719334719335,2056.8,2.7501609164827716,0.0,3.0,0.0,0.0,0.0,3.0
80101100201,Belconnen,Belconnen,425.0,14.893617021276595,50.03517908006867,48.47493001654959,1.5602490635190804,1,Oversupplied Suburban,0.12391804315715753,43.60865018720539,13.307962499584272,1.585654521692323,12.534680698967488,2.3589363223091073,12.877736008759063,2.015881012517532,79.76470588235294,42.10526315789473,66.0,751,36.47058823529411,3875.8,2.995653377530155,6.0,9.0,12.0,14.11764705882353,1.7142857142857142,1.2857142857142858
80101100202,Belconnen,Belconnen,364.0,11.538461538461538,48.523259773129915,48.41473133348503,0.10852843964488557,1,Oversupplied Suburban,0.15022145648952953,42.59959115113885,9.138073943790914,2.400387594670624,8.891257404029423,2.6472041344321156,8.216543416160125,3.3219181223014136,71.7032967032967,35.23489932885906,70.4,855,40.10989010989011,2262.3,2.9012689029033574,6.0,9.0,12.0,16.483516483516485,1.7142857142857142,1.2857142857142858
80101100203,Belconnen,Belconnen,727.0,18.683651804670912,73.77899620588532,43.81238567123865,29.96661053464667,0,Undersupplied Urban,0.19340338747266286,57.091981292510354,14.03969187475828,4.643959929912631,19.94537204015069,-1.2617202354797783,16.733637633580898,1.9500141710900143,85.9697386519945,61.6191904047976,82.6,1160,45.80467675378267,14315.4,1.5500368172981236,1.0,11.0,0.0,1.375515818431912,0.0,3.0
80101100208,Belconnen,Belconnen,396.0,16.666666666666664,54.82741285118687,48.862352714069516,5.965060137117355,0,Undersupplied Urban,-0.1299746292202957,45.166922931251435,10.824904573517337,5.8417620931493275,8.986032861059629,7.680633805607036,11.062832659484592,5.603834007182073,75.0,50.74183976261127,75.0,1084,31.060606060606062,2358.0,3.2491361842270847,6.0,9.0,12.0,15.151515151515152,1.7142857142857142,1.2857142857142858
80101100209,Belconnen,Belconnen,278.0,12.173913043478262,55.66518155583293,50.690805995595476,4.974375560237455,0,Undersupplied Urban,-0.02473994210141697,43.94199741510622,14.080886911175623,-1.9069738676973615,15.922601534919398,-3.748688491441136,11.395479245377354,0.7784337981009077,83.45323741007195,43.15352697095436,66.7,702,51.438848920863315,6520.3,4.411675127252774,6.0,9.0,12.0,21.58273381294964,1.7142857142857142,1.2857142857142858
80101100210,Belconnen,Belconnen,366.0,8.666666666666668,50.48029209922811,43.91760604211254,6.56268605711557,2,Suburban Baseline,0.06561601192480826,45.19529914194736,8.019378620188803,0.6472880464778648,5.400349283673931,3.266317382992737,7.890500933660812,0.7761657330058558,72.6775956284153,51.52439024390244,62.8,1104,26.50273224043716,2733.1,1.5954591736770978,1.0,11.0,0.0,2.73224043715847,0.0,3.0
80101100211,Belconnen,Belconnen,578.0,10.96345514950166,57.56719910334392,43.47899625205608,14.08820285128784,0,Undersupplied Urban,0.052807809897895866,49.69426990456009,7.754290655569573,3.2091644939320876,6.935935808529713,4.027519340971947,10.8730070575956,0.0904480919060617,80.44982698961938,49.09819639278557,73.9,907,46.19377162629758,3652.2,1.3048214861781275,1.0,11.0,0.0,1.7301038062283738,0.0,3.0
80101100212,Belconnen,Belconnen,539.0,8.91089108910891,24.124272624356543,50.35649894092065,-26.23222631656411,1,Oversupplied Suburban,0.04470975061087524,33.29222183292492,8.941905133449989,-0.0310140443410791,9.505267864521642,-0.5943767754127318,7.973608389407879,0.9372826997010312,31.3543599257885,42.592592592592595,29.1,831,21.521335807050093,4003.7,4.401024603967272,6.0,9.0,12.0,11.131725417439704,1.7142857142857142,1.2857142857142858
80101100213,Belconnen,Belconnen,19.0,0.0,54.86550856268181,56.99649466368381,-2.1309861010020015,1,Oversupplied Suburban,0.11608243099902651,39.281032525891334,2.2266794249794404,-2.2266794249794404,0.3375366877278238,-0.3375366877278238,0.2342632963645284,-0.2342632963645284,73.68421052631578,63.1578947368421,73.7,939,36.84210526315789,385.6,2.4993034532619,6.0,9.0,12.0,315.7894736842105,1.7142857142857142,1.2857142857142858
80101100215,Belconnen,Belconnen,548.0,20.298507462686565,72.3661203716752,58.42507652808354,13.941043843591657,0,Undersupplied Urban,0.16168668346464757,49.42473214417824,16.000041251260928,4.298466211425637,17.912217811816063,2.386289650870502,17.65287455705992,2.6456329056266448,91.42335766423358,61.30268199233716,81.0,1185,53.46715328467153,7477.8,10.152816028868466,6.0,9.0,12.0,10.948905109489052,1.7142857142857142,1.2857142857142858
80101100216,Belconnen,Belconnen,1468.0,20.26378896882494,77.27965553229645,51.484857136469564,25.79479839582688,0,Undersupplied Urban,0.16937964693095645,60.626908122375696,18.5362483250118,1.727540643813139,20.164458649356096,0.0993303194688444,18.59131507010455,1.6724738987203909,91.4850136239782,58.80204528853178,75.9,947,63.62397820163488,19420.3,5.358179870322576,6.0,9.0,12.0,4.087193460490463,1.7142857142857142,1.2857142857142858
80101100217,Belconnen,Belconnen,378.0,26.24434389140272,67.37876284004169,66.1165000744393,1.2622627656023866,3,Urban Core - Well Served,0.14621815016928497,43.159399488263425,20.19440985944177,6.049934031960948,20.416627058234475,5.8277168331682425,21.684371341136703,4.559972550266014,89.15343915343915,56.14525139664804,78.1,1142,43.91534391534391,7472.1,1.9918186161909963,49.0,86.0,68.5,129.62962962962962,1.37,1.72
80101100218,Belconnen,Belconnen,547.0,17.559523809523807,78.9480788328255,47.58270817828676,31.365370654538744,0,Undersupplied Urban,0.17270511437551742,56.387440396646966,16.502875175777646,1.0566486337461605,14.695815022041009,2.863708787482798,16.991122171399773,0.5684016381240333,89.21389396709324,63.13725490196078,81.5,1161,45.88665447897623,20978.4,2.428603527161834,6.0,9.0,12.0,10.968921389396709,1.7142857142857142,1.2857142857142858
80101100219,Belconnen,Belconnen,383.0,17.322834645669293,73.3013526217103,48.89392278330996,24.407429838400333,0,Undersupplied Urban,0.2303204949998404,52.45257867693317,13.76447868555088,3.558355960118414,16.701897647813084,0.6209369978562087,13.856721514544024,3.466113131125267,90.33942558746736,59.61538461538461,88.3,1341,43.60313315926893,7075.7,3.260430769474031,6.0,9.0,12.0,15.665796344647518,1.7142857142857142,1.2857142857142858
80101100220,Belconnen,Belconnen,238.0,15.909090909090908,79.75680662249313,68.94761764275196,10.809188979741165,3,Urban Core - Well Served,0.15612544586233132,45.99502390650321,16.2758930741642,-0.36680216507329,15.710599514134534,0.198491394956374,17.235970314078408,-1.3268794049874997,89.49579831932773,55.5045871559633,78.0,1169,51.26050420168067,24241.8,2.3487361536714366,49.0,86.0,68.5,205.8823529411765,1.37,1.72
80101100222,Belconnen,Belconnen,586.0,15.0,82.88300135480797,49.70492960139754,33.178071753410435,0,Undersupplied Urban,0.13837592431336648,57.38639724069002,13.755791171400476,1.2442088285995254,16.319037179148395,-1.3190371791483957,15.546257670317589,-0.5462576703175888,84.1296928327645,62.89424860853432,78.2,1201,48.97610921501707,29248.5,3.95630126451068,6.0,9.0,12.0,10.238907849829353,1.7142857142857142,1.2857142857142858
80101100224,Belconnen,Belconnen,236.0,33.0188679245283,56.41331848451715,70.7863904135904,-14.373071929073248,3,Urban Core - Well Served,0.10514380786300392,35.90807459915722,27.053913816178568,5.964954108349733,23.680719722762586,9.338148201765716,27.62784684049412,5.391021084034179,96.1864406779661,32.6271186440678,72.5,421,46.61016949152542,9707.1,3.6206420877678,49.0,86.0,68.5,207.6271186440678,1.37,1.72
