route_id,route_short_name,route_long_name,service_type,mean_headway_min,departures
10-10657,10,Denman Prospect to City ANU,saturday,30.0,32
10-10657,10,Denman Prospect to City ANU,sunday,30.0,28
10-10657,10,Denman Prospect to City ANU,weekday_offpeak,16.205882352941178,36
10-10657,10,Denman Prospect to City ANU,weekday_peak,12.411764705882353,19
18-10657,18,Gungahlin to Dickson via Franklin & Mitchell,saturday,32.77777777777778,28
18-10657,18,Gungahlin to Dickson via Franklin & Mitchell,sunday,59.857142857142854,15
18-10657,18,Gungahlin to Dickson via Franklin & Mitchell,weekday_offpeak,15.054054054054054,39
18-10657,18,Gungahlin to Dickson via Franklin & Mitchell,weekday_peak,14.142857142857142,16
180-10657,180,Lanyon to City ANU via Banks & Conder,weekday_peak,23.666666666666668,5
181-10657,181,Lanyon to City ANU via Banks & Gordon,weekday_peak,29.333333333333332,5
182-10657,182,Lanyon to City ANU via Calwell & Chisholm,weekday_peak,31.0,6
19-10657,19,Bonner Loop via Forde & Amaroo,saturday,67.5,13
19-10657,19,Bonner Loop via Forde & Amaroo,sunday,120.0,7
19-10657,19,Bonner Loop via Forde & Amaroo,weekday_offpeak,32.0625,18
19-10657,19,Bonner Loop via Forde & Amaroo,weekday_peak,31.0,8
2-10657,2,Fraser to Fyshwick via Belconnen & City,saturday,15.11111111111111,64
2-10657,2,Fraser to Fyshwick via Belconnen & City,sunday,14.641509433962264,54
2-10657,2,Fraser to Fyshwick via Belconnen & City,weekday_offpeak,6.6477272727272725,90
2-10657,2,Fraser to Fyshwick via Belconnen & City,weekday_peak,4.326923076923077,54
20-10657,20,Bonner Loop via Amaroo & Forde,saturday,69.23076923076923,14
20-10657,20,Bonner Loop via Amaroo & Forde,sunday,120.0,7
20-10657,20,Bonner Loop via Amaroo & Forde,weekday_offpeak,31.41176470588235,19
20-10657,20,Bonner Loop via Amaroo & Forde,weekday_peak,29.833333333333332,8
21-10657,21,Harrison Loop via Palmerston & Throsby,saturday,72.5,13
21-10657,21,Harrison Loop via Palmerston & Throsby,sunday,120.0,7
21-10657,21,Harrison Loop via Palmerston & Throsby,weekday_offpeak,33.0,18
21-10657,21,Harrison Loop via Palmerston & Throsby,weekday_peak,29.5,8
22-10657,22,Harrison Loop via Throsby & Palmerston,saturday,70.0,13
22-10657,22,Harrison Loop via Throsby & Palmerston,sunday,120.0,7
22-10657,22,Harrison Loop via Throsby & Palmerston,weekday_offpeak,32.5625,18
22-10657,22,Harrison Loop via Throsby & Palmerston,weekday_peak,27.571428571428573,9
23-10657,23,Gungahlin to Belconnen via Crace & Giralang,saturday,33.333333333333336,28
23-10657,23,Gungahlin to Belconnen via Crace & Giralang,sunday,61.76923076923077,14
23-10657,23,Gungahlin to Belconnen via Crace & Giralang,weekday_offpeak,14.833333333333334,38
23-10657,23,Gungahlin to Belconnen via Crace & Giralang,weekday_peak,14.785714285714286,16
24-10657,24,Gungahlin to Belconnen via Nicholls & McKellar,saturday,31.296296296296298,28
24-10657,24,Gungahlin to Belconnen via Nicholls & McKellar,sunday,55.76923076923077,14
24-10657,24,Gungahlin to Belconnen via Nicholls & McKellar,weekday_offpeak,15.529411764705882,36
24-10657,24,Gungahlin to Belconnen via Nicholls & McKellar,weekday_peak,14.071428571428571,16
25-10657,25,Taylor Loop via Amaroo & Moncrieff,saturday,67.5,13
25-10657,25,Taylor Loop via Amaroo & Moncrieff,sunday,120.0,7
25-10657,25,Taylor Loop via Amaroo & Moncrieff,weekday_offpeak,30.705882352941178,19
25-10657,25,Taylor Loop via Amaroo & Moncrieff,weekday_peak,29.5,8
26-10657,26,Taylor Loop via Moncrieff & Amaroo,saturday,69.23076923076923,14
26-10657,26,Taylor Loop via Moncrieff & Amaroo,sunday,120.0,7
26-10657,26,Taylor Loop via Moncrieff & Amaroo,weekday_offpeak,29.941176470588236,19
26-10657,26,Taylor Loop via Moncrieff & Amaroo,weekday_peak,25.714285714285715,9
27-10657,27,Casey to Gungahlin via Ngunnawal & Moncrieff,saturday,34.61538461538461,27
27-10657,27,Casey to Gungahlin via Ngunnawal & Moncrieff,sunday,61.84615384615385,14
27-10657,27,Casey to Gungahlin via Ngunnawal & Moncrieff,weekday_offpeak,15.88888888888889,38
27-10657,27,Casey to Gungahlin via Ngunnawal & Moncrieff,weekday_peak,14.928571428571429,16
28-10657,28,Casey to Gungahlin via Ngunnawal,saturday,33.46153846153846,27
28-10657,28,Casey to Gungahlin via Ngunnawal,sunday,58.15384615384615,14
28-10657,28,Casey to Gungahlin via Ngunnawal,weekday_offpeak,16.147058823529413,36
28-10657,28,Casey to Gungahlin via Ngunnawal,weekday_peak,13.928571428571429,16
3-10657,3,Spence to CBR Airport via City & Brindabella Park,saturday,15.245901639344263,62
3-10657,3,Spence to CBR Airport via City & Brindabella Park,sunday,15.0,57
3-10657,3,Spence to CBR Airport via City & Brindabella Park,weekday_offpeak,7.851351351351352,76
3-10657,3,Spence to CBR Airport via City & Brindabella Park,weekday_peak,7.4,32
30-10657,30,Belconnen to Dickson via Giralang & Kaleen North,saturday,31.20689655172414,30
30-10657,30,Belconnen to Dickson via Giralang & Kaleen North,sunday,56.333333333333336,16
30-10657,30,Belconnen to Dickson via Giralang & Kaleen North,weekday_offpeak,14.921052631578947,40
30-10657,30,Belconnen to Dickson via Giralang & Kaleen North,weekday_peak,14.071428571428571,16
31-10657,31,Belconnen to City via Kaleen South & Dickson,saturday,33.333333333333336,28
31-10657,31,Belconnen to City via Kaleen South & Dickson,sunday,60.53846153846154,14
31-10657,31,Belconnen to City via Kaleen South & Dickson,weekday_offpeak,15.771428571428572,37
31-10657,31,Belconnen to City via Kaleen South & Dickson,weekday_peak,12.875,18
32-10657,32,Belconnen to City via Jamison & Aranda,saturday,34.81481481481482,28
32-10657,32,Belconnen to City via Jamison & Aranda,sunday,56.92307692307692,14
32-10657,32,Belconnen to City via Jamison & Aranda,weekday_offpeak,16.08108108108108,39
32-10657,32,Belconnen to City via Jamison & Aranda,weekday_peak,11.352941176470589,19
4-10657,4,Belconnen to Tuggeranong via City & Woden,saturday,7.47244094488189,128
4-10657,4,Belconnen to Tuggeranong via City & Woden,sunday,7.535087719298246,115
4-10657,4,Belconnen to Tuggeranong via City & Woden,weekday_offpeak,5.637254901960785,104
4-10657,4,Belconnen to Tuggeranong via City & Woden,weekday_peak,2.783132530120482,85
40-10657,40,Fraser Loop via Kippax & Charnwood,saturday,64.61538461538461,14
40-10657,40,Fraser Loop via Kippax & Charnwood,sunday,120.0,7
40-10657,40,Fraser Loop via Kippax & Charnwood,weekday_offpeak,32.875,18
40-10657,40,Fraser Loop via Kippax & Charnwood,weekday_peak,30.0,8
41-10657,41,Fraser to Belconnen via Flynn & Melba,saturday,34.2962962962963,28
41-10657,41,Fraser to Belconnen via Flynn & Melba,sunday,58.0,14
