day_type,dep_hour,departures
saturday,5,4
saturday,6,103
saturday,7,123
saturday,8,123
saturday,9,124
saturday,10,124
saturday,11,123
saturday,12,124
saturday,13,124
saturday,14,123
saturday,15,125
saturday,16,124
saturday,17,117
saturday,18,98
saturday,19,81
saturday,20,80
saturday,21,79
saturday,22,78
saturday,23,77
saturday,24,22
sunday,6,2
sunday,7,76
sunday,8,81
sunday,9,83
sunday,10,82
sunday,11,82
sunday,12,82
sunday,13,83
sunday,14,81
sunday,15,84
sunday,16,82
sunday,17,82
sunday,18,82
sunday,19,80
sunday,20,78
sunday,21,30
weekday,5,95
weekday,6,273
weekday,7,284
weekday,8,275
weekday,9,255
weekday,10,250
weekday,11,249
weekday,12,249
weekday,13,248
weekday,14,257
weekday,15,279
weekday,16,277
weekday,17,263
weekday,18,256
weekday,19,150
weekday,20,122
weekday,21,117
weekday,22,112
weekday,23,9
