SA1_Code,Suburb,District,nearest_stop_id,nearest_stop_name,nearest_stop_lon,nearest_stop_lat,distance_m,weekday_peak_departures,weekday_offpeak_departures,weekday_total_departures,saturday_departures,sunday_departures
80101100101,Aranda,Belconnen,4006,Radford College College St,149.088549,-35.242521,1541.1089559923082,0.0,3.0,3.0,0.0,0.0
80101100102,Aranda,Belconnen,4006,Radford College College St,149.088549,-35.242521,1556.345371462598,0.0,3.0,3.0,0.0,0.0
80101100103,Aranda,Belconnen,5516,Belconnen Interchange Plt 6,149.069342,-35.240011,1969.9839289545916,6.0,9.0,23.0,16.0,8.0
80101100104,Aranda,Belconnen,4006,Radford College College St,149.088549,-35.242521,2202.238936455506,0.0,3.0,3.0,0.0,0.0
80101100105,Aranda,Belconnen,4006,Radford College College St,149.088549,-35.242521,2368.2581742460798,0.0,3.0,3.0,0.0,0.0
80101100106,Aranda,Belconnen,4006,Radford College College St,149.088549,-35.242521,1932.2633079845348,0.0,3.0,3.0,0.0,0.0
80101100201,Belconnen,Belconnen,5516,Belconnen Interchange Plt 6,149.069342,-35.240011,574.2987849342834,6.0,9.0,23.0,16.0,8.0
80101100202,Belconnen,Belconnen,5516,Belconnen Interchange Plt 6,149.069342,-35.240011,948.9465159718935,6.0,9.0,23.0,16.0,8.0
80101100203,Belconnen,Belconnen,941,Cohen St Interchange Plt 1,149.06032,-35.239471,634.1323480629335,1.0,11.0,12.0,0.0,0.0
80101100205,Belconnen,Belconnen,5516,Belconnen Interchange Plt 6,149.069342,-35.240011,1135.8507426068784,6.0,9.0,23.0,16.0,8.0
80101100208,Belconnen,Belconnen,5516,Belconnen Interchange Plt 6,149.069342,-35.240011,762.5031248216691,6.0,9.0,23.0,16.0,8.0
80101100209,Belconnen,Belconnen,5516,Belconnen Interchange Plt 6,149.069342,-35.240011,426.5167885602788,6.0,9.0,23.0,16.0,8.0
80101100210,Belconnen,Belconnen,941,Cohen St Interchange Plt 1,149.06032,-35.239471,1004.1464639060313,1.0,11.0,12.0,0.0,0.0
80101100211,Belconnen,Belconnen,941,Cohen St Interchange Plt 1,149.06032,-35.239471,584.5017811116732,1.0,11.0,12.0,0.0,0.0
80101100212,Belconnen,Belconnen,5516,Belconnen Interchange Plt 6,149.069342,-35.240011,1054.514661748342,6.0,9.0,23.0,16.0,8.0
80101100213,Belconnen,Belconnen,5516,Belconnen Interchange Plt 6,149.069342,-35.240011,305.8891259646761,6.0,9.0,23.0,16.0,8.0
80101100215,Belconnen,Belconnen,5516,Belconnen Interchange Plt 6,149.069342,-35.240011,478.14769202271106,6.0,9.0,23.0,16.0,8.0
80101100216,Belconnen,Belconnen,5516,Belconnen Interchange Plt 6,149.069342,-35.240011,118.11761904643252,6.0,9.0,23.0,16.0,8.0
80101100217,Belconnen,Belconnen,5515,Belconnen Interchange Plt 5,149.068853,-35.240015,360.3527060354606,49.0,86.0,183.0,93.0,44.0
80101100218,Belconnen,Belconnen,5516,Belconnen Interchange Plt 6,149.069342,-35.240011,270.44290161438414,6.0,9.0,23.0,16.0,8.0
80101100219,Belconnen,Belconnen,5516,Belconnen Interchange Plt 6,149.069342,-35.240011,341.8951513074162,6.0,9.0,23.0,16.0,8.0
80101100220,Belconnen,Belconnen,5515,Belconnen Interchange Plt 5,149.068853,-35.240015,285.4700474005545,49.0,86.0,183.0,93.0,44.0
80101100221,Belconnen,Belconnen,5515,Belconnen Interchange Plt 5,149.068853,-35.240015,447.277023159572,49.0,86.0,183.0,93.0,44.0
80101100222,Belconnen,Belconnen,5516,Belconnen Interchange Plt 6,149.069342,-35.240011,197.1004633030518,6.0,9.0,23.0,16.0,8.0
80101100223,Belconnen,Belconnen,4479,Cohen St Interchange Plt 3,149.060494,-35.239773,243.00919782602807,82.0,93.0,247.0,148.0,116.0
80101100224,Belconnen,Belconnen,5515,Belconnen Interchange Plt 5,149.068853,-35.240015,167.5511886932291,49.0,86.0,183.0,93.0,44.0
80101100225,Belconnen,Belconnen,5515,Belconnen Interchange Plt 5,149.068853,-35.240015,137.9611533486307,49.0,86.0,183.0,93.0,44.0
80101100301,Bruce,Belconnen,4006,Radford College College St,149.088549,-35.242521,706.7829020021546,0.0,3.0,3.0,0.0,0.0
80101100304,Bruce,Belconnen,4006,Radford College College St,149.088549,-35.242521,1118.5096369273108,0.0,3.0,3.0,0.0,0.0
80101100306,Bruce,Belconnen,4006,Radford College College St,149.088549,-35.242521,543.2215526535174,0.0,3.0,3.0,0.0,0.0
80101100307,Bruce,Belconnen,4006,Radford College College St,149.088549,-35.242521,814.3738467889965,0.0,3.0,3.0,0.0,0.0
80101100308,Bruce,Belconnen,4006,Radford College College St,149.088549,-35.242521,597.4556677751798,0.0,3.0,3.0,0.0,0.0
80101100309,Bruce,Belconnen,4006,Radford College College St,149.088549,-35.242521,793.9877039878446,0.0,3.0,3.0,0.0,0.0
80101100310,Bruce,Belconnen,4006,Radford College College St,149.088549,-35.242521,1051.9350987459322,0.0,3.0,3.0,0.0,0.0
80101100311,Bruce,Belconnen,4006,Radford College College St,149.088549,-35.242521,888.9977900274638,0.0,3.0,3.0,0.0,0.0
80101100312,Bruce,Belconnen,4006,Radford College College St,149.088549,-35.242521,667.9443579486498,0.0,3.0,3.0,0.0,0.0
80101100314,Bruce,Belconnen,4006,Radford College College St,149.088549,-35.242521,1204.0167372326707,0.0,3.0,3.0,0.0,0.0
80101100315,Bruce,Belconnen,4006,Radford College College St,149.088549,-35.242521,769.9222081609039,0.0,3.0,3.0,0.0,0.0
80101100316,Bruce,Belconnen,4006,Radford College College St,149.088549,-35.242521,614.3900246062082,0.0,3.0,3.0,0.0,0.0
80101100317,Bruce,Belconnen,4006,Radford College College St,149.088549,-35.242521,299.45955042147114,0.0,3.0,3.0,0.0,0.0
80101100318,Bruce,Belconnen,4006,Radford College College St,149.088549,-35.242521,1068.6542239151038,0.0,3.0,3.0,0.0,0.0
80101100319,Bruce,Belconnen,5516,Belconnen Interchange Plt 6,149.069342,-35.240011,1109.4339173494927,6.0,9.0,23.0,16.0,8.0
80101100320,Bruce,Belconnen,4006,Radford College College St,149.088549,-35.242521,514.9550908583022,0.0,3.0,3.0,0.0,0.0
80101100321,Bruce,Belconnen,4006,Radford College College St,149.088549,-35.242521,849.8145973213739,0.0,3.0,3.0,0.0,0.0
80101100322,Bruce,Belconnen,4006,Radford College College St,149.088549,-35.242521,964.2172565989587,0.0,3.0,3.0,0.0,0.0
80101100401,Charnwood,Belconnen,4230,Kerrigan St after Crowley Ct,149.040123,-35.193772,151.25733657010517,0.0,0.0,1.0,0.0,0.0
80101100402,Charnwood,Belconnen,4230,Kerrigan St after Crowley Ct,149.040123,-35.193772,435.62445850401525,0.0,0.0,1.0,0.0,0.0
80101100403,Charnwood,Belconnen,4230,Kerrigan St after Crowley Ct,149.040123,-35.193772,597.5022043248279,0.0,0.0,1.0,0.0,0.0
80101100404,Charnwood,Belconnen,4230,Kerrigan St after Crowley Ct,149.040123,-35.193772,949.4069975160639,0.0,0.0,1.0,0.0,0.0
80101100405,Charnwood,Belconnen,4221,Fraser West Terminus Shakespeare Cr,149.036036,-35.190579,739.604410433555,31.0,49.0,108.0,51.0,34.0
80101100406,Charnwood,Belconnen,4230,Kerrigan St after Crowley Ct,149.040123,-35.193772,1305.5461332633088,0.0,0.0,1.0,0.0,0.0
80101100408,Charnwood,Belconnen,4230,Kerrigan St after Crowley Ct,149.040123,-35.193772,1467.6360366324238,0.0,0.0,1.0,0.0,0.0
80101100409,Charnwood,Belconnen,4230,Kerrigan St after Crowley Ct,149.040123,-35.193772,988.3066896215109,0.0,0.0,1.0,0.0,0.0
80101100501,Cook,Belconnen,4479,Cohen St Interchange Plt 3,149.060494,-35.239773,1941.7173288660167,82.0,93.0,247.0,148.0,116.0
80101100502,Cook,Belconnen,5515,Belconnen Interchange Plt 5,149.068853,-35.240015,2128.107333856744,49.0,86.0,183.0,93.0,44.0
80101100503,Cook,Belconnen,5515,Belconnen Interchange Plt 5,149.068853,-35.240015,2667.422442919556,49.0,86.0,183.0,93.0,44.0
80101100504,Cook,Belconnen,5516,Belconnen Interchange Plt 6,149.069342,-35.240011,2123.238182091284,6.0,9.0,23.0,16.0,8.0
80101100505,Cook,Belconnen,5516,Belconnen Interchange Plt 6,149.069342,-35.240011,1792.7580163713649,6.0,9.0,23.0,16.0,8.0
80101100506,Cook,Belconnen,5516,Belconnen Interchange Plt 6,149.069342,-35.240011,2553.5562773425672,6.0,9.0,23.0,16.0,8.0
80101100507,Cook,Belconnen,5515,Belconnen Interchange Plt 5,149.068853,-35.240015,2664.6822237937217,49.0,86.0,183.0,93.0,44.0
80101100508,Cook,Belconnen,4479,Cohen St Interchange Plt 3,149.060494,-35.239773,2486.973262588657,82.0,93.0,247.0,148.0,116.0
80101100509,Cook,Belconnen,4479,Cohen St Interchange Plt 3,149.060494,-35.239773,2234.698928488508,82.0,93.0,247.0,148.0,116.0
80101100602,Dunlop,Belconnen,4809,Hirschfeld Cr Macgregor PS SSO,149.01265,-35.213215,1631.6972925831567,0.0,2.0,2.0,0.0,0.0
80101100604,Dunlop,Belconnen,4221,Fraser West Terminus Shakespeare Cr,149.036036,-35.190579,1109.9370661183884,31.0,49.0,108.0,51.0,34.0
80101100605,Dunlop,Belconnen,4221,Fraser West Terminus Shakespeare Cr,149.036036,-35.190579,1096.5737147151006,31.0,49.0,108.0,51.0,34.0
80101100606,Dunlop,Belconnen,4221,Fraser West Terminus Shakespeare Cr,149.036036,-35.190579,864.8651465146087,31.0,49.0,108.0,51.0,34.0
80101100607,Dunlop,Belconnen,4221,Fraser West Terminus Shakespeare Cr,149.036036,-35.190579,641.75744089517,31.0,49.0,108.0,51.0,34.0
80101100608,Dunlop,Belconnen,4221,Fraser West Terminus Shakespeare Cr,149.036036,-35.190579,1113.9610795191718,31.0,49.0,108.0,51.0,34.0
80101100609,Dunlop,Belconnen,4221,Fraser West Terminus Shakespeare Cr,149.036036,-35.190579,856.5458181709752,31.0,49.0,108.0,51.0,34.0
80101100610,Dunlop,Belconnen,4221,Fraser West Terminus Shakespeare Cr,149.036036,-35.190579,1137.7348276138646,31.0,49.0,108.0,51.0,34.0
80101100611,Dunlop,Belconnen,4221,Fraser West Terminus Shakespeare Cr,149.036036,-35.190579,1648.572585913726,31.0,49.0,108.0,51.0,34.0
80101100612,Dunlop,Belconnen,4221,Fraser West Terminus Shakespeare Cr,149.036036,-35.190579,1759.3012653397507,31.0,49.0,108.0,51.0,34.0
80101100613,Dunlop,Belconnen,4221,Fraser West Terminus Shakespeare Cr,149.036036,-35.190579,1329.1726117029446,31.0,49.0,108.0,51.0,34.0
80101100614,Dunlop,Belconnen,4809,Hirschfeld Cr Macgregor PS SSO,149.01265,-35.213215,1389.3618959020216,0.0,2.0,2.0,0.0,0.0
80101100615,Dunlop,Belconnen,4809,Hirschfeld Cr Macgregor PS SSO,149.01265,-35.213215,1264.0867540418355,0.0,2.0,2.0,0.0,0.0
80101100616,Dunlop,Belconnen,4221,Fraser West Terminus Shakespeare Cr,149.036036,-35.190579,1408.431535536711,31.0,49.0,108.0,51.0,34.0
80101100617,Dunlop,Belconnen,4809,Hirschfeld Cr Macgregor PS SSO,149.01265,-35.213215,1570.6028370751576,0.0,2.0,2.0,0.0,0.0
80101100618,Dunlop,Belconnen,4221,Fraser West Terminus Shakespeare Cr,149.036036,-35.190579,462.38382687198,31.0,49.0,108.0,51.0,34.0
80101100619,Dunlop,Belconnen,4221,Fraser West Terminus Shakespeare Cr,149.036036,-35.190579,1668.8013668035353,31.0,49.0,108.0,51.0,34.0
80101100620,Dunlop,Belconnen,4221,Fraser West Terminus Shakespeare Cr,149.036036,-35.190579,1851.0862932676162,31.0,49.0,108.0,51.0,34.0
80101100621,Dunlop,Belconnen,4221,Fraser West Terminus Shakespeare Cr,149.036036,-35.190579,2083.20771186171,31.0,49.0,108.0,51.0,34.0
80101100622,Dunlop,Belconnen,4221,Fraser West Terminus Shakespeare Cr,149.036036,-35.190579,1549.8614121392495,31.0,49.0,108.0,51.0,34.0
80101100623,Dunlop,Belconnen,4221,Fraser West Terminus Shakespeare Cr,149.036036,-35.190579,757.5553721764262,31.0,49.0,108.0,51.0,34.0
80101100701,Evatt,Belconnen,4807,Copland Dr Spence Terminus,149.068587,-35.200702,2187.6189773369374,25.0,42.0,94.0,52.0,36.0
80101100702,Evatt,Belconnen,4807,Copland Dr Spence Terminus,149.068587,-35.200702,1820.4574566987878,25.0,42.0,94.0,52.0,36.0
80101100703,Evatt,Belconnen,4807,Copland Dr Spence Terminus,149.068587,-35.200702,1863.4947707446772,25.0,42.0,94.0,52.0,36.0
80101100704,Evatt,Belconnen,4807,Copland Dr Spence Terminus,149.068587,-35.200702,1449.3377633870443,25.0,42.0,94.0,52.0,36.0
80101100705,Evatt,Belconnen,4807,Copland Dr Spence Terminus,149.068587,-35.200702,1273.4820691740272,25.0,42.0,94.0,52.0,36.0
80101100706,Evatt,Belconnen,4807,Copland Dr Spence Terminus,149.068587,-35.200702,1105.2533634044132,25.0,42.0,94.0,52.0,36.0
80101100707,Evatt,Belconnen,4807,Copland Dr Spence Terminus,149.068587,-35.200702,873.211663714296,25.0,42.0,94.0,52.0,36.0
80101100708,Evatt,Belconnen,4807,Copland Dr Spence Terminus,149.068587,-35.200702,1365.4728867410686,25.0,42.0,94.0,52.0,36.0
80101100709,Evatt,Belconnen,4807,Copland Dr Spence Terminus,149.068587,-35.200702,1071.3046009513519,25.0,42.0,94.0,52.0,36.0
80101100710,Evatt,Belconnen,4807,Copland Dr Spence Terminus,149.068587,-35.200702,459.8279210417317,25.0,42.0,94.0,52.0,36.0
