route_short_name,route_long_name,service_type,mean_delay_min,median_delay_min,std_delay_min,observations,pct_ontime_1min,pct_ontime_3min,pct_late_5plus,pct_early_5plus,reliability_score
1,Light Rail (Gungahlin to Alinga Street),weekday_offpeak,0.24,0.2,0.47,13283,95.13,99.87,0.0,0.0,97.55
1,Light Rail (Gungahlin to Alinga Street),weekday_peak,0.19,0.1,0.44,4121,96.29,99.93,0.0,0.0,98.09
2,Fraser to Fyshwick via Belconnen & City,weekday_offpeak,-3.73,-2.7,4.21,28880,25.5,51.98,0.04,33.06,62.7
2,Fraser to Fyshwick via Belconnen & City,weekday_peak,-1.11,-0.8,3.5,7948,28.75,57.46,4.57,12.38,88.91
3,Spence to CBR Airport via City & Brindabella Park,weekday_offpeak,0.38,0.1,2.41,16051,43.04,77.7,3.89,1.48,96.22
3,Spence to CBR Airport via City & Brindabella Park,weekday_peak,1.57,1.1,2.97,4253,33.48,69.69,13.66,1.18,84.27
4,Belconnen to Tuggeranong via City & Woden,weekday_offpeak,-4.94,-5.7,4.7,17985,11.66,26.87,2.07,55.34,50.64
4,Belconnen to Tuggeranong via City & Woden,weekday_peak,-4.73,-5.3,6.67,3479,10.52,27.08,6.18,51.91,52.7
5,Lanyon to City ANU via Erindale & Woden,weekday_offpeak,-3.89,-3.9,3.94,10056,22.97,43.65,0.05,42.34,61.14
5,Lanyon to City ANU via Erindale & Woden,weekday_peak,-2.25,-1.6,3.4,3119,30.94,64.25,0.9,18.5,77.51
6,Woden to City ANU via Kingston,weekday_offpeak,-2.06,-1.5,2.87,7089,33.76,71.91,0.08,13.42,79.39
6,Woden to City ANU via Kingston,weekday_peak,-2.36,-1.8,2.19,1421,23.29,74.88,0.0,10.13,76.45
7,Duffy to City ANU via Cooleman Court,weekday_offpeak,-1.73,-1.7,2.58,2679,29.15,68.76,0.0,5.38,82.7
7,Duffy to City ANU via Cooleman Court,weekday_peak,-1.28,-1.2,1.77,683,42.31,87.41,0.0,3.07,87.15
8,Gunghalin to Belconnen,weekday_offpeak,1.16,-0.1,7.07,1970,33.5,79.09,9.95,0.1,88.37
8,Gunghalin to Belconnen,weekday_peak,0.81,0.8,1.73,327,44.04,84.71,0.0,0.0,91.87
9,Belconnen to Watson via Bruce & Dickson,weekday_offpeak,0.72,0.2,1.81,5780,63.69,87.66,3.51,0.02,92.78
9,Belconnen to Watson via Bruce & Dickson,weekday_peak,0.71,0.7,1.19,1150,54.35,97.3,0.09,0.0,92.91
10,Denman Prospect to City ANU,weekday_offpeak,-2.5,-2.4,2.4,3914,27.31,57.97,0.0,13.46,75.03
10,Denman Prospect to City ANU,weekday_peak,-0.55,-0.3,2.33,657,33.94,80.97,0.0,3.65,94.53
18,Gungahlin to Dickson via Franklin & Mitchell,weekday_offpeak,-2.84,-2.6,4.34,1329,17.23,47.1,3.31,27.31,71.63
18,Gungahlin to Dickson via Franklin & Mitchell,weekday_peak,-0.2,-0.8,3.48,203,23.15,64.04,6.4,3.94,97.96
19,Bonner Loop via Forde & Amaroo,weekday_offpeak,-3.34,-3.1,3.44,1112,24.19,49.01,0.0,26.62,66.56
19,Bonner Loop via Forde & Amaroo,weekday_peak,-3.78,-3.4,2.68,382,17.02,47.38,0.0,36.39,62.21
20,Bonner Loop via Amaroo & Forde,weekday_offpeak,-4.95,-3.9,4.74,1362,12.19,38.18,0.0,35.9,50.53
21,Throsby Loop via Palmerston & Harrison,weekday_offpeak,-1.37,-1.9,3.54,801,23.6,53.68,10.36,11.61,86.25
21,Throsby Loop via Palmerston & Harrison,weekday_peak,-2.73,-2.1,3.62,534,21.72,57.12,0.0,32.77,72.68
22,Throsby Loop via Harrison & Palmerston,weekday_offpeak,-4.59,-5.2,5.44,1041,10.85,29.39,1.92,52.26,54.13
22,Throsby Loop via Harrison & Palmerston,weekday_peak,-3.31,-4.7,3.49,536,25.19,40.11,0.0,44.4,66.88
23,Gungahlin to Belconnen via Crace & Giralang,weekday_offpeak,-2.31,-2.1,2.15,3417,25.17,64.65,0.0,12.53,76.91
23,Gungahlin to Belconnen via Crace & Giralang,weekday_peak,-1.99,-2.0,2.66,1113,26.68,67.48,0.99,10.78,80.14
24,Gungahlin to Belconnen via Nicholls & McKellar,weekday_offpeak,-1.55,-1.6,2.46,4434,24.22,71.02,1.04,6.74,84.55
24,Gungahlin to Belconnen via Nicholls & McKellar,weekday_peak,-2.01,-1.8,3.46,1343,23.31,63.74,0.82,17.72,79.88
25,Taylor Loop via Amaroo & Moncrieff,weekday_offpeak,0.4,0.6,2.53,1227,36.67,73.76,2.44,1.96,95.98
25,Taylor Loop via Amaroo & Moncrieff,weekday_peak,-0.38,0.5,2.63,135,25.19,74.07,0.0,4.44,96.21
