SA1_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
80101100101,5,0,0,4,0,0,0,0,0,12,59,25,17,37,33,40,28,24,11,265
80101100102,3,8,0,0,0,0,5,3,0,22,74,62,36,48,58,35,32,27,10,383
80101100103,3,0,0,3,0,3,6,0,0,15,98,47,61,67,48,40,27,22,6,418
80101100104,8,4,0,0,3,5,0,0,0,24,74,59,52,64,57,77,41,38,8,466
80101100105,8,3,3,8,7,0,7,6,0,34,119,65,43,69,76,83,66,47,20,587
80101100106,9,3,4,6,5,6,0,0,0,31,84,48,57,63,65,64,46,40,15,481
80101100201,0,3,6,4,4,4,0,0,0,27,46,66,115,71,48,38,16,13,0,425
80101100202,7,6,5,11,0,6,0,0,0,27,68,40,92,76,34,21,22,9,5,364
80101100203,3,3,10,8,0,0,0,0,0,32,58,117,307,119,50,38,21,13,0,727
80101100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100208,0,0,3,0,4,0,0,0,0,10,65,49,101,70,53,27,27,12,6,396
80101100209,4,4,9,0,4,0,5,0,0,20,39,41,87,49,26,25,14,0,0,278
80101100210,4,3,11,6,5,3,3,0,0,28,42,44,84,59,45,34,37,26,3,366
80101100211,5,12,4,11,4,4,0,3,0,38,80,87,191,97,49,38,26,11,7,578
80101100212,4,4,0,0,0,7,0,8,13,32,53,37,50,42,17,22,48,123,148,539
80101100213,0,0,0,0,0,0,0,0,0,0,0,8,3,5,0,0,0,0,0,19
80101100215,0,0,21,0,0,0,0,0,0,28,23,104,289,74,21,13,10,7,0,548
80101100216,6,31,64,0,14,0,0,0,0,121,96,390,772,100,56,31,12,7,0,1468
80101100217,0,0,13,6,0,4,0,0,0,29,17,58,169,54,28,24,14,4,0,378
80101100218,9,8,11,13,5,0,0,0,0,38,39,93,244,96,39,21,14,0,0,547
80101100219,5,3,6,8,0,0,0,0,0,21,22,52,196,70,18,11,3,0,0,383
80101100220,0,0,3,3,0,0,0,0,0,7,20,27,94,58,23,5,5,0,0,238
80101100221,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,8
80101100222,0,6,9,0,0,0,0,0,0,25,49,90,223,109,40,30,14,17,4,586
80101100223,0,0,0,4,0,0,0,0,0,5,0,0,4,5,5,0,0,0,0,14
80101100224,0,9,3,0,0,0,0,0,0,10,0,177,54,3,0,0,0,0,0,236
80101100225,0,7,5,4,0,3,4,0,0,14,27,78,142,59,26,33,29,13,6,408
80101100301,5,3,11,4,0,0,0,0,0,18,51,67,159,69,18,16,15,6,0,401
80101100304,8,5,12,15,3,0,0,0,0,46,105,135,271,163,83,62,31,12,4,858
80101100306,0,3,3,4,0,0,3,0,0,19,53,58,110,61,32,30,39,11,9,395
80101100307,0,5,6,0,0,0,0,0,0,10,26,55,60,40,23,21,14,12,0,250
80101100308,0,35,3,0,0,0,0,3,3,48,0,813,145,24,9,4,0,4,4,1012
80101100309,0,0,4,3,0,0,0,0,0,8,40,64,92,42,28,19,14,0,0,291
80101100310,0,0,0,0,0,0,0,0,0,4,30,41,47,35,33,28,13,4,0,246
80101100311,0,0,0,0,3,0,3,0,0,12,29,40,80,26,24,35,29,13,3,288
80101100312,0,3,6,5,6,0,0,0,0,20,85,117,142,89,63,67,40,19,5,621
80101100314,0,12,4,4,0,4,0,0,0,30,4,49,17,9,4,7,8,9,6,109
80101100315,0,0,4,0,0,5,6,0,0,24,43,52,53,39,51,36,71,43,6,395
80101100316,0,0,0,0,0,3,0,4,4,13,21,18,0,7,26,14,36,94,95,302
80101100317,5,6,6,0,3,0,0,0,0,20,27,96,239,64,17,11,9,5,0,478
80101100318,5,3,0,0,0,0,6,0,0,20,45,33,21,29,40,41,60,15,0,291
80101100319,0,0,3,0,0,0,0,0,0,11,38,27,54,31,26,41,46,25,10,296
80101100320,3,0,5,4,4,0,0,0,0,14,110,67,103,101,42,8,0,0,0,432
80101100321,0,11,19,3,0,0,0,0,0,27,52,79,189,77,42,8,8,3,0,467
80101100322,0,3,5,0,0,3,0,0,0,14,14,76,168,76,19,12,10,0,0,382
80101100401,4,0,0,0,0,0,0,0,0,12,52,24,28,30,30,27,17,7,0,226
80101100402,0,8,6,0,5,0,0,0,0,14,86,34,64,69,73,37,32,16,4,418
80101100403,7,4,3,0,3,3,0,0,0,22,113,42,67,91,56,45,24,18,8,458
80101100404,3,0,0,7,5,0,0,0,0,21,93,28,54,80,49,21,34,12,0,376
80101100405,6,8,13,5,4,0,3,0,0,38,91,54,86,55,55,50,47,18,0,448
80101100406,9,3,12,5,3,4,0,0,0,47,119,91,100,85,61,76,43,23,8,607
80101100408,0,0,3,0,5,0,0,0,0,10,30,12,32,38,22,13,20,9,7,175
80101100409,6,11,6,10,7,0,5,0,0,48,59,40,65,57,40,28,28,16,3,341
80101100501,9,0,6,5,5,4,0,0,0,31,66,16,46,56,34,23,25,26,7,301
80101100502,8,5,4,4,6,0,0,0,0,22,76,46,48,64,69,60,32,29,6,442
80101100503,0,3,0,0,4,0,5,5,0,16,36,42,35,24,57,44,41,29,3,313
80101100504,0,0,0,0,0,4,0,0,0,13,45,15,42,58,47,46,45,26,14,331
