SA1_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
80101100101,10,12,9,3,11,0,39,0,0,0,5,6,5,0,0,15,0,12,16,10,15,9,0,4,67,0,0,4,0,6,6,0,0,20,4,3,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,5,0,0,0,0,0,4,4,24,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,11,5,18,35,28,34,24,18,5,164
80101100102,15,19,16,8,9,0,68,0,0,0,4,0,6,0,0,19,9,15,11,21,10,8,6,0,78,4,7,0,3,3,0,0,0,25,4,4,4,0,0,0,4,0,17,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,9,4,4,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,9,0,0,5,3,3,3,3,21,21,27,37,53,35,36,24,3,237
80101100103,33,16,17,7,0,3,93,0,0,9,8,0,0,3,0,24,8,25,21,11,10,8,3,0,87,0,6,3,0,0,11,3,0,22,3,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,3,4,0,3,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,7,19,56,66,38,31,21,9,5,246
80101100104,22,18,26,25,17,0,110,0,3,8,7,9,3,5,0,27,6,21,18,26,31,11,4,5,116,0,10,12,0,8,0,0,0,26,3,10,5,4,3,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,4,3,0,0,0,27,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,8,15,45,61,52,76,37,30,8,314
80101100105,15,21,22,14,6,0,83,0,5,7,7,3,3,7,0,30,3,23,28,30,28,19,14,0,148,5,3,5,6,12,7,3,5,36,5,4,4,3,5,0,5,6,27,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,4,7,4,5,9,3,4,7,0,36,0,0,0,0,0,0,0,5,5,0,0,4,0,0,12,0,0,20,8,39,61,72,63,60,39,13,364
80101100106,18,12,20,7,10,0,85,0,0,3,7,4,3,0,0,28,7,19,19,20,26,11,9,4,116,0,0,6,7,8,4,0,0,30,4,6,0,3,0,3,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,9,6,0,3,4,5,6,0,34,0,0,0,0,0,0,0,0,0,3,9,8,0,0,4,0,0,20,13,48,62,53,58,36,29,10,312
80101100201,12,5,4,3,4,0,54,6,4,3,4,0,0,0,0,12,15,37,23,11,6,0,0,0,94,5,0,9,3,7,4,3,0,33,3,0,4,9,3,0,0,0,29,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,3,9,3,9,10,0,0,0,42,0,0,0,0,0,0,0,0,4,3,7,4,4,0,0,0,0,26,26,97,55,38,29,11,10,0,259
80101100202,10,3,0,4,0,0,32,0,0,3,0,3,0,0,0,12,3,29,12,7,0,0,3,0,61,6,8,8,6,5,0,0,0,26,3,5,17,4,0,0,0,0,37,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,7,12,17,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,3,23,16,66,61,22,8,7,4,4,200
80101100203,29,14,3,0,0,0,163,0,9,6,3,4,3,0,0,27,40,108,46,12,3,0,0,0,221,15,19,6,10,8,0,4,0,58,13,14,10,4,0,6,0,0,47,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,18,14,6,4,3,6,3,0,55,0,4,0,0,0,0,0,0,4,4,9,9,0,0,0,0,0,28,81,264,115,43,24,10,7,3,551
80101100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100208,18,13,4,4,0,0,58,0,11,0,5,4,0,0,0,18,6,38,22,13,5,6,0,0,95,3,7,5,3,0,5,0,0,33,12,8,6,10,0,5,0,0,32,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,12,8,12,7,0,3,0,0,39,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,21,85,56,47,21,21,6,0,252
80101100209,7,9,4,0,0,0,37,0,0,3,0,0,3,0,0,8,10,24,10,4,3,6,0,0,59,3,12,6,5,0,0,0,0,24,3,8,8,0,5,0,0,0,23,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,12,7,0,5,3,0,0,25,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,17,17,80,32,26,14,12,0,0,176
80101100210,11,5,8,3,3,0,54,0,9,4,3,0,0,3,0,23,7,30,20,14,6,9,5,0,92,0,4,7,3,5,4,5,0,28,0,6,0,6,9,0,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,9,4,8,5,0,3,0,33,0,0,0,0,0,0,0,0,0,0,5,6,0,0,3,0,0,18,20,65,51,31,28,26,21,3,244
80101100211,18,4,5,3,0,0,79,3,5,3,4,3,0,3,0,24,18,74,29,16,0,3,0,0,142,9,13,10,3,3,0,0,0,43,9,18,14,0,0,0,0,0,33,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,4,4,21,17,0,0,3,0,0,46,0,0,0,0,0,0,0,0,0,9,3,10,3,4,0,3,0,34,39,161,80,33,20,17,6,0,365
80101100212,9,5,4,5,10,11,67,0,0,3,0,3,6,8,5,17,9,22,18,4,4,10,27,25,123,0,5,8,0,0,3,14,20,43,3,6,4,0,0,5,12,11,38,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,6,12,27,3,6,4,3,0,14,18,22,66,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,6,15,33,17,50,43,17,13,37,88,93,355
80101100213,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,4,0,0,0,0,0,17
