SA1_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
80101100101,34,24,18,5,164
80101100102,35,36,24,3,237
80101100103,31,21,9,5,246
80101100104,76,37,30,8,314
80101100105,63,60,39,13,364
80101100106,58,36,29,10,312
80101100201,29,11,10,0,259
80101100202,8,7,4,4,200
80101100203,24,10,7,3,551
80101100205,0,0,0,0,0
80101100208,21,21,6,0,252
80101100209,14,12,0,0,176
80101100210,28,26,21,3,244
80101100211,20,17,6,0,365
80101100212,13,37,88,93,355
80101100213,0,0,0,0,17
80101100215,15,7,7,0,418
80101100216,20,10,4,0,1118
80101100217,19,17,3,0,312
80101100218,19,13,0,0,427
80101100219,14,4,0,0,308
80101100220,0,0,0,0,165
80101100221,0,0,4,0,8
80101100222,22,10,11,4,446
80101100223,0,0,0,0,5
80101100224,0,0,0,0,114
80101100225,25,16,4,6,306
80101100301,15,12,3,0,292
80101100304,48,18,11,4,614
80101100306,22,34,10,3,270
80101100307,18,5,9,0,172
80101100308,0,0,4,5,387
80101100309,11,11,0,0,203
80101100310,28,12,0,0,156
80101100311,30,20,12,0,198
80101100312,53,32,16,0,427
80101100314,3,4,0,5,57
80101100315,29,57,25,8,267
80101100316,14,27,64,64,199
80101100317,12,7,0,0,356
80101100318,38,54,9,0,190
80101100319,34,44,17,3,205
80101100320,8,0,0,0,270
80101100321,5,5,0,0,340
80101100322,17,10,0,0,302
80101100401,17,6,3,0,109
80101100402,18,26,11,5,225
80101100403,25,14,15,3,221
80101100404,15,20,11,4,185
80101100405,25,36,3,0,212
80101100406,39,21,8,0,286
80101100408,7,16,3,6,96
80101100409,19,22,7,3,167
80101100501,17,18,15,3,182
80101100502,46,23,20,5,277
80101100503,39,31,23,5,202
80101100504,42,36,12,8,235
80101100505,30,41,22,3,271
80101100506,27,30,18,8,145
80101100507,27,31,16,6,209
80101100508,19,13,14,0,130
80101100509,37,22,13,6,290
80101100602,21,4,0,0,88
80101100604,16,3,9,0,140
80101100605,31,21,7,0,217
80101100606,15,10,5,3,153
80101100607,35,22,4,0,211
80101100608,32,15,0,0,220
80101100609,23,12,3,4,180
80101100610,31,6,5,0,181
80101100611,31,11,5,4,216
80101100612,39,18,5,0,284
80101100613,15,16,3,0,130
80101100614,24,25,3,0,183
80101100615,14,10,0,0,103
80101100616,25,13,5,0,250
80101100617,34,23,12,3,219
80101100618,21,12,0,0,152
80101100619,14,0,0,0,112
80101100620,22,6,0,0,177
80101100621,0,0,0,0,0
80101100622,18,8,9,0,140
80101100623,27,8,6,5,169
80101100701,61,22,6,0,291
80101100702,28,10,4,0,148
80101100703,48,51,17,0,296
80101100704,16,15,6,0,117
80101100705,43,27,3,0,244
80101100706,18,27,0,0,206
80101100707,42,45,3,4,251
80101100708,17,30,11,0,196
80101100709,24,16,5,0,179
80101100710,28,26,12,4,217
80101100711,37,22,6,5,299
80101100712,25,19,11,3,211
80101100713,27,9,3,3,148
80101100714,23,16,0,0,140
80101100801,27,27,8,3,175
80101100802,34,27,13,0,254
80101100803,37,23,7,0,209
80101100804,20,9,4,0,152
80101100805,48,30,9,9,260
80101100806,41,28,9,0,182
80101100807,44,34,11,6,351
80101100808,13,12,13,3,217
80101100809,64,41,15,0,251
