SA1_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
80101100101,32,50,10,7,14,11,0,5,0,119
80101100102,39,87,10,17,23,7,3,8,0,202
80101100103,35,78,20,21,22,12,6,22,6,222
80101100104,59,106,18,20,19,21,0,6,0,253
80101100105,62,116,14,24,27,6,0,15,10,269
80101100106,70,87,16,9,14,12,0,21,12,237
80101100201,27,69,26,42,22,20,9,13,0,231
80101100202,25,50,22,32,25,19,5,23,4,194
80101100203,75,181,33,76,73,43,17,30,5,540
80101100205,0,0,0,0,0,0,0,0,0,0
80101100208,36,82,25,42,28,10,4,9,4,245
80101100209,9,28,16,25,8,14,9,27,3,141
80101100210,25,62,19,23,30,12,0,9,4,195
80101100211,33,95,39,49,47,32,16,24,6,346
80101100212,18,54,5,11,18,9,6,3,6,135
80101100213,0,6,0,4,0,0,0,0,0,14
80101100215,47,152,48,46,62,29,7,15,9,398
80101100216,96,270,92,143,111,130,40,62,23,964
80101100217,24,86,22,51,32,24,8,17,10,269
80101100218,48,141,36,47,66,38,10,17,3,399
80101100219,29,122,28,42,38,20,3,11,8,306
80101100220,29,57,18,26,22,6,0,10,0,170
80101100221,0,0,0,0,0,0,0,0,0,0
80101100222,62,139,28,53,57,27,4,11,7,387
80101100223,0,0,5,0,0,0,0,0,0,5
80101100224,7,20,7,40,11,39,3,12,0,137
80101100225,39,98,20,35,40,14,3,12,10,272
80101100301,29,119,19,32,39,16,4,16,3,283
80101100304,101,220,31,78,76,46,9,27,18,595
80101100306,41,89,12,32,36,17,6,7,5,246
80101100307,16,52,17,9,20,13,3,12,4,155
80101100308,25,54,20,224,61,153,15,59,8,621
80101100309,25,81,22,29,23,15,5,5,0,220
80101100310,23,52,15,20,15,9,0,19,0,159
80101100311,31,54,14,20,26,14,0,15,0,177
80101100312,73,147,26,42,40,36,4,12,19,406
80101100314,0,0,3,9,0,4,0,0,0,18
80101100315,24,79,13,27,30,6,3,9,0,188
80101100316,20,20,3,5,7,8,0,0,0,55
80101100317,35,128,39,46,46,37,0,18,11,363
80101100318,34,60,6,11,11,9,0,0,0,132
80101100319,23,61,18,15,25,7,0,3,3,154
80101100320,68,96,20,24,45,10,3,3,6,276
80101100321,31,117,24,42,45,21,5,23,14,318
80101100322,41,118,29,37,45,18,12,20,4,325
80101100401,23,17,25,15,22,3,4,5,0,122
80101100402,22,62,42,24,48,14,16,10,0,237
80101100403,31,48,28,34,37,21,4,12,6,218
80101100404,18,34,26,26,36,11,0,10,8,170
80101100405,33,31,27,31,44,15,14,24,12,223
80101100406,33,49,55,43,32,20,20,20,5,286
80101100408,6,19,19,22,21,3,0,7,0,100
80101100409,16,31,33,26,11,7,14,15,0,156
80101100501,20,54,14,15,19,6,0,10,0,138
80101100502,44,82,24,15,27,17,0,3,3,221
80101100503,31,70,15,8,16,16,0,7,4,167
80101100504,46,78,8,20,27,5,0,12,4,197
80101100505,42,85,11,17,26,4,0,8,7,198
80101100506,17,47,5,10,11,6,3,0,3,98
80101100507,40,66,11,8,16,9,0,0,0,167
80101100508,30,51,3,7,12,0,0,5,0,111
80101100509,53,71,15,24,29,11,6,19,0,234
80101100602,16,22,14,10,23,7,5,8,4,112
80101100604,18,43,22,29,33,9,5,15,11,175
80101100605,37,56,32,21,50,5,3,8,4,229
80101100606,38,40,19,20,31,13,10,19,5,189
80101100607,52,62,20,26,44,13,11,9,3,236
80101100608,30,61,38,25,49,18,8,15,3,250
80101100609,30,44,42,21,35,9,8,14,0,199
80101100610,34,38,31,43,40,8,4,10,4,225
80101100611,41,58,40,23,40,18,10,14,4,242
80101100612,40,71,40,42,62,23,7,24,3,321
80101100613,18,31,19,26,24,7,0,7,5,134
80101100614,30,47,33,22,31,14,7,13,3,196
80101100615,12,19,15,20,17,5,11,11,0,123
80101100616,48,59,38,34,54,24,9,12,13,289
80101100617,21,54,36,34,39,19,5,10,5,223
80101100618,25,45,23,25,29,11,12,9,0,177
80101100619,23,28,16,23,21,8,0,6,0,122
80101100620,32,48,16,17,33,12,0,14,0,180
80101100621,0,0,0,0,0,0,0,0,0,0
80101100622,35,32,10,21,21,9,0,9,4,143
80101100623,25,47,23,18,35,19,0,17,4,190
80101100701,45,71,36,26,44,15,10,19,0,272
80101100702,18,49,7,13,25,22,5,8,0,150
80101100703,62,86,23,21,36,16,6,16,0,269
80101100704,13,31,14,19,13,13,0,4,0,113
80101100705,54,66,38,27,42,10,5,16,6,263
80101100706,28,64,26,28,32,15,13,11,6,221
80101100707,59,65,28,15,31,21,10,16,5,246
80101100708,27,52,25,16,27,9,5,10,4,170
80101100709,22,55,17,15,25,9,3,5,0,160
80101100710,35,74,33,29,21,9,5,11,9,220
80101100711,49,76,50,31,52,17,16,31,4,333
80101100712,47,67,25,15,37,12,6,22,6,230
80101100713,17,47,30,15,24,11,4,5,5,153
80101100714,16,49,19,14,39,11,5,10,4,160
80101100801,29,37,22,26,24,7,4,13,3,171
80101100802,33,68,25,24,37,15,12,13,9,235
80101100803,28,60,21,18,36,17,13,18,3,216
80101100804,15,28,17,22,24,16,4,21,4,156
80101100805,45,56,33,38,44,13,9,13,5,253
80101100806,36,50,18,19,30,5,6,6,5,170
80101100807,53,99,24,23,44,19,13,16,15,303
80101100808,22,51,19,36,32,17,7,16,4,195
80101100809,34,68,23,22,45,12,9,8,6,229
80101100810,20,68,18,20,36,9,5,8,6,185
80101100811,11,36,13,14,19,0,0,7,0,111
80101100812,25,53,25,19,25,22,8,15,14,205
80101100901,32,44,28,27,31,16,9,12,0,196
80101100902,26,36,20,12,22,14,9,6,5,159
80101100903,28,67,33,24,38,13,8,7,0,233
80101100904,48,60,20,16,33,18,0,6,0,202
80101100905,36,65,24,34,29,11,7,8,6,203
80101100906,49,78,37,23,35,14,0,16,4,246
80101100907,22,30,21,10,24,10,9,18,0,133
80101100908,26,36,26,23,32,15,3,8,7,177
80101100909,16,34,25,18,23,17,7,8,0,148
80101100910,27,62,27,16,26,18,0,12,3,187
80101101001,20,39,32,17,28,12,12,12,3,172
80101101002,30,37,24,19,34,7,9,12,4,184
80101101003,40,46,34,25,41,19,5,17,6,226
80101101004,37,74,23,14,24,9,5,10,0,197
80101101005,52,84,32,29,37,4,9,18,12,268
80101101101,63,98,39,33,53,20,10,15,11,340
80101101102,32,56,27,14,33,3,6,8,4,180
80101101103,54,98,44,52,60,17,10,19,7,353
80101101104,40,43,30,25,29,17,5,13,3,210
80101101105,23,44,17,16,11,3,0,10,0,130
80101101106,26,36,22,10,16,3,4,4,3,120
80101101107,0,0,0,0,0,0,0,0,0,0
80101101108,22,27,13,17,9,3,4,6,0,89
80101101109,25,36,17,6,22,4,0,4,6,125
80101101110,16,43,23,15,22,3,4,9,3,134
80101101202,0,0,0,0,0,0,0,0,0,0
80101101203,0,0,0,0,0,0,0,0,0,0
80101101301,24,35,6,14,17,6,0,8,0,110
80101101302,23,65,52,62,36,28,16,28,9,310
80101101303,45,70,9,19,29,17,3,9,4,201
80101101304,35,46,14,10,15,4,0,3,0,125
80101101305,50,66,17,13,33,12,0,13,0,203
80101101306,38,55,14,15,19,12,0,4,3,163
80101101307,21,30,16,13,15,3,0,6,0,107
80101101308,47,53,7,20,15,10,4,5,0,158
80101101309,0,0,0,0,0,0,0,0,0,0
80101101310,16,42,13,15,13,7,0,0,0,102
80101101401,25,59,22,11,24,17,6,14,0,170
80101101402,48,63,32,37,30,16,11,12,5,249
80101101403,44,95,48,36,57,28,9,25,5,343
80101101404,43,89,38,27,35,10,7,20,3,277
80101101405,25,41,28,25,42,17,6,19,6,207
80101101406,13,24,20,15,15,3,9,8,9,123
80101101407,51,72,34,38,41,30,8,31,10,302
80101101502,19,27,22,21,26,8,4,11,0,140
80101101503,19,41,27,23,21,16,5,10,5,154
80101101504,26,51,19,35,27,14,6,13,8,199
80101101505,46,70,31,23,40,19,7,14,9,260
80101101506,32,70,18,11,34,11,5,13,0,198
80101101508,35,49,22,30,33,4,7,8,8,195
80101101509,27,60,36,19,33,19,0,9,0,203
80101101510,36,45,28,15,33,8,9,14,6,186
80101101511,19,32,14,13,12,7,3,10,0,110
80101101512,19,32,29,20,20,15,9,12,4,149
80101101513,20,46,23,33,17,12,12,8,9,175
80101101514,0,0,0,0,0,0,0,0,0,0
80101101515,17,35,21,21,33,12,10,9,0,163
80101101516,47,131,53,65,80,28,11,17,5,435
80101101517,32,85,32,48,62,19,9,14,7,311
80101101601,42,65,25,27,38,11,0,22,5,230
80101101602,23,42,9,7,9,12,0,5,0,108
80101101603,29,79,34,15,38,8,7,31,14,247
80101101604,28,63,24,20,33,11,8,9,5,205
80101101605,32,48,34,22,33,8,13,23,7,214
80101101606,58,85,26,25,41,23,12,14,6,288
80101101607,22,41,19,14,34,7,3,15,0,151
80101101608,0,0,0,0,0,0,0,0,0,0
80101101609,38,65,32,22,28,21,5,26,0,229
80101101610,24,30,12,18,19,10,0,3,5,122
80101101611,39,43,23,16,30,12,5,11,8,177
80101101612,30,60,30,23,40,18,3,28,5,236
80101101613,28,74,33,53,39,18,7,19,9,268
80101101614,47,52,20,19,27,11,3,3,3,185
80101101615,36,70,20,16,35,7,6,12,3,208
80101101616,56,74,22,31,27,12,13,20,4,259
80101101617,37,47,30,24,39,15,4,8,3,211
80101101618,40,53,28,13,16,11,8,13,10,198
80101101619,26,80,26,39,41,18,3,12,5,226
80101101701,33,52,15,16,24,18,6,11,3,178
80101101702,39,67,35,34,41,14,16,14,5,251
80101101703,65,76,37,34,47,18,14,21,3,321
80101101704,28,47,21,25,27,3,0,11,3,161
80101101705,31,49,21,23,34,7,3,12,6,184
80101101706,61,76,51,29,56,28,18,20,3,326
80101101707,23,51,41,28,38,12,10,16,4,214
80101101708,9,18,9,16,13,9,0,3,4,80
80101101709,20,65,29,5,22,14,3,13,3,171
80101101802,0,0,0,0,0,0,0,0,0,0
80101101805,54,161,34,52,56,21,14,23,18,434
80101101806,26,74,24,36,24,18,3,23,0,239
80101101807,50,150,37,47,54,15,10,16,11,394
80101101808,42,78,21,32,30,18,8,23,0,237
80101101809,31,96,32,38,38,24,18,15,5,295
80101101810,42,105,21,32,46,13,0,10,3,275
80101101902,46,94,49,55,65,19,14,31,10,370
80101101904,44,68,14,33,44,15,10,28,4,265
80101101905,33,68,45,40,49,15,7,14,4,284
80101101906,32,50,25,21,15,9,4,6,3,169
80101101907,38,71,24,28,58,19,11,12,9,274
80101101908,54,58,32,32,38,17,5,10,6,253
80101101909,40,51,31,20,23,25,11,14,0,216
80101101910,29,41,27,15,34,10,8,8,5,171
80101101911,29,59,42,19,49,9,14,15,0,238
80101101912,23,36,29,22,29,9,10,13,4,173
80101101913,22,40,30,35,30,16,12,16,8,218
80101101914,21,36,23,18,17,11,7,6,6,138
80101101915,27,67,22,20,40,6,7,12,3,205
80101101916,27,50,28,25,28,12,10,7,5,191
80101101917,29,47,23,36,28,12,0,7,6,177
80101101918,26,52,21,23,22,14,6,11,11,172
80101101919,35,67,28,48,35,22,10,15,9,256
80101102001,25,62,10,19,10,8,4,0,4,150
80101102002,30,61,33,13,22,16,3,5,7,199
80101102003,30,44,14,11,13,12,3,4,4,126
80101102004,33,40,13,10,19,4,4,7,0,126
80101102005,62,160,33,70,53,25,12,28,3,444
80101102006,21,44,15,13,11,14,10,16,4,143
80101102007,28,45,14,24,21,3,0,9,9,142
80101102008,38,77,25,27,26,12,4,14,4,228
80101102101,57,80,45,31,40,14,10,14,11,297
80101102102,40,46,18,13,19,17,3,7,0,172
80101102103,46,79,46,25,50,9,7,13,7,284
80101102104,46,64,27,24,43,8,12,12,0,242
80101102105,86,110,36,31,57,18,8,19,8,369
80101102201,24,42,12,11,11,4,0,3,3,106
80101102202,34,41,16,9,18,11,3,4,6,143
80101102203,37,81,29,24,40,17,3,14,7,249
80101102204,58,77,49,35,38,24,3,25,0,316
80101102205,41,91,36,20,43,17,9,17,4,278
80101102206,36,52,20,16,20,11,5,10,0,162
80101102207,29,72,31,37,33,9,5,19,5,238
80101102208,30,51,14,14,18,11,4,9,0,153
80101102301,41,87,26,31,33,15,9,14,6,252
80101102302,12,47,19,5,12,12,0,8,6,117
80101102303,38,82,29,34,33,27,6,18,4,274
80101102304,33,73,37,29,37,23,10,33,4,281
80101102305,20,53,12,18,21,11,13,26,7,179
80101102306,43,53,24,29,29,13,6,18,5,214
80101102307,9,29,8,14,9,0,0,5,4,73
80101102401,13,42,5,11,23,11,5,9,3,120
80101102402,31,86,24,30,32,11,10,18,0,250
80101102403,47,53,29,23,30,12,6,10,4,198
80101102404,24,42,16,22,12,4,6,15,0,148
80101102405,31,51,20,5,16,10,7,11,3,148
80101102406,37,74,30,33,31,19,3,20,4,245
80101102407,18,34,24,21,25,14,5,12,5,153
80101102408,33,72,28,29,39,19,9,24,4,266
80101102501,22,43,14,19,31,7,3,14,0,149
80101102502,35,53,30,23,36,10,3,7,4,210
80101102503,40,63,35,33,70,12,0,19,0,284
80101102504,31,67,42,24,40,16,5,15,9,256
80101102505,17,39,18,20,23,18,4,9,0,146
