SA1_CODE_2021,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
80101100101,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,5,4,0,0,0,0,0,0,0,11,5,3,0,0,0,0,0,0,0,14,6,13,0,0,0,0,0,0,0,18,5,7,0,0,0,0,0,0,0,6,4,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,25,3,0,5,4,0,0,0,59,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,10,0,0,4,0,0,0,0,16,7,4,0,0,3,0,0,0,0,14,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,26,0,4,10,4,0,0,0,58
80101100102,0,0,0,3,0,0,0,0,0,8,0,8,0,3,0,0,0,0,0,11,0,5,0,0,7,0,0,3,0,21,9,6,0,0,5,0,0,0,0,21,10,13,0,6,0,3,0,0,0,28,5,9,3,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,26,39,5,14,6,6,3,5,3,101,0,0,0,4,3,3,0,0,0,10,0,3,0,0,0,0,0,0,0,8,5,10,0,0,0,0,0,0,0,15,6,10,0,0,0,0,0,0,0,20,8,16,0,0,3,0,0,0,0,27,0,4,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,49,0,6,15,5,0,4,0,92
80101100103,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,8,0,11,3,0,0,5,0,4,0,25,6,15,0,5,4,0,0,5,0,32,7,4,0,0,0,0,0,0,5,19,6,7,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,42,12,9,8,9,6,9,3,108,0,0,0,0,0,0,0,5,0,4,0,0,0,0,6,0,0,0,0,13,0,7,0,0,4,6,0,0,0,23,0,12,3,9,0,0,0,6,3,33,6,7,0,3,3,0,0,0,0,24,3,3,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,42,4,17,19,7,0,17,3,117
80101100104,0,0,4,0,0,0,0,0,0,8,0,0,6,3,0,0,0,0,0,10,0,10,9,0,0,3,0,0,0,26,12,13,0,3,0,0,0,0,0,27,9,10,0,0,4,0,0,0,0,27,8,8,3,0,0,0,0,0,0,23,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,52,17,7,9,4,0,3,0,122,0,0,0,3,0,7,0,0,0,7,0,5,0,0,0,0,0,0,0,13,7,5,0,4,0,0,0,0,0,18,9,15,0,3,0,4,0,0,0,32,9,13,0,0,0,0,0,0,0,27,5,14,0,0,4,0,0,0,0,23,3,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,55,4,12,12,14,0,0,0,131
80101100105,0,0,0,0,0,0,0,3,0,5,0,3,0,0,4,0,0,7,0,19,4,13,4,0,0,0,0,3,0,25,12,10,0,0,0,0,0,0,0,26,8,18,6,3,0,0,0,0,0,33,5,4,3,0,3,0,0,0,0,21,0,4,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,29,55,14,10,7,5,0,14,9,133,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,11,0,12,0,3,0,0,0,0,0,16,10,18,0,0,7,0,0,0,0,32,9,18,0,0,3,0,0,0,0,37,9,14,0,0,3,0,0,0,0,26,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,56,7,10,16,7,0,0,5,138
80101100106,0,0,0,0,0,0,0,3,0,9,0,5,0,0,0,0,0,6,0,10,3,7,4,0,4,0,0,6,0,28,9,8,0,0,0,0,0,3,0,28,16,5,0,0,8,0,0,3,4,27,3,9,0,0,0,0,0,0,4,19,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,42,6,5,4,3,0,18,9,119,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,9,4,15,0,0,0,0,0,0,0,23,13,12,0,0,3,0,0,0,0,33,8,11,0,0,4,0,0,0,0,26,7,15,0,0,3,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,50,5,6,10,6,0,3,0,111
80101100201,0,0,0,0,0,0,0,0,0,6,0,0,7,4,0,3,0,0,0,21,0,18,8,8,3,3,3,0,0,49,5,11,7,3,3,0,0,0,0,37,3,4,4,0,0,0,0,0,0,17,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,37,23,12,13,11,8,10,0,131,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,3,0,0,0,9,5,15,3,12,3,4,0,0,0,44,7,10,0,9,0,0,0,0,0,18,3,0,0,7,3,0,0,0,0,11,0,3,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,26,3,28,7,12,0,5,0,99
80101100202,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,10,3,4,8,9,0,3,0,5,0,37,11,6,6,5,0,0,0,3,0,23,0,7,0,0,3,0,0,0,0,15,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,13,10,10,3,5,13,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,0,10,3,4,0,10,6,6,0,3,0,38,3,13,0,9,3,5,0,0,0,27,6,0,0,0,0,0,0,0,0,8,4,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,24,3,25,10,14,0,9,0,101
80101100203,0,0,0,0,0,0,0,0,0,0,6,10,9,0,0,4,8,3,0,37,15,39,13,16,21,13,9,11,0,132,8,29,10,5,5,0,0,5,0,57,11,6,0,4,6,0,0,0,0,27,3,3,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,86,30,21,34,24,17,21,0,271,0,0,0,0,0,0,0,0,0,3,4,12,0,10,3,7,0,3,0,47,7,58,6,31,18,15,0,8,4,140,11,18,0,3,5,0,0,0,0,45,6,3,0,0,4,0,0,0,0,18,6,3,0,6,6,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,96,10,54,36,26,0,16,4,268
80101100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
