SA1_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
80101100101,0,0,0,0,0,6,0,0,0,9,0,0,3,0,0,3,0,0,0,13,9,7,0,0,0,0,0,0,0,15,9,13,0,0,4,0,0,0,0,33,8,12,4,0,0,0,0,0,0,37,6,13,0,0,0,0,0,0,0,18,4,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,50,10,7,14,11,0,5,0,119
80101100102,0,0,0,3,3,6,0,0,0,19,0,7,0,6,0,0,0,0,0,18,3,19,3,0,8,0,0,3,0,32,12,14,0,0,6,0,0,0,0,41,13,30,0,6,3,3,0,0,0,58,8,12,3,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,39,87,10,17,23,7,3,8,0,202
80101100103,0,0,0,0,0,0,0,5,0,5,0,3,3,4,8,4,0,0,0,22,6,18,5,0,4,11,0,6,0,47,9,23,3,11,4,0,0,8,3,71,17,9,0,3,5,0,0,0,5,45,3,11,0,0,0,0,0,0,0,27,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,78,20,21,22,12,6,22,6,222
80101100104,0,0,4,5,0,14,0,0,0,14,0,12,6,9,0,0,0,0,0,22,7,10,3,5,0,5,0,3,0,43,20,24,4,7,0,4,0,0,0,58,17,27,0,0,8,0,0,0,0,51,9,25,3,0,8,0,0,0,0,51,3,9,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,106,18,20,19,21,0,6,0,253
80101100105,0,0,0,4,7,0,0,3,0,13,0,0,0,8,3,0,0,3,0,27,4,18,4,4,0,0,0,3,0,45,19,26,0,3,9,0,0,0,3,62,15,37,0,4,7,0,0,0,0,69,13,14,5,0,8,0,0,0,4,44,3,7,0,0,0,0,0,0,0,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,116,14,24,27,6,0,15,10,269
80101100106,0,0,0,0,0,5,0,5,0,8,0,0,0,0,0,0,0,7,0,15,7,21,4,4,0,0,0,4,0,44,22,21,4,0,3,0,0,3,0,54,21,17,0,0,8,0,0,3,4,55,11,18,0,0,4,0,0,0,4,46,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,87,16,9,14,12,0,21,12,237
80101100201,0,0,0,0,0,0,0,0,0,10,0,6,7,5,0,3,0,3,0,30,8,31,10,19,3,9,3,5,0,91,12,16,7,10,6,0,0,5,0,61,8,11,4,3,3,0,0,0,0,27,5,3,0,4,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,69,26,42,22,20,9,13,0,231
80101100202,0,0,0,0,0,0,0,3,0,3,0,5,0,6,3,4,0,7,0,22,12,11,4,14,9,7,0,7,0,73,9,11,3,7,4,5,0,0,0,57,6,11,0,5,3,0,0,0,0,24,0,3,0,3,6,0,0,0,0,17,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,50,22,32,25,19,5,23,4,194
80101100203,0,0,0,0,0,5,0,0,0,4,9,28,5,13,4,13,8,4,0,90,23,91,18,42,38,23,9,20,3,267,23,49,10,9,14,4,0,0,0,104,13,5,4,6,11,0,0,4,0,44,5,4,0,6,9,0,0,0,0,23,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,181,33,76,73,43,17,30,5,540
80101100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
