route_id,route_short_name,route_long_name,saturday_headway,sunday_headway,weekday_offpeak_headway,weekday_peak_headway,saturday_departures,sunday_departures,weekday_offpeak_departures,weekday_peak_departures,weekday_offpeak,weekday_peak,route_length_km,service_span_hours,weighted_headway,weighted_reliability,weekend_service_ratio,total_daily_departures,cluster,cluster_name
10-10657,10,Denman Prospect to City ANU,30.0,30.0,16.205882352941178,12.411764705882351,32.0,28.0,36.0,19.0,75.03,94.53,35.02665636683888,18.816666666666666,19.895588235294117,72.1195,1.0714285714285714,55.0,2,Frequent All-Week Services
18-10657,18,Gungahlin to Dickson via Franklin & Mitchell,32.77777777777778,59.857142857142854,15.054054054054054,14.142857142857142,28.0,15.0,39.0,16.0,71.63,97.96,11.230998905195301,17.816666666666666,25.045903045903046,71.95849999999999,0.7678571428571429,55.0,0,Standard Suburban Network
19-10657,19,Bonner Loop via Forde & Amaroo,67.5,120.0,32.0625,31.0,13.0,7.0,18.0,8.0,66.56,62.21,14.27453526154628,16.85,52.021874999999994,59.459,0.7407407407407407,26.0,1,Weekend Service Gap
2-10657,2,Fraser to Fyshwick via Belconnen & City,15.11111111111111,14.641509433962264,6.6477272727272725,4.326923076923077,64.0,54.0,90.0,54.0,62.7,88.91,35.770089015868585,18.966666666666665,8.84323010584803,66.118,0.8137931034482758,144.0,3,High-Frequency Core Corridors
20-10657,20,Bonner Loop via Amaroo & Forde,69.23076923076923,120.0,31.41176470588235,29.833333333333332,14.0,7.0,19.0,8.0,50.53,,14.347366602570013,18.083333333333332,51.79027149321267,50.1855,0.75,27.0,1,Weekend Service Gap
21-10657,21,Harrison Loop via Palmerston & Throsby,72.5,120.0,33.0,29.5,13.0,7.0,18.0,8.0,86.25,72.68,16.17421303637862,18.633333333333333,52.9,69.4915,0.7407407407407407,26.0,1,Weekend Service Gap
22-10657,22,Harrison Loop via Throsby & Palmerston,70.0,120.0,32.5625,27.571428571428573,13.0,7.0,18.0,9.0,54.13,66.88,16.122727008104516,17.133333333333333,51.668303571428574,56.509499999999996,0.7142857142857143,27.0,1,Weekend Service Gap
23-10657,23,Gungahlin to Belconnen via Crace & Giralang,33.333333333333336,61.76923076923077,14.833333333333334,14.785714285714286,28.0,14.0,38.0,16.0,76.91,80.14,15.966283414640715,18.466666666666665,25.559432234432236,68.4605,0.7636363636363637,54.0,0,Standard Suburban Network
24-10657,24,Gungahlin to Belconnen via Nicholls & McKellar,31.296296296296298,55.76923076923077,15.529411764705882,14.071428571428571,28.0,14.0,36.0,16.0,84.55,79.88,19.720619318245,17.6,24.2813665637195,71.0565,0.7924528301886793,52.0,0,Standard Suburban Network
25-10657,25,Taylor Loop via Amaroo & Moncrieff,67.5,120.0,30.705882352941178,29.5,13.0,7.0,19.0,8.0,95.98,96.21,18.27197178073973,17.316666666666666,51.09705882352941,79.95599999999999,0.7142857142857143,27.0,1,Weekend Service Gap
26-10657,26,Taylor Loop via Moncrieff & Amaroo,69.23076923076923,120.0,29.941176470588236,25.714285714285715,14.0,7.0,19.0,9.0,77.18,94.64,18.316711812755003,18.416666666666664,50.03985132514544,72.905,0.7241379310344828,28.0,1,Weekend Service Gap
27-10657,27,Casey to Gungahlin via Ngunnawal & Moncrieff,34.61538461538461,61.84615384615385,15.88888888888889,14.928571428571429,27.0,14.0,38.0,16.0,86.79,93.61,12.225050412896062,18.233333333333334,26.23968253968254,75.95949999999999,0.7454545454545455,54.0,0,Standard Suburban Network
28-10657,28,Casey to Gungahlin via Ngunnawal,33.46153846153846,58.15384615384615,16.147058823529413,13.928571428571429,27.0,14.0,36.0,16.0,88.77,97.01,8.862852825689973,18.616666666666667,25.24542663219134,77.6725,0.7735849056603774,52.0,0,Standard Suburban Network
3-10657,3,Spence to CBR Airport via City & Brindabella Park,15.245901639344265,15.0,7.851351351351352,7.4,62.0,57.0,76.0,32.0,96.22,84.27,29.600669784285337,18.95,10.267153300841827,76.458,1.091743119266055,108.0,2,Frequent All-Week Services
30-10657,30,Belconnen to Dickson via Giralang & Kaleen North,31.20689655172414,56.333333333333336,14.921052631578949,14.071428571428571,30.0,16.0,40.0,16.0,88.82,86.73,17.570259171114813,18.633333333333333,24.135176302826032,74.606,0.8070175438596491,56.0,0,Standard Suburban Network
31-10657,31,Belconnen to City via Kaleen South & Dickson,33.333333333333336,60.53846153846154,15.771428571428572,12.875,28.0,14.0,37.0,18.0,73.01,73.21,18.191842326510763,18.616666666666667,25.1299358974359,65.0165,0.75,55.0,0,Standard Suburban Network
32-10657,32,Belconnen to City via Jamison & Aranda,34.81481481481482,56.92307692307692,16.08108108108108,11.352941176470589,28.0,14.0,39.0,19.0,92.57,84.97,17.31486699207803,19.5,24.535685232744058,75.3905,0.711864406779661,58.0,0,Standard Suburban Network
4-10657,4,Belconnen to Tuggeranong via City & Woden,7.47244094488189,7.535087719298246,5.637254901960785,2.783132530120482,128.0,115.0,104.0,85.0,50.64,52.7,31.214968669191244,19.533333333333335,5.432730321593533,51.034,1.2789473684210526,189.0,3,High-Frequency Core Corridors
40-10657,40,Fraser Loop via Kippax & Charnwood,64.61538461538461,120.0,32.875,30.0,14.0,7.0,18.0,8.0,79.47,55.06,27.431207755290718,19.166666666666668,51.42932692307693,61.832499999999996,0.7777777777777778,26.0,1,Weekend Service Gap
41-10657,41,Fraser to Belconnen via Flynn & Melba,34.2962962962963,58.0,16.38235294117647,12.294117647058824,28.0,14.0,36.0,19.0,84.63,94.5,11.925452022867388,18.26666666666667,24.981318082788672,75.47049999999999,0.75,55.0,0,Standard Suburban Network
42-10657,42,Fraser Loop via Charnwood & Kippax,66.92307692307692,120.0,31.9375,30.0,14.0,8.0,18.0,8.0,68.91,99.52,27.47534611200182,18.516666666666666,51.56274038461539,71.47449999999999,0.8148148148148148,26.0,1,Weekend Service Gap
43-10657,43,Spence to Belconnen via Evatt & McKellar,34.370370370370374,57.84615384615385,15.82857142857143,12.266666666666667,28.0,14.0,37.0,17.0,93.44,99.34,11.951668780760826,19.083333333333336,24.770997150997154,80.006,0.7636363636363637,54.0,0,Standard Suburban Network
44-10657,44,Kippax to Belconnen via West Macgregor & Higgins,32.142857142857146,60.0,15.11111111111111,12.461538461538462,29.0,15.0,38.0,15.0,96.11,81.53,15.58968129271643,18.116666666666667,24.455921855921858,75.5975,0.8148148148148148,53.0,0,Standard Suburban Network
45-10657,45,Kippax to Belconnen via Hawker & Weetangera,32.142857142857146,60.0,14.128205128205128,13.5,29.0,15.0,41.0,16.0,94.92,91.93,12.25201288732701,17.75,24.423443223443225,78.301,0.7586206896551724,57.0,0,Standard Suburban Network
46-10657,46,Kippax to Belconnen via Latham & Florey,33.57142857142857,60.0,16.08823529411765,13.0625,29.0,15.0,36.0,18.0,94.66,62.9,8.928319198899187,18.5,25.26391806722689,69.501,0.8,54.0,0,Standard Suburban Network
47-10657,47,Belconnen to Denman Prospect via Whitlam,60.0,120.0,49.0,30.25,16.0,8.0,13.0,6.0,85.06,68.98,22.97376207239183,16.683333333333337,56.224999999999994,67.965,1.2,19.0,1,Weekend Service Gap
5-10657,5,Lanyon to City ANU via Erindale & Woden,15.080645161290322,15.185185185185183,6.488636363636363,6.0256410256410255,63.0,55.0,90.0,41.0,61.14,77.51,29.218067408729187,19.3,9.372621845000875,62.152,0.8939393939393939,131.0,3,High-Frequency Core Corridors
50-10657,50,Watson to City via Dickson & Lyneham,33.333333333333336,60.0,16.4,14.785714285714286,28.0,15.0,37.0,16.0,83.07,99.22,12.878952365443304,17.71666666666667,25.842380952380953,76.34049999999999,0.7962962962962963,53.0,0,Standard Suburban Network
