SA1_Code,Suburb,District,best_service_type,num_service_types,num_stops
80101100101,Aranda,Belconnen,High-Frequency Core Corridors,3,14
80101100102,Aranda,Belconnen,High-Frequency Core Corridors,3,8
80101100103,Aranda,Belconnen,Standard Suburban Network,1,11
80101100104,Aranda,Belconnen,Standard Suburban Network,1,4
80101100105,Aranda,Belconnen,Standard Suburban Network,1,10
80101100106,Aranda,Belconnen,Standard Suburban Network,1,10
80101100201,Belconnen,Belconnen,High-Frequency Core Corridors,4,15
80101100202,Belconnen,Belconnen,Standard Suburban Network,1,9
80101100203,Belconnen,Belconnen,High-Frequency Core Corridors,4,4
80101100205,Belconnen,Belconnen,High-Frequency Core Corridors,4,34
80101100208,Belconnen,Belconnen,High-Frequency Core Corridors,3,13
80101100209,Belconnen,Belconnen,High-Frequency Core Corridors,4,16
80101100210,Belconnen,Belconnen,Frequent All-Week Services,2,9
80101100211,Belconnen,Belconnen,High-Frequency Core Corridors,4,8
80101100212,Belconnen,Belconnen,Frequent All-Week Services,2,6
80101100213,Belconnen,Belconnen,High-Frequency Core Corridors,4,15
80101100215,Belconnen,Belconnen,High-Frequency Core Corridors,4,16
80101100216,Belconnen,Belconnen,High-Frequency Core Corridors,4,21
80101100217,Belconnen,Belconnen,High-Frequency Core Corridors,4,13
80101100218,Belconnen,Belconnen,High-Frequency Core Corridors,4,16
80101100219,Belconnen,Belconnen,High-Frequency Core Corridors,4,18
80101100220,Belconnen,Belconnen,High-Frequency Core Corridors,4,10
80101100221,Belconnen,Belconnen,High-Frequency Core Corridors,4,8
80101100222,Belconnen,Belconnen,High-Frequency Core Corridors,4,12
80101100223,Belconnen,Belconnen,High-Frequency Core Corridors,4,31
80101100224,Belconnen,Belconnen,High-Frequency Core Corridors,4,13
80101100225,Belconnen,Belconnen,High-Frequency Core Corridors,4,15
80101100301,Bruce,Belconnen,High-Frequency Core Corridors,3,12
80101100304,Bruce,Belconnen,Frequent All-Week Services,1,5
80101100306,Bruce,Belconnen,High-Frequency Core Corridors,3,9
80101100307,Bruce,Belconnen,Frequent All-Week Services,2,7
80101100308,Bruce,Belconnen,High-Frequency Core Corridors,4,35
80101100309,Bruce,Belconnen,Frequent All-Week Services,2,4
80101100310,Bruce,Belconnen,Frequent All-Week Services,1,2
80101100311,Bruce,Belconnen,Frequent All-Week Services,2,7
80101100312,Bruce,Belconnen,High-Frequency Core Corridors,3,15
80101100314,Bruce,Belconnen,High-Frequency Core Corridors,2,13
80101100315,Bruce,Belconnen,High-Frequency Core Corridors,3,13
80101100316,Bruce,Belconnen,High-Frequency Core Corridors,3,8
80101100317,Bruce,Belconnen,High-Frequency Core Corridors,3,12
80101100318,Bruce,Belconnen,High-Frequency Core Corridors,3,7
80101100319,Bruce,Belconnen,High-Frequency Core Corridors,3,15
80101100320,Bruce,Belconnen,High-Frequency Core Corridors,3,13
80101100321,Bruce,Belconnen,Frequent All-Week Services,1,7
80101100322,Bruce,Belconnen,Frequent All-Week Services,1,6
80101100401,Charnwood,Belconnen,High-Frequency Core Corridors,3,21
80101100402,Charnwood,Belconnen,High-Frequency Core Corridors,3,18
80101100403,Charnwood,Belconnen,Standard Suburban Network,2,16
80101100404,Charnwood,Belconnen,Standard Suburban Network,2,14
80101100405,Charnwood,Belconnen,High-Frequency Core Corridors,3,16
80101100406,Charnwood,Belconnen,High-Frequency Core Corridors,2,16
80101100408,Charnwood,Belconnen,Standard Suburban Network,2,14
80101100409,Charnwood,Belconnen,Standard Suburban Network,2,15
80101100501,Cook,Belconnen,Standard Suburban Network,2,16
80101100502,Cook,Belconnen,Standard Suburban Network,1,14
80101100503,Cook,Belconnen,Standard Suburban Network,1,6
80101100504,Cook,Belconnen,Standard Suburban Network,1,14
80101100505,Cook,Belconnen,Standard Suburban Network,1,16
80101100506,Cook,Belconnen,Standard Suburban Network,1,8
80101100507,Cook,Belconnen,Standard Suburban Network,1,6
80101100508,Cook,Belconnen,Standard Suburban Network,1,6
80101100509,Cook,Belconnen,Standard Suburban Network,2,8
80101100602,Dunlop,Belconnen,High-Frequency Core Corridors,2,11
80101100604,Dunlop,Belconnen,High-Frequency Core Corridors,2,12
80101100605,Dunlop,Belconnen,High-Frequency Core Corridors,1,6
80101100606,Dunlop,Belconnen,High-Frequency Core Corridors,1,2
80101100607,Dunlop,Belconnen,High-Frequency Core Corridors,1,6
80101100608,Dunlop,Belconnen,High-Frequency Core Corridors,1,10
80101100609,Dunlop,Belconnen,High-Frequency Core Corridors,1,9
80101100610,Dunlop,Belconnen,High-Frequency Core Corridors,1,11
80101100611,Dunlop,Belconnen,High-Frequency Core Corridors,2,15
80101100612,Dunlop,Belconnen,High-Frequency Core Corridors,1,14
80101100613,Dunlop,Belconnen,High-Frequency Core Corridors,2,12
80101100614,Dunlop,Belconnen,High-Frequency Core Corridors,1,9
80101100615,Dunlop,Belconnen,High-Frequency Core Corridors,1,11
80101100616,Dunlop,Belconnen,High-Frequency Core Corridors,1,10
80101100617,Dunlop,Belconnen,High-Frequency Core Corridors,1,9
80101100618,Dunlop,Belconnen,High-Frequency Core Corridors,3,15
80101100619,Dunlop,Belconnen,High-Frequency Core Corridors,1,6
80101100620,Dunlop,Belconnen,High-Frequency Core Corridors,1,6
80101100621,Dunlop,Belconnen,High-Frequency Core Corridors,1,6
80101100622,Dunlop,Belconnen,High-Frequency Core Corridors,1,4
80101100623,Dunlop,Belconnen,High-Frequency Core Corridors,2,14
80101100701,Evatt,Belconnen,Frequent All-Week Services,2,22
80101100702,Evatt,Belconnen,Frequent All-Week Services,2,16
80101100703,Evatt,Belconnen,Frequent All-Week Services,2,29
80101100704,Evatt,Belconnen,Frequent All-Week Services,2,25
80101100705,Evatt,Belconnen,Standard Suburban Network,1,23
80101100706,Evatt,Belconnen,Frequent All-Week Services,3,25
80101100707,Evatt,Belconnen,Frequent All-Week Services,2,20
80101100708,Evatt,Belconnen,Standard Suburban Network,1,20
80101100709,Evatt,Belconnen,Standard Suburban Network,1,16
80101100710,Evatt,Belconnen,Frequent All-Week Services,2,24
80101100711,Evatt,Belconnen,Frequent All-Week Services,2,21
80101100712,Evatt,Belconnen,Standard Suburban Network,1,20
80101100713,Evatt,Belconnen,Standard Suburban Network,1,16
80101100714,Evatt,Belconnen,Frequent All-Week Services,2,25
80101100801,Florey,Belconnen,Frequent All-Week Services,2,20
80101100802,Florey,Belconnen,Frequent All-Week Services,2,21
80101100803,Florey,Belconnen,Standard Suburban Network,2,18
80101100804,Florey,Belconnen,Frequent All-Week Services,2,16
80101100805,Florey,Belconnen,Frequent All-Week Services,3,12
80101100806,Florey,Belconnen,High-Frequency Core Corridors,3,13
80101100807,Florey,Belconnen,High-Frequency Core Corridors,4,21
80101100808,Florey,Belconnen,Frequent All-Week Services,2,15
80101100809,Florey,Belconnen,Frequent All-Week Services,2,14
80101100810,Florey,Belconnen,High-Frequency Core Corridors,3,32
80101100811,Florey,Belconnen,High-Frequency Core Corridors,3,15
80101100812,Florey,Belconnen,High-Frequency Core Corridors,4,17
80101100901,Flynn (ACT),Belconnen,Standard Suburban Network,2,14
80101100902,Flynn (ACT),Belconnen,Standard Suburban Network,2,18
80101100903,Flynn (ACT),Belconnen,Standard Suburban Network,2,14
80101100904,Flynn (ACT),Belconnen,Standard Suburban Network,2,16
80101100905,Flynn (ACT),Belconnen,Standard Suburban Network,2,14
80101100906,Flynn (ACT),Belconnen,Standard Suburban Network,2,17
80101100907,Flynn (ACT),Belconnen,Standard Suburban Network,2,21
80101100908,Flynn (ACT),Belconnen,Standard Suburban Network,2,18
80101100909,Flynn (ACT),Belconnen,Standard Suburban Network,2,15
80101100910,Flynn (ACT),Belconnen,Standard Suburban Network,2,15
80101101001,Fraser,Belconnen,High-Frequency Core Corridors,3,28
80101101002,Fraser,Belconnen,High-Frequency Core Corridors,3,25
80101101003,Fraser,Belconnen,Frequent All-Week Services,3,22
80101101004,Fraser,Belconnen,Weekend Service Gap,1,17
80101101005,Fraser,Belconnen,Frequent All-Week Services,3,46
80101101101,Giralang,Belconnen,Frequent All-Week Services,2,16
80101101102,Giralang,Belconnen,Frequent All-Week Services,2,20
80101101103,Giralang,Belconnen,Standard Suburban Network,1,10
80101101104,Giralang,Belconnen,Frequent All-Week Services,2,20
80101101105,Giralang,Belconnen,Standard Suburban Network,1,15
80101101106,Giralang,Belconnen,Standard Suburban Network,1,12
80101101107,Giralang,Belconnen,Frequent All-Week Services,2,24
80101101108,Giralang,Belconnen,Frequent All-Week Services,2,14
80101101109,Giralang,Belconnen,Standard Suburban Network,1,20
80101101110,Giralang,Belconnen,Standard Suburban Network,1,18
80101101202,Gooromon,Belconnen,Frequent All-Week Services,2,40
80101101203,Gooromon,Belconnen,High-Frequency Core Corridors,4,20
80101101301,Hawker,Belconnen,Standard Suburban Network,2,17
80101101302,Hawker,Belconnen,Standard Suburban Network,2,21
80101101303,Hawker,Belconnen,Standard Suburban Network,1,9
80101101304,Hawker,Belconnen,Standard Suburban Network,1,5
80101101305,Hawker,Belconnen,Standard Suburban Network,1,15
80101101306,Hawker,Belconnen,Standard Suburban Network,1,13
80101101307,Hawker,Belconnen,Standard Suburban Network,1,13
80101101308,Hawker,Belconnen,Standard Suburban Network,1,10
80101101309,Hawker,Belconnen,Standard Suburban Network,1,27
80101101310,Hawker,Belconnen,Standard Suburban Network,1,10
80101101401,Higgins,Belconnen,Standard Suburban Network,3,27
80101101402,Higgins,Belconnen,High-Frequency Core Corridors,3,28
80101101403,Higgins,Belconnen,Standard Suburban Network,3,23
80101101404,Higgins,Belconnen,Standard Suburban Network,1,20
80101101405,Higgins,Belconnen,Standard Suburban Network,1,17
80101101406,Higgins,Belconnen,Standard Suburban Network,2,20
80101101407,Higgins,Belconnen,High-Frequency Core Corridors,4,29
80101101502,Holt,Belconnen,High-Frequency Core Corridors,3,20
80101101503,Holt,Belconnen,Standard Suburban Network,2,18
80101101504,Holt,Belconnen,High-Frequency Core Corridors,4,30
80101101505,Holt,Belconnen,High-Frequency Core Corridors,4,24
80101101506,Holt,Belconnen,High-Frequency Core Corridors,4,27
80101101508,Holt,Belconnen,High-Frequency Core Corridors,4,20
80101101509,Holt,Belconnen,High-Frequency Core Corridors,4,19
80101101510,Holt,Belconnen,Standard Suburban Network,2,18
80101101511,Holt,Belconnen,Standard Suburban Network,2,16
80101101512,Holt,Belconnen,High-Frequency Core Corridors,4,21
80101101513,Holt,Belconnen,High-Frequency Core Corridors,4,23
80101101514,Holt,Belconnen,High-Frequency Core Corridors,4,34
80101101515,Holt,Belconnen,High-Frequency Core Corridors,4,26
80101101516,Holt,Belconnen,Standard Suburban Network,2,8
80101101517,Holt,Belconnen,High-Frequency Core Corridors,3,21
80101101601,Kaleen,Belconnen,Standard Suburban Network,1,16
80101101602,Kaleen,Belconnen,Frequent All-Week Services,2,9
80101101603,Kaleen,Belconnen,Frequent All-Week Services,2,16
80101101604,Kaleen,Belconnen,Standard Suburban Network,1,8
80101101605,Kaleen,Belconnen,Standard Suburban Network,1,10
80101101606,Kaleen,Belconnen,Standard Suburban Network,1,16
80101101607,Kaleen,Belconnen,Standard Suburban Network,1,16
80101101608,Kaleen,Belconnen,Frequent All-Week Services,2,8
80101101609,Kaleen,Belconnen,Standard Suburban Network,1,12
80101101610,Kaleen,Belconnen,Standard Suburban Network,1,15
80101101611,Kaleen,Belconnen,Standard Suburban Network,1,14
80101101612,Kaleen,Belconnen,Standard Suburban Network,1,14
80101101613,Kaleen,Belconnen,Standard Suburban Network,1,19
80101101614,Kaleen,Belconnen,Standard Suburban Network,1,9
80101101615,Kaleen,Belconnen,Standard Suburban Network,1,10
80101101616,Kaleen,Belconnen,Standard Suburban Network,1,19
80101101617,Kaleen,Belconnen,Standard Suburban Network,1,9
80101101618,Kaleen,Belconnen,Standard Suburban Network,1,10
80101101619,Kaleen,Belconnen,Standard Suburban Network,1,19
80101101701,Latham,Belconnen,High-Frequency Core Corridors,4,16
80101101702,Latham,Belconnen,Standard Suburban Network,2,16
80101101703,Latham,Belconnen,Standard Suburban Network,2,13
