,date,price_type,price
0,2005-02-01,Mean,3.1580646
1,2005-03-01,Mean,3.186885
2,2005-04-01,Mean,3.1866667
3,2005-05-01,Mean,3.2776787
4,2005-06-01,Mean,3.1842856
5,2005-07-01,Mean,3.2090278
6,2005-08-01,Mean,3.2121794
7,2005-09-01,Mean,3.24
8,2005-10-01,Mean,3.31875
9,2005-11-01,Mean,3.3130138
10,2005-12-01,Mean,3.3249998
11,2006-01-01,Mean,3.3149316
12,2006-02-01,Mean,3.2519479
13,2006-03-01,Mean,3.2527397
14,2006-04-01,Mean,3.2645833
15,2006-05-01,Mean,3.329054
16,2006-06-01,Mean,3.33
17,2006-07-01,Mean,3.2972727
18,2006-08-01,Mean,3.3125
19,2006-09-01,Mean,3.341875
20,2006-10-01,Mean,3.3677213
21,2006-11-01,Mean,3.3734176
22,2006-12-01,Mean,3.4214287
23,2007-01-01,Mean,3.3966668
24,2007-02-01,Mean,3.4513698
25,2007-03-01,Mean,3.3966668
26,2007-04-01,Mean,3.45125
27,2007-05-01,Mean,3.4755955
28,2007-06-01,Mean,3.479518
29,2007-07-01,Mean,3.4911764
30,2007-08-01,Mean,3.4918604
31,2007-09-01,Mean,3.501205
32,2007-10-01,Mean,3.5412788
33,2007-11-01,Mean,3.51875
34,2007-12-01,Mean,3.563253
35,2008-01-01,Mean,3.5788236
36,2008-02-01,Mean,3.6238635
37,2008-03-01,Mean,3.5547369
38,2008-04-01,Mean,3.55202
39,2008-05-01,Mean,3.5525775
40,2008-06-01,Mean,3.5683675
41,2008-07-01,Mean,3.6086733
42,2008-08-01,Mean,3.5989797
43,2008-09-01,Mean,3.637629
44,2008-10-01,Mean,3.621579
45,2008-11-01,Mean,3.6227722
46,2008-12-01,Mean,3.658817
47,2009-01-01,Mean,3.6391304
48,2009-02-01,Mean,3.6119792
49,2009-03-01,Mean,3.6418366
50,2009-04-01,Mean,3.6737623
51,2009-05-01,Mean,3.7131314
52,2009-06-01,Mean,3.7545457
53,2009-07-01,Mean,3.7225
54,2009-08-01,Mean,3.7534654
55,2009-09-01,Mean,3.7661617
56,2009-10-01,Mean,3.780808
57,2009-11-01,Mean,3.8435001
58,2009-12-01,Mean,3.838614
59,2010-01-01,Mean,3.9056702
60,2010-02-01,Mean,3.8843138
61,2010-03-01,Mean,3.8714285
62,2010-04-01,Mean,3.8604763
63,2010-05-01,Mean,3.8923075
64,2010-06-01,Mean,3.923301
65,2010-07-01,Mean,3.9136794
66,2010-08-01,Mean,3.9004674
67,2010-09-01,Mean,3.9231133
68,2010-10-01,Mean,3.9410377
69,2010-11-01,Mean,3.994811
70,2010-12-01,Mean,3.999074
71,2011-01-01,Mean,4.03578
72,2011-02-01,Mean,4.012037
73,2011-03-01,Mean,4.0238533
74,2011-04-01,Mean,4.053578
75,2011-05-01,Mean,4.062056
76,2011-06-01,Mean,4.101402
77,2011-07-01,Mean,4.116981
78,2011-08-01,Mean,4.0513763
79,2011-09-01,Mean,4.0471425
80,2011-10-01,Mean,4.0845795
81,2011-11-01,Mean,4.083495
82,2011-12-01,Mean,4.1055045
83,2012-01-01,Mean,4.1151376
84,2012-02-01,Mean,4.117757
85,2012-03-01,Mean,4.1277776
86,2012-04-01,Mean,4.0925927
87,2012-05-01,Mean,4.103211
88,2012-06-01,Mean,4.127103
89,2012-07-01,Mean,4.1179247
90,2012-08-01,Mean,4.1215596
91,2012-09-01,Mean,4.116038
92,2012-10-01,Mean,4.1375
93,2012-11-01,Mean,4.151961
94,2012-12-01,Mean,4.162857
95,2013-01-01,Mean,4.1693068
96,2013-02-01,Mean,4.131683
97,2013-03-01,Mean,4.175472
98,2013-04-01,Mean,4.1622643
99,2013-05-01,Mean,4.1798167
100,2013-06-01,Mean,4.1839447
101,2013-07-01,Mean,4.179717
102,2013-08-01,Mean,4.1945453
103,2013-09-01,Mean,4.1943398
104,2013-10-01,Mean,4.2201924
105,2013-11-01,Mean,4.192991
106,2013-12-01,Mean,4.1959457
107,2014-01-01,Mean,4.247196
108,2014-02-01,Mean,4.1820173
109,2014-03-01,Mean,4.208407
110,2014-04-01,Mean,4.214348
111,2014-05-01,Mean,4.2122808
112,2014-06-01,Mean,4.205263
113,2014-07-01,Mean,4.188889
114,2014-08-01,Mean,4.1868644
115,2014-09-01,Mean,4.22
116,2014-10-01,Mean,4.240086
117,2014-11-01,Mean,4.2769566
118,2014-12-01,Mean,4.300442
119,2015-01-01,Mean,4.300893
