SA1_Code,Suburb,District,method,distance_band_m,service_type,best_headway_min
80101100101,Aranda,Belconnen,straight,200,weekday_peak,
80101100101,Aranda,Belconnen,straight,200,weekday_offpeak,
80101100101,Aranda,Belconnen,straight,200,saturday,
80101100101,Aranda,Belconnen,straight,200,sunday,
80101100101,Aranda,Belconnen,straight,400,weekday_peak,
80101100101,Aranda,Belconnen,straight,400,weekday_offpeak,
80101100101,Aranda,Belconnen,straight,400,saturday,
80101100101,Aranda,Belconnen,straight,400,sunday,
80101100101,Aranda,Belconnen,straight,600,weekday_peak,
80101100101,Aranda,Belconnen,straight,600,weekday_offpeak,
80101100101,Aranda,Belconnen,straight,600,saturday,
80101100101,Aranda,Belconnen,straight,600,sunday,
80101100101,Aranda,Belconnen,straight,800,weekday_peak,
80101100101,Aranda,Belconnen,straight,800,weekday_offpeak,
80101100101,Aranda,Belconnen,straight,800,saturday,
80101100101,Aranda,Belconnen,straight,800,sunday,
80101100101,Aranda,Belconnen,walking,200,weekday_peak,
80101100101,Aranda,Belconnen,walking,200,weekday_offpeak,
80101100101,Aranda,Belconnen,walking,200,saturday,
80101100101,Aranda,Belconnen,walking,200,sunday,
80101100101,Aranda,Belconnen,walking,400,weekday_peak,
80101100101,Aranda,Belconnen,walking,400,weekday_offpeak,
80101100101,Aranda,Belconnen,walking,400,saturday,
80101100101,Aranda,Belconnen,walking,400,sunday,
80101100101,Aranda,Belconnen,walking,600,weekday_peak,
80101100101,Aranda,Belconnen,walking,600,weekday_offpeak,
80101100101,Aranda,Belconnen,walking,600,saturday,
80101100101,Aranda,Belconnen,walking,600,sunday,
80101100101,Aranda,Belconnen,walking,800,weekday_peak,
80101100101,Aranda,Belconnen,walking,800,weekday_offpeak,
80101100101,Aranda,Belconnen,walking,800,saturday,
80101100101,Aranda,Belconnen,walking,800,sunday,
80101100102,Aranda,Belconnen,straight,200,weekday_peak,
80101100102,Aranda,Belconnen,straight,200,weekday_offpeak,
80101100102,Aranda,Belconnen,straight,200,saturday,
80101100102,Aranda,Belconnen,straight,200,sunday,
80101100102,Aranda,Belconnen,straight,400,weekday_peak,
80101100102,Aranda,Belconnen,straight,400,weekday_offpeak,
80101100102,Aranda,Belconnen,straight,400,saturday,
80101100102,Aranda,Belconnen,straight,400,sunday,
80101100102,Aranda,Belconnen,straight,600,weekday_peak,
80101100102,Aranda,Belconnen,straight,600,weekday_offpeak,
80101100102,Aranda,Belconnen,straight,600,saturday,
80101100102,Aranda,Belconnen,straight,600,sunday,
80101100102,Aranda,Belconnen,straight,800,weekday_peak,
80101100102,Aranda,Belconnen,straight,800,weekday_offpeak,
80101100102,Aranda,Belconnen,straight,800,saturday,
80101100102,Aranda,Belconnen,straight,800,sunday,
80101100102,Aranda,Belconnen,walking,200,weekday_peak,
80101100102,Aranda,Belconnen,walking,200,weekday_offpeak,
80101100102,Aranda,Belconnen,walking,200,saturday,
80101100102,Aranda,Belconnen,walking,200,sunday,
80101100102,Aranda,Belconnen,walking,400,weekday_peak,
80101100102,Aranda,Belconnen,walking,400,weekday_offpeak,
80101100102,Aranda,Belconnen,walking,400,saturday,
80101100102,Aranda,Belconnen,walking,400,sunday,
80101100102,Aranda,Belconnen,walking,600,weekday_peak,
80101100102,Aranda,Belconnen,walking,600,weekday_offpeak,
80101100102,Aranda,Belconnen,walking,600,saturday,
80101100102,Aranda,Belconnen,walking,600,sunday,
80101100102,Aranda,Belconnen,walking,800,weekday_peak,
80101100102,Aranda,Belconnen,walking,800,weekday_offpeak,
80101100102,Aranda,Belconnen,walking,800,saturday,
80101100102,Aranda,Belconnen,walking,800,sunday,
80101100103,Aranda,Belconnen,straight,200,weekday_peak,
80101100103,Aranda,Belconnen,straight,200,weekday_offpeak,
80101100103,Aranda,Belconnen,straight,200,saturday,
80101100103,Aranda,Belconnen,straight,200,sunday,
80101100103,Aranda,Belconnen,straight,400,weekday_peak,
80101100103,Aranda,Belconnen,straight,400,weekday_offpeak,
80101100103,Aranda,Belconnen,straight,400,saturday,
80101100103,Aranda,Belconnen,straight,400,sunday,
80101100103,Aranda,Belconnen,straight,600,weekday_peak,
80101100103,Aranda,Belconnen,straight,600,weekday_offpeak,
80101100103,Aranda,Belconnen,straight,600,saturday,
80101100103,Aranda,Belconnen,straight,600,sunday,
80101100103,Aranda,Belconnen,straight,800,weekday_peak,
80101100103,Aranda,Belconnen,straight,800,weekday_offpeak,
80101100103,Aranda,Belconnen,straight,800,saturday,
80101100103,Aranda,Belconnen,straight,800,sunday,
80101100103,Aranda,Belconnen,walking,200,weekday_peak,
80101100103,Aranda,Belconnen,walking,200,weekday_offpeak,
80101100103,Aranda,Belconnen,walking,200,saturday,
80101100103,Aranda,Belconnen,walking,200,sunday,
80101100103,Aranda,Belconnen,walking,400,weekday_peak,
80101100103,Aranda,Belconnen,walking,400,weekday_offpeak,
80101100103,Aranda,Belconnen,walking,400,saturday,
80101100103,Aranda,Belconnen,walking,400,sunday,
80101100103,Aranda,Belconnen,walking,600,weekday_peak,
80101100103,Aranda,Belconnen,walking,600,weekday_offpeak,
80101100103,Aranda,Belconnen,walking,600,saturday,
80101100103,Aranda,Belconnen,walking,600,sunday,
80101100103,Aranda,Belconnen,walking,800,weekday_peak,
