name,lat,lon
8 Doors Distillery,58.6427026,-3.0695149
Aberargie Distillery,56.3290636,-3.3491326
Aberfeldy Distillery,56.6245644,-3.8494019
Aberlour Distillery,57.4667573,-3.2279746
Ailsa Bay Distillery,,
Allt a’ Bhainne Distillery,57.394959,-3.2065924
Annandale Distillery,55.0031584,-3.2629304
Arbikie Distillery,56.6643579,-2.5278159
Ardbeg Distillery,55.6406664,-6.1081737
Ardgowan Distillery,,
Ardmore Distillery,57.3511212,-2.74534
Ardnahoe Distillery,55.8696766,-6.1192184
Ardnamurchan Distillery,56.692063,-5.9394916
Ardross Distillery,57.7398024,-4.3383515
Auchentoshan Distillery,55.9224511,-4.4375092
Auchroisk Distillery,57.5483333,-3.115708
Aultmore Distillery,57.5675555,-3.0024511
Balblair Distillery,57.8401334,-4.1808326
Ballindalloch Distillery,57.405413,-3.3684177
Balmenach Distillery,57.3249693,-3.5331862
Balmaud Distillery,,
"Balvenie, The Distillery",,
Ben Nevis Distillery,56.8350102,-5.0731782
Benbecula Distillery,,
BenRiach Distillery,55.9368286,-3.3967354
Benrinnes Distillery,57.4435937,-3.240265
Benromach Distillery,57.6140337,-3.6208965
Bladnoch Distillery,54.8579156,-4.4637977
Blair Athol Distillery,56.6985911,-3.7216448
Bonnington Distillery,55.9726737,-3.1847563
Borders Distillery,55.4245291,-2.7887748
Bowmore Distillery,55.7568042,-6.2899743
Braeval Distillery,57.2714592,-3.2599979
BrewDog Distilling Co Distillery,,
Brora Distillery,58.0248401,-3.8680285
Bruichladdich Distillery,55.7668055,-6.3629787
Bunnahabhain Distillery,55.8829048,-6.1269936
Burn o’Bennie Distillery,,
"Cairn Distillery, The Distillery",,
Cameronbridge Distillery,56.1888443,-3.063822
Caol Ila Distillery,55.8544304,-6.1095996
Cardhu Distillery,57.4706336,-3.3489168
Clydeside Distillery,55.8622953,-4.2967518
Clynelish Distillery,58.0239002,-3.8677378
Crafty Distillery,54.9497834,-4.4814562
Cragganmore Distillery,57.410199,-3.3943033
Craigellachie Distillery,57.4897461,-3.1871321
Daftmill Distillery,56.2972908,-3.1042169
Dailuaine Distillery,57.4527049,-3.2723783
Dalmore Distillery,57.6880674,-4.2438613
Dalmunach Distillery,57.4546557,-3.3016733
Dalwhinnie Distillery,56.9402359,-4.2389684
Deanston Distillery,56.1890334,-4.0710929
Dornoch Distillery,57.8794918,-4.0304215
Dufftown Distillery,57.435727,-3.1278031
Dunphail Distillery,,
Eden Mill Distillery,56.3644615,-2.8899117
Edradour Distillery,56.7021733,-3.6993815
Falkirk Distillery,55.9951685,-3.7241496
Fettercairn Distillery,56.8541319,-2.5830347
Girvan Distillery,55.2712202,-4.8292344
Glasgow Distillery,55.8632398,-4.3617424
Glen Elgin Distillery,57.5993187,-3.2782461
Glen Garioch Distillery,57.3382913,-2.3194497
