,State,Trade_Category,Value
0,World,Goods,49177769
1,European Union,Goods,5429683
2,United States,Goods,5424499
3,China,Goods,6163999
4,Germany,Goods,3107433
5,United Kingdom,Goods,1328813
6,Netherlands,Goods,1732989
7,France,Goods,1390477
8,Japan,Goods,1449636
9,India,Goods,1144196
10,Singapore,Goods,964344
11,South Korea,Goods,1315376
12,Italy,Goods,1289671
13,Hong Kong,Goods,1349678
14,Canada,Goods,1141276
15,United Arab Emirates,Goods,1142066
16,Mexico,Goods,1261074
17,Ireland,Goods,383054
18,Belgium,Goods,1048406
19,Spain,Goods,896146
20,Switzerland,Goods,816072
21,Taiwan,Goods,875482
22,Poland,Goods,759378
23,Vietnam,Goods,782268
24,Russia,Goods,711706
25,Australia,Goods,637759
26,Turkey,Goods,605875
27,Brazil,Goods,615000
28,Thailand,Goods,607339
29,Malaysia,Goods,630781
30,Saudi Arabia,Goods,537338
31,Sweden,Goods,382556
32,World,Services,16930782
33,European Union,Services,3156243
34,United States,Services,1993624
35,China,Services,1056457
36,Germany,Services,1023755
37,United Kingdom,Services,1050548
38,Netherlands,Services,640644
39,France,Services,740560
40,Japan,Services,474705
41,India,Services,644197
42,Singapore,Services,746688
43,South Korea,Services,301607
44,Italy,Services,318022
45,Hong Kong,Services,199642
46,Canada,Services,319173
47,United Arab Emirates,Services,283962
48,Mexico,Services,125087
49,Ireland,Services,986640
50,Belgium,Services,307233
51,Spain,Services,331898
52,Switzerland,Services,394410
53,Taiwan,Services,129912
54,Poland,Services,193934
55,Vietnam,Services,60044
56,Russia,Services,121512
57,Australia,Services,192015
58,Turkey,Services,168506
59,Brazil,Services,151513
60,Thailand,Services,145786
61,Malaysia,Services,109773
62,Saudi Arabia,Services,156942
63,Sweden,Services,241841
64,World,Goods and services,66108551
65,European Union,Goods and services,8585926
66,United States,Goods and services,7418123
67,China,Goods and services,7220456
68,Germany,Goods and services,4131188
69,United Kingdom,Goods and services,2379361
70,Netherlands,Goods and services,2373633
71,France,Goods and services,2131037
72,Japan,Goods and services,1924341
73,India,Goods and services,1788393
74,Singapore,Goods and services,1711032
75,South Korea,Goods and services,1616983
76,Italy,Goods and services,1607693
77,Hong Kong,Goods and services,1549320
78,Canada,Goods and services,1460449
79,United Arab Emirates,Goods and services,1426028
80,Mexico,Goods and services,1386161
81,Ireland,Goods and services,1369694
82,Belgium,Goods and services,1355639
83,Spain,Goods and services,1228044
84,Switzerland,Goods and services,1210482
85,Taiwan,Goods and services,1005394
86,Poland,Goods and services,953312
87,Vietnam,Goods and services,842312
88,Russia,Goods and services,833218
89,Australia,Goods and services,829744
90,Turkey,Goods and services,774381
91,Brazil,Goods and services,766513
92,Thailand,Goods and services,753125
93,Malaysia,Goods and services,740554
94,Saudi Arabia,Goods and services,694280
95,Sweden,Goods and services,624397
